"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000001",2135.37677668485,0.00180456756339487,0.0596797003065034,0.971470214241709,0.990024670397882
"ENSMUSG00000000028",37.9853492687888,0.0155153659442512,0.151440467196174,0.783086575790078,0.926278585879627
"ENSMUSG00000000031",2.54399258347625,-0.0260549092034147,0.229882223470018,0.375786452220793,NA
"ENSMUSG00000000037",10.329260939034,-0.0413330876740852,0.194919680616086,0.399302254250449,0.732785108722562
"ENSMUSG00000000049",108.561579540448,0.823273015975792,0.891663685737856,0.000338483783945832,0.0104828173388938
"ENSMUSG00000000056",875.860659769932,0.0178654452583184,0.0874882415390584,0.767673099499433,0.919399722857647
"ENSMUSG00000000058",1524.0131899223,-0.0633727107860655,0.0852589603338162,0.29795141012677,0.653292106466318
"ENSMUSG00000000078",2105.74156082698,0.00210063856550182,0.0893154822125837,0.972376050436808,0.990042475639705
"ENSMUSG00000000085",364.210046607852,0.0102431905785228,0.108943519425807,0.868174906465646,0.954909831917911
"ENSMUSG00000000088",4760.30107272411,0.0610065042877867,0.0622278805003195,0.239406606117955,0.598732134230928
"ENSMUSG00000000093",1102.57377304696,0.0239645833387974,0.0968764833908435,0.698043313320525,0.892915619247216
"ENSMUSG00000000094",0.824154546331652,-0.00749250228260185,0.230046035854698,0.723535606127215,NA
"ENSMUSG00000000120",19.0337955003326,-0.117010312595156,0.229358379624664,0.0898705286926527,0.373632811188531
"ENSMUSG00000000126",49.4310145787653,-0.0517449261938089,0.15634041307763,0.396185470243292,0.730559799410015
"ENSMUSG00000000127",146.143495600754,-0.0206418274575952,0.109385743025936,0.739212813108013,0.908994387422372
"ENSMUSG00000000131",769.080357236854,0.0840616210159528,0.0882082921443595,0.176738819828226,0.521200786735251
"ENSMUSG00000000134",473.569490280556,-0.0700137622286704,0.0857973517769337,0.252559650878557,0.612556296979334
"ENSMUSG00000000142",65.5116199631735,0.00595355344760543,0.11830274879298,0.922359920621556,0.97309355523857
"ENSMUSG00000000148",252.401001916982,-0.00832811831440712,0.100142140476127,0.892566683579324,0.963501846206705
"ENSMUSG00000000149",1443.6191971938,0.403097196962381,0.0750767153638417,1.51789076381701e-09,5.0017536449298e-07
"ENSMUSG00000000154",3214.86017464325,0.0766400542394739,0.0878687909255715,0.215799965658268,0.573155570767675
"ENSMUSG00000000157",2.78452989723124,0.000162829205950109,0.207549926499378,0.996139210290864,NA
"ENSMUSG00000000159",1115.02876309792,0.0211208419684454,0.0896379705336507,0.728608814956711,0.906030252762349
"ENSMUSG00000000167",40.2230845224815,-0.0133498563046675,0.138674675187323,0.820091938917429,0.940724436076422
"ENSMUSG00000000168",2978.30992295334,-0.0510611238437553,0.0876090693334291,0.403639361245482,0.73537716142192
"ENSMUSG00000000171",4621.82824085516,0.0720749840312607,0.0678854782052306,0.187640630959318,0.537757355311485
"ENSMUSG00000000184",334.726694781134,-0.197036607434943,0.213123310102036,0.0288755468439739,0.198485709798413
"ENSMUSG00000000194",1131.06724315477,0.0332317618411999,0.0818516116479408,0.576141411266651,0.836795528015569
"ENSMUSG00000000197",3.19595057054456,-0.0072676843666476,0.19683148568006,0.854072306233308,NA
"ENSMUSG00000000202",2.14321490609302,0.0183347174060872,0.221723554885298,0.537988071261519,NA
"ENSMUSG00000000204",4.09454771202794,-0.00311821640381745,0.196391118744074,0.936945434694338,NA
"ENSMUSG00000000215",0.973631453766293,-0.0328875913510467,0.245637817863215,0.21602311060759,NA
"ENSMUSG00000000216",843.603888540085,-0.0719549929940915,0.0850463526460573,0.238446830428361,0.598499367652642
"ENSMUSG00000000223",1.09455481286745,-0.0270759123634852,0.24694631139253,0.212905039591921,NA
"ENSMUSG00000000244",12.7538292129336,-0.202352168081517,0.407939884383603,0.0120973330378949,0.116477769423268
"ENSMUSG00000000247",25.0096977810165,-0.05355327806118,0.175488052701185,0.355837727360781,0.702297843315313
"ENSMUSG00000000253",779.646151080838,-0.0498612134453793,0.0873283128052009,0.414081835411623,0.742031952147517
"ENSMUSG00000000266",515.101753489887,0.0937645490793783,0.103299471941951,0.155249609494401,0.487403309075789
"ENSMUSG00000000275",1828.04321936704,0.0453941183060477,0.114708149432803,0.474174334604995,0.779638706587963
"ENSMUSG00000000276",187.445364778823,0.121306232994674,0.153809477335136,0.101278378504234,0.397679352773061
