"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000001",2135.37677668485,0.0756992596446172,0.060878452462216,0.102301635696556,0.421907822211879
"ENSMUSG00000000028",37.9853492687888,-0.0173355409240863,0.140847554307574,0.715838335875339,0.916710825939931
"ENSMUSG00000000031",2.54399258347625,-0.0201664514849024,0.222813157168433,0.512311893372106,NA
"ENSMUSG00000000037",10.329260939034,-0.036236337622435,0.18684606136098,0.420811351330312,0.774671146736234
"ENSMUSG00000000049",108.561579540448,-0.0355049079790397,0.190082667984201,0.421702620690447,0.775378865244524
"ENSMUSG00000000056",875.860659769932,0.0730790260441423,0.0903922814339229,0.180729385720173,0.553765211227735
"ENSMUSG00000000058",1524.0131899223,-0.0405325359253085,0.0777895401304411,0.422809225632656,0.776563421874335
"ENSMUSG00000000078",2105.74156082698,0.0435515590421544,0.0856399925341335,0.40088711894711,0.762536189727656
"ENSMUSG00000000085",364.210046607852,-0.0377421175837979,0.103811127825159,0.468021832894268,0.807051096111154
"ENSMUSG00000000088",4760.30107272411,0.0112219554529745,0.0565303776150403,0.79748723524104,0.943359177704361
"ENSMUSG00000000093",1102.57377304696,-0.00318655636029231,0.0869196067552999,0.949447531376711,0.986821696124318
"ENSMUSG00000000094",0.824154546331652,-0.00230207988786971,0.233848195596358,0.919131176369545,NA
"ENSMUSG00000000120",19.0337955003326,-0.0396008665807232,0.163102039288513,0.421761677004214,0.775378865244524
"ENSMUSG00000000126",49.4310145787653,-0.135193317681435,0.225486764050194,0.0622476784044412,0.324451992847698
"ENSMUSG00000000127",146.143495600754,-0.0372192847846114,0.103460497647114,0.473783672323316,0.810177455651163
"ENSMUSG00000000131",769.080357236854,0.0424553883006882,0.0784053072528197,0.402954528021624,0.763269798313549
"ENSMUSG00000000134",473.569490280556,-0.0776820426494767,0.0851558196430369,0.150501763037249,0.508649650831121
"ENSMUSG00000000142",65.5116199631735,-0.0303830290960551,0.112387334207867,0.550938943479363,0.845796497927102
"ENSMUSG00000000148",252.401001916982,-0.0267570938034387,0.0928825019615552,0.600922886388834,0.868567898600091
"ENSMUSG00000000149",1443.6191971938,-0.00944130485544121,0.0565847519458907,0.829149531213947,0.955822675423322
"ENSMUSG00000000154",3214.86017464325,0.00730136889787197,0.0752745264768733,0.882116223118886,0.970339624256026
"ENSMUSG00000000157",2.78452989723124,0.0149266457872672,0.206986649054316,0.660067429370938,NA
"ENSMUSG00000000159",1115.02876309792,-0.0167951057647453,0.081634967520998,0.738014277585299,0.924748896303551
"ENSMUSG00000000167",40.2230845224815,-0.0470081176374084,0.14352972218184,0.368660828121656,0.738394278831259
"ENSMUSG00000000168",2978.30992295334,-0.0104335238321307,0.0774869856327808,0.833417036494241,0.957157332586025
"ENSMUSG00000000171",4621.82824085516,0.100784291428695,0.0709289429838706,0.0487287777094261,0.283094267115833
"ENSMUSG00000000184",334.726694781134,-0.0869869013194053,0.153662674451799,0.150335029634936,0.508479398060071
"ENSMUSG00000000194",1131.06724315477,0.132905343335585,0.0978368565540468,0.0288322851610277,0.213729949227209
"ENSMUSG00000000197",3.19595057054456,-0.0326098254272385,0.210233161572774,0.400994994117314,NA
"ENSMUSG00000000202",2.14321490609302,0.0129903123405542,0.220444672721684,0.656312229108364,NA
"ENSMUSG00000000204",4.09454771202794,-0.0229413406207972,0.201936154821312,0.541710800481298,NA
"ENSMUSG00000000215",0.973631453766293,-0.00684108888693929,0.221302542370882,0.803878174808891,NA
"ENSMUSG00000000216",843.603888540085,-0.0899798187784126,0.0871132726488408,0.103447812516091,0.425144963585709
"ENSMUSG00000000223",1.09455481286745,-0.0346244709197348,0.284842260588724,0.162936684796283,NA
"ENSMUSG00000000244",12.7538292129336,-0.0298174823345692,0.185366942338055,0.492320233050099,0.819257464875611
"ENSMUSG00000000247",25.0096977810165,-0.239704497622401,0.360322022552469,0.0150301192740486,0.144816517636974
"ENSMUSG00000000253",779.646151080838,-0.012252195098769,0.0774413912408471,0.805004546962402,0.946588694360346
"ENSMUSG00000000266",515.101753489887,0.0399886051085535,0.0876371768517044,0.440135530367578,0.789390628091341
"ENSMUSG00000000275",1828.04321936704,0.0212737147202508,0.100850146948928,0.674388238680741,0.899572628075789
"ENSMUSG00000000276",187.445364778823,0.0743641082621422,0.131238974592544,0.196117991466582,0.57638958747831
"ENSMUSG00000000278",1571.98041051254,0.0411143357936038,0.0774617370827305,0.415851322325787,0.772268528701495
"ENSMUSG00000000282",590.207602837024,0.0276174923369913,0.0975308684756767,0.589532514286068,0.864081283282382
"ENSMUSG00000000290",131.900154249328,-0.0431777006496985,0.119858927465143,0.409673586786145,0.768207628417727
"ENSMUSG00000000295",150.207728237236,-0.107544737896352,0.137233126165646,0.0898707800946801,0.392137439841088
"ENSMUSG00000000296",271.735273261434,-0.00413447530220646,0.0876636788287215,0.934469701149591,0.98388057378924
"ENSMUSG00000000301",22.2953815077749,-0.0324835988725445,0.168954551945259,0.488512939093979,0.816731414052337
"ENSMUSG00000000303",4182.82295090315,-0.0460721184438109,0.0583512741569789,0.303337686946807,0.687621215385166
"ENSMUSG00000000305",18.7659342766579,-0.0242991691839342,0.168915161160434,0.590068358984076,0.864132142608438
"ENSMUSG00000000308",1080.78213634204,-0.123386901310265,0.0930787236949498,0.0364166018519545,0.242099289759919
"ENSMUSG00000000317",90.2835527636716,-0.127421079043423,0.212035486064494,0.070947109124336,0.346802707564495
"ENSMUSG00000000318",27.2749515922059,-3.00444492116872,0.591580725423351,5.47732254818991e-10,1.21951846356726e-07
"ENSMUSG00000000320",101.665624398807,-0.015193820830791,0.109368493762099,0.760130111523572,0.933267186750235
"ENSMUSG00000000326",4198.03526962008,-0.0410605503444816,0.0922798792443743,0.431237689216038,0.781378645491797
"ENSMUSG00000000339",469.167459365287,0.0281118463777169,0.070833911684494,0.56368857196533,0.853083549875967
"ENSMUSG00000000340",2196.98911060004,0.158453255446594,0.103552822819159,0.0135713590201701,0.135434107338778
"ENSMUSG00000000346",4707.41244601486,0.0876255635657565,0.0774054375969337,0.0964258850149066,0.407571288226168
"ENSMUSG00000000355",303.650359289395,0.00949255989287338,0.0820399858888139,0.849684058173697,0.961537314627272
"ENSMUSG00000000359",96.8794121569526,0.0175898639347726,0.11538511999783,0.722562738360648,0.918295921174923
"ENSMUSG00000000365",3.31048155664956,-0.0191645216942146,0.211192401228223,0.571364392590285,NA
"ENSMUSG00000000374",1413.59840499246,0.0722736964345655,0.0712741827121568,0.149890083405183,0.508041352434436
"ENSMUSG00000000378",297.155278043595,-0.0573772307612795,0.10875777200133,0.291316391517666,0.675162310682947
"ENSMUSG00000000384",613.823887842308,-0.0122972502082863,0.0834759009853978,0.806658566886742,0.947241507360619
"ENSMUSG00000000385",4918.04572052449,0.273558588320351,0.165117566296369,0.00247880909839277,0.0443484826805538
"ENSMUSG00000000386",33.7515490326138,-0.0492626066944744,0.170421719975717,0.333952331926242,0.714366022047517
"ENSMUSG00000000392",7.45598592473034,0.00472103840277942,0.174296753957401,0.909150063141683,0.978540180820439
