ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006119,oxidative phosphorylation,40/1342,154/23189,0.25974025974026,4.4881645924865,10.7640379661589,4.33186186626803e-16,1.9715116176179e-12,1.68499623952964e-12,ENSMUSG00000000088/ENSMUSG00000000171/ENSMUSG00000004446/ENSMUSG00000005510/ENSMUSG00000007815/ENSMUSG00000009112/ENSMUSG00000013593/ENSMUSG00000014294/ENSMUSG00000017778/ENSMUSG00000020022/ENSMUSG00000020153/ENSMUSG00000020163/ENSMUSG00000021520/ENSMUSG00000021606/ENSMUSG00000022354/ENSMUSG00000022450/ENSMUSG00000022551/ENSMUSG00000025393/ENSMUSG00000025428/ENSMUSG00000025781/ENSMUSG00000025825/ENSMUSG00000026032/ENSMUSG00000027673/ENSMUSG00000031059/ENSMUSG00000031818/ENSMUSG00000032330/ENSMUSG00000035885/ENSMUSG00000037916/ENSMUSG00000038690/ENSMUSG00000039065/ENSMUSG00000039428/ENSMUSG00000045973/ENSMUSG00000049422/ENSMUSG00000059534/ENSMUSG00000061118/ENSMUSG00000064358/ENSMUSG00000064370/ENSMUSG00000065947/ENSMUSG00000070493/ENSMUSG00000071014,40
GO:0015980,energy derivation by oxidation of organic compounds,66/1342,379/23189,0.174142480211082,3.00908343786496,9.7738784844769,7.37841174258195e-16,1.9715116176179e-12,1.68499623952964e-12,ENSMUSG00000000088/ENSMUSG00000000171/ENSMUSG00000001891/ENSMUSG00000002769/ENSMUSG00000004056/ENSMUSG00000004446/ENSMUSG00000005510/ENSMUSG00000005534/ENSMUSG00000007815/ENSMUSG00000009112/ENSMUSG00000013593/ENSMUSG00000014294/ENSMUSG00000017778/ENSMUSG00000020022/ENSMUSG00000020128/ENSMUSG00000020153/ENSMUSG00000020163/ENSMUSG00000020176/ENSMUSG00000020456/ENSMUSG00000020594/ENSMUSG00000021520/ENSMUSG00000021606/ENSMUSG00000021756/ENSMUSG00000022354/ENSMUSG00000022450/ENSMUSG00000022477/ENSMUSG00000022551/ENSMUSG00000023019/ENSMUSG00000025393/ENSMUSG00000025428/ENSMUSG00000025781/ENSMUSG00000025825/ENSMUSG00000025907/ENSMUSG00000025950/ENSMUSG00000026032/ENSMUSG00000027673/ENSMUSG00000028630/ENSMUSG00000029578/ENSMUSG00000030249/ENSMUSG00000030541/ENSMUSG00000031059/ENSMUSG00000031299/ENSMUSG00000031818/ENSMUSG00000031902/ENSMUSG00000032293/ENSMUSG00000032330/ENSMUSG00000032905/ENSMUSG00000034203/ENSMUSG00000035885/ENSMUSG00000037710/ENSMUSG00000037916/ENSMUSG00000038690/ENSMUSG00000039065/ENSMUSG00000039428/ENSMUSG00000040385/ENSMUSG00000045973/ENSMUSG00000049422/ENSMUSG00000059534/ENSMUSG00000061118/ENSMUSG00000064358/ENSMUSG00000064370/ENSMUSG00000065947/ENSMUSG00000066551/ENSMUSG00000070493/ENSMUSG00000071014/ENSMUSG00000078650,66
GO:0009060,aerobic respiration,46/1342,206/23189,0.223300970873786,3.85851431713281,10.2136888376422,1.47139402193024e-15,2.62104321773174e-12,2.24013286356327e-12,ENSMUSG00000000088/ENSMUSG00000000171/ENSMUSG00000004446/ENSMUSG00000005510/ENSMUSG00000007815/ENSMUSG00000009112/ENSMUSG00000013593/ENSMUSG00000014294/ENSMUSG00000017778/ENSMUSG00000020022/ENSMUSG00000020153/ENSMUSG00000020163/ENSMUSG00000020456/ENSMUSG00000021520/ENSMUSG00000021606/ENSMUSG00000022354/ENSMUSG00000022450/ENSMUSG00000022477/ENSMUSG00000022551/ENSMUSG00000025393/ENSMUSG00000025428/ENSMUSG00000025781/ENSMUSG00000025825/ENSMUSG00000025950/ENSMUSG00000026032/ENSMUSG00000027673/ENSMUSG00000030541/ENSMUSG00000031059/ENSMUSG00000031299/ENSMUSG00000031818/ENSMUSG00000032293/ENSMUSG00000032330/ENSMUSG00000035885/ENSMUSG00000037916/ENSMUSG00000038690/ENSMUSG00000039065/ENSMUSG00000039428/ENSMUSG00000045973/ENSMUSG00000049422/ENSMUSG00000059534/ENSMUSG00000061118/ENSMUSG00000064358/ENSMUSG00000064370/ENSMUSG00000065947/ENSMUSG00000070493/ENSMUSG00000071014,46
GO:0045333,cellular respiration,53/1342,270/23189,0.196296296296296,3.39188883369211,9.79799109837527,3.38431148413003e-15,4.52144014279772e-12,3.86434934990532e-12,ENSMUSG00000000088/ENSMUSG00000000171/ENSMUSG00000004446/ENSMUSG00000005510/ENSMUSG00000007815/ENSMUSG00000009112/ENSMUSG00000013593/ENSMUSG00000014294/ENSMUSG00000017778/ENSMUSG00000020022/ENSMUSG00000020128/ENSMUSG00000020153/ENSMUSG00000020163/ENSMUSG00000020456/ENSMUSG00000020594/ENSMUSG00000021520/ENSMUSG00000021606/ENSMUSG00000022354/ENSMUSG00000022450/ENSMUSG00000022477/ENSMUSG00000022551/ENSMUSG00000023019/ENSMUSG00000025393/ENSMUSG00000025428/ENSMUSG00000025781/ENSMUSG00000025825/ENSMUSG00000025950/ENSMUSG00000026032/ENSMUSG00000027673/ENSMUSG00000030249/ENSMUSG00000030541/ENSMUSG00000031059/ENSMUSG00000031299/ENSMUSG00000031818/ENSMUSG00000031902/ENSMUSG00000032293/ENSMUSG00000032330/ENSMUSG00000034203/ENSMUSG00000035885/ENSMUSG00000037710/ENSMUSG00000037916/ENSMUSG00000038690/ENSMUSG00000039065/ENSMUSG00000039428/ENSMUSG00000045973/ENSMUSG00000049422/ENSMUSG00000059534/ENSMUSG00000061118/ENSMUSG00000064358/ENSMUSG00000064370/ENSMUSG00000065947/ENSMUSG00000070493/ENSMUSG00000071014,53
GO:0015986,proton motive force-driven ATP synthesis,24/1342,72/23189,0.333333333333333,5.75981122702434,10.0254122527763,8.8253824191903e-13,9.4325687296306e-10,8.06175459302457e-10,ENSMUSG00000000171/ENSMUSG00000005510/ENSMUSG00000013593/ENSMUSG00000014294/ENSMUSG00000018770/ENSMUSG00000020022/ENSMUSG00000020153/ENSMUSG00000021606/ENSMUSG00000022354/ENSMUSG00000022450/ENSMUSG00000025393/ENSMUSG00000025428/ENSMUSG00000025781/ENSMUSG00000026032/ENSMUSG00000027673/ENSMUSG00000031059/ENSMUSG00000037916/ENSMUSG00000038690/ENSMUSG00000038717/ENSMUSG00000039065/ENSMUSG00000061118/ENSMUSG00000062683/ENSMUSG00000065947/ENSMUSG00000071014,24
GO:0048193,Golgi vesicle transport,51/1342,291/23189,0.175257731958763,3.02835435647672,8.62985597113344,1.14495970078318e-12,1.01977744016422e-09,8.71575463455831e-10,ENSMUSG00000003037/ENSMUSG00000004364/ENSMUSG00000004394/ENSMUSG00000007777/ENSMUSG00000014550/ENSMUSG00000014748/ENSMUSG00000019790/ENSMUSG00000020088/ENSMUSG00000020128/ENSMUSG00000020372/ENSMUSG00000020375/ENSMUSG00000020386/ENSMUSG00000020671/ENSMUSG00000020821/ENSMUSG00000020946/ENSMUSG00000020986/ENSMUSG00000021484/ENSMUSG00000022200/ENSMUSG00000024875/ENSMUSG00000024983/ENSMUSG00000025130/ENSMUSG00000025224/ENSMUSG00000026705/ENSMUSG00000026878/ENSMUSG00000027429/ENSMUSG00000029125/ENSMUSG00000029390/ENSMUSG00000029560/ENSMUSG00000030754/ENSMUSG00000031143/ENSMUSG00000031731/ENSMUSG00000032096/ENSMUSG00000032382/ENSMUSG00000032485/ENSMUSG00000032570/ENSMUSG00000032757/ENSMUSG00000032883/ENSMUSG00000033184/ENSMUSG00000034893/ENSMUSG00000037075/ENSMUSG00000038708/ENSMUSG00000038844/ENSMUSG00000038975/ENSMUSG00000039367/ENSMUSG00000045294/ENSMUSG00000054455/ENSMUSG00000056050/ENSMUSG00000057069/ENSMUSG00000060992/ENSMUSG00000061455/ENSMUSG00000062234,51
GO:0002181,cytoplasmic translation,37/1342,168/23189,0.220238095238095,3.80558956071251,9.0454189129491,1.35400082638968e-12,1.03368291660378e-09,8.83460088075914e-10,ENSMUSG00000003970/ENSMUSG00000004056/ENSMUSG00000008668/ENSMUSG00000009927/ENSMUSG00000012848/ENSMUSG00000019782/ENSMUSG00000020300/ENSMUSG00000020537/ENSMUSG00000021282/ENSMUSG00000022283/ENSMUSG00000022312/ENSMUSG00000022336/ENSMUSG00000022884/ENSMUSG00000024991/ENSMUSG00000025508/ENSMUSG00000025794/ENSMUSG00000027236/ENSMUSG00000028798/ENSMUSG00000028936/ENSMUSG00000030057/ENSMUSG00000030744/ENSMUSG00000034994/ENSMUSG00000035150/ENSMUSG00000039001/ENSMUSG00000042699/ENSMUSG00000044533/ENSMUSG00000046364/ENSMUSG00000048758/ENSMUSG00000049517/ENSMUSG00000052146/ENSMUSG00000053565/ENSMUSG00000058558/ENSMUSG00000060636/ENSMUSG00000061787/ENSMUSG00000062328/ENSMUSG00000062647/ENSMUSG00000067288,37
GO:0006417,regulation of translation,59/1342,376/23189,0.156914893617021,2.71140049782795,8.29213522205201,2.58568858598318e-12,1.72723997543676e-09,1.47622404928698e-09,ENSMUSG00000000787/ENSMUSG00000004056/ENSMUSG00000008682/ENSMUSG00000015846/ENSMUSG00000019312/ENSMUSG00000020091/ENSMUSG00000020300/ENSMUSG00000020372/ENSMUSG00000020594/ENSMUSG00000020715/ENSMUSG00000021282/ENSMUSG00000021532/ENSMUSG00000022283/ENSMUSG00000022336/ENSMUSG00000023025/ENSMUSG00000024588/ENSMUSG00000025580/ENSMUSG00000025747/ENSMUSG00000026667/ENSMUSG00000026925/ENSMUSG00000027680/ENSMUSG00000027810/ENSMUSG00000028156/ENSMUSG00000028580/ENSMUSG00000029208/ENSMUSG00000029390/ENSMUSG00000029613/ENSMUSG00000029815/ENSMUSG00000030057/ENSMUSG00000030744/ENSMUSG00000032293/ENSMUSG00000033760/ENSMUSG00000034724/ENSMUSG00000034994/ENSMUSG00000035139/ENSMUSG00000036550/ENSMUSG00000036698/ENSMUSG00000036890/ENSMUSG00000037058/ENSMUSG00000037075/ENSMUSG00000037331/ENSMUSG00000038374/ENSMUSG00000039849/ENSMUSG00000040385/ENSMUSG00000040550/ENSMUSG00000041130/ENSMUSG00000041815/ENSMUSG00000041975/ENSMUSG00000042650/ENSMUSG00000042699/ENSMUSG00000043991/ENSMUSG00000045983/ENSMUSG00000047213/ENSMUSG00000048000/ENSMUSG00000050965/ENSMUSG00000053565/ENSMUSG00000057113/ENSMUSG00000058558/ENSMUSG00000063358,59
GO:0034976,response to endoplasmic reticulum stress,48/1342,278/23189,0.172661870503597,2.98349934061693,8.24602097498945,9.18007379313748e-12,5.45092381672519e-09,4.65875323841211e-09,ENSMUSG00000000275/ENSMUSG00000000787/ENSMUSG00000004270/ENSMUSG00000004446/ENSMUSG00000005312/ENSMUSG00000006676/ENSMUSG00000010517/ENSMUSG00000014905/ENSMUSG00000018442/ENSMUSG00000020109/ENSMUSG00000020448/ENSMUSG00000020521/ENSMUSG00000020571/ENSMUSG00000020715/ENSMUSG00000020964/ENSMUSG00000021669/ENSMUSG00000022564/ENSMUSG00000022769/ENSMUSG00000024392/ENSMUSG00000025130/ENSMUSG00000025917/ENSMUSG00000026199/ENSMUSG00000026353/ENSMUSG00000026663/ENSMUSG00000027810/ENSMUSG00000028277/ENSMUSG00000029390/ENSMUSG00000030102/ENSMUSG00000030247/ENSMUSG00000031751/ENSMUSG00000032437/ENSMUSG00000033773/ENSMUSG00000037075/ENSMUSG00000040462/ENSMUSG00000041459/ENSMUSG00000041765/ENSMUSG00000042406/ENSMUSG00000042632/ENSMUSG00000043019/ENSMUSG00000045983/ENSMUSG00000049470/ENSMUSG00000050812/ENSMUSG00000054455/ENSMUSG00000059890/ENSMUSG00000074093/ENSMUSG00000075000/ENSMUSG00000075701/ENSMUSG00000098332,48
GO:1901293,nucleoside phosphate biosynthetic process,51/1342,310/23189,0.164516129032258,2.84274554107976,8.0954257935837,1.33473012737099e-11,7.13279780067058e-09,6.09620423438182e-09,ENSMUSG00000000171/ENSMUSG00000001891/ENSMUSG00000005510/ENSMUSG00000005580/ENSMUSG00000013593/ENSMUSG00000014294/ENSMUSG00000018770/ENSMUSG00000018846/ENSMUSG00000020022/ENSMUSG00000020153/ENSMUSG00000021048/ENSMUSG00000021606/ENSMUSG00000022292/ENSMUSG00000022354/ENSMUSG00000022450/ENSMUSG00000022574/ENSMUSG00000022814/ENSMUSG00000023861/ENSMUSG00000024712/ENSMUSG00000024781/ENSMUSG00000024899/ENSMUSG00000025393/ENSMUSG00000025428/ENSMUSG00000025747/ENSMUSG00000025781/ENSMUSG00000026032/ENSMUSG00000026568/ENSMUSG00000026670/ENSMUSG00000027673/ENSMUSG00000028992/ENSMUSG00000029247/ENSMUSG00000030541/ENSMUSG00000031059/ENSMUSG00000031299/ENSMUSG00000031948/ENSMUSG00000032349/ENSMUSG00000032456/ENSMUSG00000037601/ENSMUSG00000037916/ENSMUSG00000038690/ENSMUSG00000038717/ENSMUSG00000038967/ENSMUSG00000039065/ENSMUSG00000053870/ENSMUSG00000061118/ENSMUSG00000062683/ENSMUSG00000063358/ENSMUSG00000065947/ENSMUSG00000071014/ENSMUSG00000071253/ENSMUSG00000115338,51
