ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0032943,mononuclear cell proliferation,44/949,342/23189,0.128654970760234,3.14370929078932,8.25014749673683,1.83228251053764e-11,6.80255693527124e-08,5.34384642172453e-08,ENSMUSG00000000732/ENSMUSG00000002603/ENSMUSG00000003873/ENSMUSG00000004665/ENSMUSG00000016206/ENSMUSG00000018899/ENSMUSG00000019843/ENSMUSG00000020143/ENSMUSG00000022221/ENSMUSG00000022901/ENSMUSG00000022971/ENSMUSG00000023274/ENSMUSG00000024397/ENSMUSG00000024610/ENSMUSG00000025001/ENSMUSG00000026430/ENSMUSG00000026778/ENSMUSG00000027843/ENSMUSG00000028581/ENSMUSG00000028633/ENSMUSG00000028664/ENSMUSG00000028962/ENSMUSG00000029869/ENSMUSG00000030365/ENSMUSG00000030707/ENSMUSG00000031101/ENSMUSG00000031497/ENSMUSG00000031628/ENSMUSG00000032440/ENSMUSG00000032966/ENSMUSG00000033767/ENSMUSG00000036111/ENSMUSG00000036594/ENSMUSG00000037706/ENSMUSG00000040329/ENSMUSG00000041193/ENSMUSG00000042228/ENSMUSG00000044303/ENSMUSG00000051457/ENSMUSG00000057672/ENSMUSG00000060038/ENSMUSG00000068686/ENSMUSG00000073412/ENSMUSG00000110206,44
GO:0046651,lymphocyte proliferation,43/949,335/23189,0.128358208955224,3.13645785823255,8.13641296860409,3.35720787085102e-11,6.80255693527124e-08,5.34384642172453e-08,ENSMUSG00000000732/ENSMUSG00000002603/ENSMUSG00000003873/ENSMUSG00000016206/ENSMUSG00000018899/ENSMUSG00000019843/ENSMUSG00000020143/ENSMUSG00000022221/ENSMUSG00000022901/ENSMUSG00000022971/ENSMUSG00000023274/ENSMUSG00000024397/ENSMUSG00000024610/ENSMUSG00000025001/ENSMUSG00000026430/ENSMUSG00000026778/ENSMUSG00000027843/ENSMUSG00000028581/ENSMUSG00000028633/ENSMUSG00000028664/ENSMUSG00000028962/ENSMUSG00000029869/ENSMUSG00000030365/ENSMUSG00000030707/ENSMUSG00000031101/ENSMUSG00000031497/ENSMUSG00000031628/ENSMUSG00000032440/ENSMUSG00000032966/ENSMUSG00000033767/ENSMUSG00000036111/ENSMUSG00000036594/ENSMUSG00000037706/ENSMUSG00000040329/ENSMUSG00000041193/ENSMUSG00000042228/ENSMUSG00000044303/ENSMUSG00000051457/ENSMUSG00000057672/ENSMUSG00000060038/ENSMUSG00000068686/ENSMUSG00000073412/ENSMUSG00000110206,43
GO:0070661,leukocyte proliferation,46/949,377/23189,0.122015915119363,2.98148267197357,8.01265849200698,3.98898960238735e-11,6.80255693527124e-08,5.34384642172453e-08,ENSMUSG00000000732/ENSMUSG00000001750/ENSMUSG00000002603/ENSMUSG00000003873/ENSMUSG00000004665/ENSMUSG00000016206/ENSMUSG00000018899/ENSMUSG00000019843/ENSMUSG00000020143/ENSMUSG00000022221/ENSMUSG00000022901/ENSMUSG00000022971/ENSMUSG00000023274/ENSMUSG00000024397/ENSMUSG00000024610/ENSMUSG00000025001/ENSMUSG00000026430/ENSMUSG00000026778/ENSMUSG00000027843/ENSMUSG00000028581/ENSMUSG00000028633/ENSMUSG00000028664/ENSMUSG00000028962/ENSMUSG00000029869/ENSMUSG00000030365/ENSMUSG00000030707/ENSMUSG00000031101/ENSMUSG00000031497/ENSMUSG00000031628/ENSMUSG00000032440/ENSMUSG00000032966/ENSMUSG00000033767/ENSMUSG00000036111/ENSMUSG00000036594/ENSMUSG00000037706/ENSMUSG00000040329/ENSMUSG00000041193/ENSMUSG00000042228/ENSMUSG00000044303/ENSMUSG00000051457/ENSMUSG00000057672/ENSMUSG00000060038/ENSMUSG00000063065/ENSMUSG00000068686/ENSMUSG00000073412/ENSMUSG00000110206,46
GO:0050863,regulation of T cell activation,46/949,395/23189,0.116455696202532,2.84561763882034,7.64235783456142,1.92953517315623e-10,2.46787548646681e-07,1.93867507660802e-07,ENSMUSG00000000732/ENSMUSG00000000782/ENSMUSG00000002603/ENSMUSG00000003518/ENSMUSG00000004951/ENSMUSG00000016206/ENSMUSG00000018899/ENSMUSG00000022221/ENSMUSG00000022901/ENSMUSG00000023274/ENSMUSG00000023883/ENSMUSG00000024397/ENSMUSG00000024610/ENSMUSG00000026778/ENSMUSG00000027843/ENSMUSG00000028191/ENSMUSG00000028581/ENSMUSG00000028962/ENSMUSG00000029869/ENSMUSG00000030365/ENSMUSG00000030707/ENSMUSG00000030742/ENSMUSG00000031101/ENSMUSG00000031497/ENSMUSG00000031628/ENSMUSG00000032011/ENSMUSG00000032440/ENSMUSG00000033767/ENSMUSG00000034116/ENSMUSG00000036111/ENSMUSG00000036594/ENSMUSG00000037706/ENSMUSG00000038037/ENSMUSG00000039264/ENSMUSG00000040329/ENSMUSG00000041193/ENSMUSG00000044303/ENSMUSG00000050697/ENSMUSG00000051457/ENSMUSG00000060038/ENSMUSG00000060586/ENSMUSG00000060802/ENSMUSG00000061981/ENSMUSG00000068686/ENSMUSG00000070000/ENSMUSG00000073421,46
GO:0032944,regulation of mononuclear cell proliferation,36/949,264/23189,0.136363636363636,3.33207203755149,7.87202769778157,2.48355043594723e-10,2.5411688060612e-07,1.99625169777821e-07,ENSMUSG00000000732/ENSMUSG00000002603/ENSMUSG00000004665/ENSMUSG00000016206/ENSMUSG00000018899/ENSMUSG00000022221/ENSMUSG00000022901/ENSMUSG00000023274/ENSMUSG00000024397/ENSMUSG00000024610/ENSMUSG00000026430/ENSMUSG00000026778/ENSMUSG00000027843/ENSMUSG00000028581/ENSMUSG00000028664/ENSMUSG00000028962/ENSMUSG00000030365/ENSMUSG00000030707/ENSMUSG00000031101/ENSMUSG00000031497/ENSMUSG00000031628/ENSMUSG00000032440/ENSMUSG00000033767/ENSMUSG00000036111/ENSMUSG00000036594/ENSMUSG00000037706/ENSMUSG00000040329/ENSMUSG00000041193/ENSMUSG00000042228/ENSMUSG00000044303/ENSMUSG00000051457/ENSMUSG00000057672/ENSMUSG00000060038/ENSMUSG00000068686/ENSMUSG00000073412/ENSMUSG00000110206,36
GO:0002260,lymphocyte homeostasis,21/949,98/23189,0.214285714285714,5.23611320186663,8.68073672943297,3.64493326601763e-10,2.84556757631999e-07,2.23537652902961e-07,ENSMUSG00000001729/ENSMUSG00000001750/ENSMUSG00000002603/ENSMUSG00000003873/ENSMUSG00000021022/ENSMUSG00000021109/ENSMUSG00000022221/ENSMUSG00000024521/ENSMUSG00000024610/ENSMUSG00000028191/ENSMUSG00000030707/ENSMUSG00000030742/ENSMUSG00000031093/ENSMUSG00000031101/ENSMUSG00000031497/ENSMUSG00000031628/ENSMUSG00000036111/ENSMUSG00000039264/ENSMUSG00000039936/ENSMUSG00000042228/ENSMUSG00000057672,21
GO:0007159,leukocyte cell-cell adhesion,48/949,432/23189,0.111111111111111,2.71502166022714,7.4327810304646,3.89346619121186e-10,2.84556757631999e-07,2.23537652902961e-07,ENSMUSG00000000732/ENSMUSG00000001729/ENSMUSG00000002603/ENSMUSG00000003518/ENSMUSG00000004951/ENSMUSG00000016206/ENSMUSG00000018899/ENSMUSG00000020272/ENSMUSG00000020400/ENSMUSG00000022901/ENSMUSG00000023274/ENSMUSG00000023883/ENSMUSG00000024397/ENSMUSG00000024610/ENSMUSG00000026778/ENSMUSG00000027843/ENSMUSG00000028191/ENSMUSG00000028581/ENSMUSG00000028962/ENSMUSG00000029869/ENSMUSG00000030707/ENSMUSG00000031101/ENSMUSG00000031497/ENSMUSG00000031628/ENSMUSG00000032011/ENSMUSG00000032440/ENSMUSG00000033767/ENSMUSG00000034116/ENSMUSG00000036594/ENSMUSG00000037706/ENSMUSG00000038037/ENSMUSG00000039264/ENSMUSG00000040329/ENSMUSG00000041193/ENSMUSG00000044303/ENSMUSG00000048163/ENSMUSG00000049307/ENSMUSG00000050697/ENSMUSG00000051457/ENSMUSG00000052336/ENSMUSG00000057058/ENSMUSG00000060038/ENSMUSG00000060586/ENSMUSG00000060802/ENSMUSG00000061981/ENSMUSG00000068686/ENSMUSG00000070000/ENSMUSG00000073421,48
GO:0018108,peptidyl-tyrosine phosphorylation,38/949,297/23189,0.127946127946128,3.12638857844337,7.6186206148609,5.14096221225331e-10,2.88831537649794e-07,2.26895767817561e-07,ENSMUSG00000002058/ENSMUSG00000002603/ENSMUSG00000003283/ENSMUSG00000003534/ENSMUSG00000004371/ENSMUSG00000008734/ENSMUSG00000015133/ENSMUSG00000016526/ENSMUSG00000018381/ENSMUSG00000018899/ENSMUSG00000019843/ENSMUSG00000022791/ENSMUSG00000022831/ENSMUSG00000022906/ENSMUSG00000023274/ENSMUSG00000024610/ENSMUSG00000024777/ENSMUSG00000025856/ENSMUSG00000026235/ENSMUSG00000027843/ENSMUSG00000028017/ENSMUSG00000028289/ENSMUSG00000028664/ENSMUSG00000030341/ENSMUSG00000030352/ENSMUSG00000031548/ENSMUSG00000031776/ENSMUSG00000032006/ENSMUSG00000034330/ENSMUSG00000038037/ENSMUSG00000040329/ENSMUSG00000042228/ENSMUSG00000053158/ENSMUSG00000054793/ENSMUSG00000055022/ENSMUSG00000060216/ENSMUSG00000062209/ENSMUSG00000063065,38
GO:0042098,T cell proliferation,34/949,246/23189,0.138211382113821,3.37722206516059,7.74300543823752,5.44383431416124e-10,2.88831537649794e-07,2.26895767817561e-07,ENSMUSG00000000732/ENSMUSG00000002603/ENSMUSG00000003873/ENSMUSG00000016206/ENSMUSG00000018899/ENSMUSG00000019843/ENSMUSG00000020143/ENSMUSG00000022221/ENSMUSG00000022901/ENSMUSG00000022971/ENSMUSG00000023274/ENSMUSG00000024397/ENSMUSG00000026778/ENSMUSG00000027843/ENSMUSG00000028581/ENSMUSG00000028633/ENSMUSG00000028962/ENSMUSG00000029869/ENSMUSG00000030365/ENSMUSG00000030707/ENSMUSG00000031101/ENSMUSG00000031497/ENSMUSG00000031628/ENSMUSG00000032440/ENSMUSG00000032966/ENSMUSG00000033767/ENSMUSG00000036111/ENSMUSG00000036594/ENSMUSG00000037706/ENSMUSG00000041193/ENSMUSG00000044303/ENSMUSG00000051457/ENSMUSG00000060038/ENSMUSG00000068686,34
GO:0050670,regulation of lymphocyte proliferation,35/949,259/23189,0.135135135135135,3.30205337054652,7.69592104228421,5.64565163506243e-10,2.88831537649794e-07,2.26895767817561e-07,ENSMUSG00000000732/ENSMUSG00000002603/ENSMUSG00000016206/ENSMUSG00000018899/ENSMUSG00000022221/ENSMUSG00000022901/ENSMUSG00000023274/ENSMUSG00000024397/ENSMUSG00000024610/ENSMUSG00000026430/ENSMUSG00000026778/ENSMUSG00000027843/ENSMUSG00000028581/ENSMUSG00000028664/ENSMUSG00000028962/ENSMUSG00000030365/ENSMUSG00000030707/ENSMUSG00000031101/ENSMUSG00000031497/ENSMUSG00000031628/ENSMUSG00000032440/ENSMUSG00000033767/ENSMUSG00000036111/ENSMUSG00000036594/ENSMUSG00000037706/ENSMUSG00000040329/ENSMUSG00000041193/ENSMUSG00000042228/ENSMUSG00000044303/ENSMUSG00000051457/ENSMUSG00000057672/ENSMUSG00000060038/ENSMUSG00000068686/ENSMUSG00000073412/ENSMUSG00000110206,35
