ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0002181,cytoplasmic translation,30/624,168/23189,0.178571428571429,6.63604624542125,12.1919554809545,1.69294628699596e-16,7.72322096127558e-13,6.39577286739843e-13,ENSMUSG00000000552/ENSMUSG00000003970/ENSMUSG00000004056/ENSMUSG00000008668/ENSMUSG00000009927/ENSMUSG00000012848/ENSMUSG00000022312/ENSMUSG00000022336/ENSMUSG00000022884/ENSMUSG00000025508/ENSMUSG00000025794/ENSMUSG00000027236/ENSMUSG00000028798/ENSMUSG00000028936/ENSMUSG00000030057/ENSMUSG00000030744/ENSMUSG00000039001/ENSMUSG00000042699/ENSMUSG00000044533/ENSMUSG00000046364/ENSMUSG00000048758/ENSMUSG00000049517/ENSMUSG00000052146/ENSMUSG00000053565/ENSMUSG00000058558/ENSMUSG00000060636/ENSMUSG00000061787/ENSMUSG00000062328/ENSMUSG00000062647/ENSMUSG00000067288,30
GO:0140236,translation at presynapse,15/624,47/23189,0.319148936170213,11.8601677577741,12.3934234888531,8.0631643881859e-13,1.30471752626595e-09,1.08046590871236e-09,ENSMUSG00000003970/ENSMUSG00000008682/ENSMUSG00000012848/ENSMUSG00000025508/ENSMUSG00000025794/ENSMUSG00000028936/ENSMUSG00000046364/ENSMUSG00000048758/ENSMUSG00000052146/ENSMUSG00000058558/ENSMUSG00000060636/ENSMUSG00000062328/ENSMUSG00000062647/ENSMUSG00000067288/ENSMUSG00000090733,15
GO:0140241,translation at synapse,15/624,48/23189,0.3125,11.6130809294872,12.2398840926052,1.14398730930815e-12,1.30471752626595e-09,1.08046590871236e-09,ENSMUSG00000003970/ENSMUSG00000008682/ENSMUSG00000012848/ENSMUSG00000025508/ENSMUSG00000025794/ENSMUSG00000028936/ENSMUSG00000046364/ENSMUSG00000048758/ENSMUSG00000052146/ENSMUSG00000058558/ENSMUSG00000060636/ENSMUSG00000062328/ENSMUSG00000062647/ENSMUSG00000067288/ENSMUSG00000090733,15
GO:0140242,translation at postsynapse,15/624,48/23189,0.3125,11.6130809294872,12.2398840926052,1.14398730930815e-12,1.30471752626595e-09,1.08046590871236e-09,ENSMUSG00000003970/ENSMUSG00000008682/ENSMUSG00000012848/ENSMUSG00000025508/ENSMUSG00000025794/ENSMUSG00000028936/ENSMUSG00000046364/ENSMUSG00000048758/ENSMUSG00000052146/ENSMUSG00000058558/ENSMUSG00000060636/ENSMUSG00000062328/ENSMUSG00000062647/ENSMUSG00000067288/ENSMUSG00000090733,15
GO:0009060,aerobic respiration,28/624,206/23189,0.135922330097087,5.05112646253423,9.71208163078589,1.99616389913746e-12,1.82129994157302e-09,1.50825941768512e-09,ENSMUSG00000000088/ENSMUSG00000001729/ENSMUSG00000005510/ENSMUSG00000014294/ENSMUSG00000017778/ENSMUSG00000020022/ENSMUSG00000020153/ENSMUSG00000021520/ENSMUSG00000022354/ENSMUSG00000022450/ENSMUSG00000025428/ENSMUSG00000025781/ENSMUSG00000026032/ENSMUSG00000027673/ENSMUSG00000030541/ENSMUSG00000031059/ENSMUSG00000031299/ENSMUSG00000031818/ENSMUSG00000032293/ENSMUSG00000032330/ENSMUSG00000037916/ENSMUSG00000041431/ENSMUSG00000049422/ENSMUSG00000059534/ENSMUSG00000061118/ENSMUSG00000064358/ENSMUSG00000064370/ENSMUSG00000065947,28
GO:0006119,oxidative phosphorylation,24/624,154/23189,0.155844155844156,5.79145854145854,9.92065298321935,3.92205827995708e-12,2.98207164552736e-09,2.46952055557297e-09,ENSMUSG00000000088/ENSMUSG00000005510/ENSMUSG00000014294/ENSMUSG00000017778/ENSMUSG00000020022/ENSMUSG00000020153/ENSMUSG00000021520/ENSMUSG00000022354/ENSMUSG00000022450/ENSMUSG00000025428/ENSMUSG00000025781/ENSMUSG00000026032/ENSMUSG00000027673/ENSMUSG00000031059/ENSMUSG00000031818/ENSMUSG00000032330/ENSMUSG00000037916/ENSMUSG00000041431/ENSMUSG00000049422/ENSMUSG00000059534/ENSMUSG00000061118/ENSMUSG00000064358/ENSMUSG00000064370/ENSMUSG00000065947,24
GO:0045333,cellular respiration,30/624,270/23189,0.111111111111111,4.12909544159544,8.60021149451602,5.81796099625022e-11,3.62917165627598e-08,3.00539861888241e-08,ENSMUSG00000000088/ENSMUSG00000001729/ENSMUSG00000005510/ENSMUSG00000014294/ENSMUSG00000017778/ENSMUSG00000020022/ENSMUSG00000020128/ENSMUSG00000020153/ENSMUSG00000021520/ENSMUSG00000022354/ENSMUSG00000022450/ENSMUSG00000025428/ENSMUSG00000025781/ENSMUSG00000026032/ENSMUSG00000027673/ENSMUSG00000030541/ENSMUSG00000031059/ENSMUSG00000031299/ENSMUSG00000031818/ENSMUSG00000032122/ENSMUSG00000032293/ENSMUSG00000032330/ENSMUSG00000037916/ENSMUSG00000041431/ENSMUSG00000049422/ENSMUSG00000059534/ENSMUSG00000061118/ENSMUSG00000064358/ENSMUSG00000064370/ENSMUSG00000065947,30
GO:0015986,proton motive force-driven ATP synthesis,16/624,72/23189,0.222222222222222,8.25819088319088,10.2573498652273,6.36417651254007e-11,3.62917165627598e-08,3.00539861888241e-08,ENSMUSG00000005510/ENSMUSG00000014294/ENSMUSG00000020022/ENSMUSG00000020153/ENSMUSG00000022354/ENSMUSG00000022450/ENSMUSG00000025428/ENSMUSG00000025781/ENSMUSG00000026032/ENSMUSG00000027673/ENSMUSG00000031059/ENSMUSG00000037916/ENSMUSG00000038717/ENSMUSG00000061118/ENSMUSG00000062683/ENSMUSG00000065947,16
GO:1901293,nucleoside phosphate biosynthetic process,31/624,310/23189,0.1,3.7161858974359,8.00623050394675,3.98844534095558e-10,2.02169862727104e-07,1.67421407353094e-07,ENSMUSG00000001891/ENSMUSG00000002603/ENSMUSG00000005510/ENSMUSG00000014294/ENSMUSG00000018846/ENSMUSG00000020022/ENSMUSG00000020153/ENSMUSG00000020231/ENSMUSG00000022354/ENSMUSG00000022450/ENSMUSG00000022574/ENSMUSG00000022814/ENSMUSG00000023861/ENSMUSG00000025428/ENSMUSG00000025781/ENSMUSG00000026032/ENSMUSG00000026568/ENSMUSG00000026956/ENSMUSG00000027673/ENSMUSG00000028937/ENSMUSG00000029247/ENSMUSG00000029366/ENSMUSG00000030541/ENSMUSG00000031059/ENSMUSG00000031299/ENSMUSG00000031948/ENSMUSG00000037916/ENSMUSG00000038717/ENSMUSG00000061118/ENSMUSG00000062683/ENSMUSG00000065947,31
GO:0072522,purine-containing compound biosynthetic process,27/624,250/23189,0.108,4.01348076923077,7.96631471865771,1.00543386001439e-09,4.18480465468638e-07,3.46553079343534e-07,ENSMUSG00000002603/ENSMUSG00000005510/ENSMUSG00000014294/ENSMUSG00000018846/ENSMUSG00000020022/ENSMUSG00000020153/ENSMUSG00000020231/ENSMUSG00000022354/ENSMUSG00000022450/ENSMUSG00000022574/ENSMUSG00000023861/ENSMUSG00000025428/ENSMUSG00000025781/ENSMUSG00000026032/ENSMUSG00000026568/ENSMUSG00000027673/ENSMUSG00000028937/ENSMUSG00000029247/ENSMUSG00000029366/ENSMUSG00000030541/ENSMUSG00000031059/ENSMUSG00000031299/ENSMUSG00000037916/ENSMUSG00000038717/ENSMUSG00000061118/ENSMUSG00000062683/ENSMUSG00000065947,27
