"","Gene","Symbol","LFC_Age","LFC_Combined","LFC_DR","LFC_sAct","Restoration_DR","Restoration_sAct","Restoration_Combined","Intervention_DR_Effect","Intervention_sAct_Effect","Intervention_Combined_Effect"
"1","ENSMUSG00000001517","Foxm1",1.1478336838303,-0.208549383031823,0.0408890229916272,0.00287171029921994,0,0,0.181689547858447,"Worsening","Worsening","Rescue"
"2","ENSMUSG00000002297","Dbf4",0.683206104494068,-0.0807857039605211,0.0729936377569884,0.00549723788351056,0,0,0.118244997269667,"Worsening","Worsening","Rescue"
"3","ENSMUSG00000002767","Mrpl2",-0.274443031362477,0.000843117040196432,-0.04060499162744,-0.00214589858602851,0,0,0.00307210219917323,"Worsening","Worsening","Rescue"
"4","ENSMUSG00000003355","Fkbp11",0.514182722928274,-0.0223480840230278,0.0195913873438475,0.00316202505709821,0,0,0.0434633118276619,"Worsening","Worsening","Rescue"
"5","ENSMUSG00000005034","Prkacb",-0.333928035911971,0.00345887588125325,-0.0241899069578022,-2.56583748255604e-06,0,0,0.0103581475925102,"Worsening","Worsening","Rescue"
"6","ENSMUSG00000006010","Odr4",-0.332939441942057,0.0465528704833148,-0.0694081514369283,-0.0273756374963043,0,0,0.139823837667802,"Worsening","Worsening","Rescue"
"7","ENSMUSG00000006050","Sra1",-0.262518914196708,0.0168293056406663,-0.0101006077327975,-0.000247011277509672,0,0,0.0641070213632528,"Worsening","Worsening","Rescue"
"8","ENSMUSG00000006476","Nsmf",0.496178266052841,-0.0356933253090702,0.00282129754242078,0.00600590360042861,0,0,0.0719364949073949,"Worsening","Worsening","Rescue"
"9","ENSMUSG00000010362","Rdm1",-0.318019201832952,0.0254876074471335,-0.0655519679458285,-0.00627587345250927,0,0,0.0801448695557746,"Worsening","Worsening","Rescue"
"10","ENSMUSG00000014873","Surf2",-0.438327896623482,0.048378635700204,-0.0515128350191033,-0.004822291192985,0,0,0.110370880048642,"Worsening","Worsening","Rescue"
"11","ENSMUSG00000015759","Cnih1",-0.231708742088458,0.00496379975894152,-0.0172295343871439,-6.44361572674194e-05,0,0,0.0214225829988172,"Worsening","Worsening","Rescue"
"12","ENSMUSG00000018442","Derl2",-0.444069117083812,0.0132752992049601,-0.0335101108317925,-0.00335367820968594,0,0,0.0298946688572683,"Worsening","Worsening","Rescue"
"13","ENSMUSG00000018858","Mrpl58",-0.429084067649798,0.0675395646756051,-0.0327910766228081,-0.00725063813067384,0,0,0.157404037501407,"Worsening","Worsening","Rescue"
"14","ENSMUSG00000019738","Polr2i",-0.580595636111605,0.0834489851131157,-0.013587756202163,-0.00453300167585868,0,0,0.143729955795043,"Worsening","Worsening","Rescue"
"15","ENSMUSG00000020163","Uqcr11",-0.229401667570859,0.0160495462837838,-0.0376582505062251,-0.00446014865694032,0,0,0.0699626400005409,"Worsening","Worsening","Rescue"
"16","ENSMUSG00000020671","Rab10",-0.171052498132284,0.0320200438279601,-0.0168476298048545,-0.00231679316728762,0,0,0.187194248418385,"Worsening","Worsening","Rescue"
"17","ENSMUSG00000020843","Timm22",-0.428750754978082,0.00487124605076269,-0.025932113003411,-0.000345372336930002,0,0,0.0113614868177007,"Worsening","Worsening","Rescue"
"18","ENSMUSG00000021606","Ndufs6",-0.42160079781513,0.0253767232233711,-0.0227688286557382,-0.00185680087573697,0,0,0.0601913548429732,"Worsening","Worsening","Rescue"
"19","ENSMUSG00000021607","Mrpl36",-0.41796862694918,0.00317290592643881,-0.0869811728119622,-0.00311973568348687,0,0,0.0075912537972009,"Worsening","Worsening","Rescue"
"20","ENSMUSG00000021816","Ppp3cb",-0.222291790082719,0.0522755349807077,-0.0120454252954539,-0.00103231819070086,0,0,0.235166287343563,"Worsening","Worsening","Rescue"
"21","ENSMUSG00000021906","Oxnad1",-0.350383439477585,0.0291604587237594,-0.00943727150031468,-0.000308708956057732,0,0,0.0832244205583375,"Worsening","Worsening","Rescue"
"22","ENSMUSG00000022032","Scara5",0.540204411370361,-0.0523943986252375,0.020546340976773,0.0095293221389289,0,0,0.0969899495865394,"Worsening","Worsening","Rescue"
"23","ENSMUSG00000022248","Rad1",-0.488795625715915,0.0504046787483057,-0.126641069406185,-0.00578300009839079,0,0,0.103120151033431,"Worsening","Worsening","Rescue"
"24","ENSMUSG00000022339","Ebag9",-0.272779304988534,0.0174528916043052,-0.100852849318975,-0.0114572308556229,0,0,0.0639817291309499,"Worsening","Worsening","Rescue"
"25","ENSMUSG00000022404","Slc25a17",-0.358793564735657,0.00554967390389208,-0.0559339956479125,-0.00201147270770619,0,0,0.0154675959920876,"Worsening","Worsening","Rescue"
"26","ENSMUSG00000022551","Cyc1",-0.407117411923211,0.031826625724018,-0.00231124775272767,-0.000594678861445506,0,0,0.078175545412489,"Worsening","Worsening","Rescue"
