"","Gene","Symbol","LFC_Age","LFC_Combined","LFC_DR","LFC_sAct","Restoration_DR","Restoration_sAct","Restoration_Combined","Intervention_DR_Effect","Intervention_sAct_Effect","Intervention_Combined_Effect"
"1","ENSMUSG00000000142","Axin2",0.641435963733553,-0.0303830290960551,0.00595355344760543,-0.00357045353369379,0,0.00556634447640189,0.047367205479417,"Worsening","Rescue","Rescue"
"2","ENSMUSG00000001018","Snapin",0.358573749175416,-0.00553764352881075,0.0364068907862109,-0.00402576297443516,0,0.011227154758799,0.0154435274237036,"Worsening","Rescue","Rescue"
"3","ENSMUSG00000001039","B9d1",0.442816034618868,-0.185154963491852,0.00792278422521671,-0.0135724568648862,0,0.0306503283616818,0.418130666047844,"Worsening","Rescue","Rescue"
"4","ENSMUSG00000002748","Baz1b",-0.413050725542175,0.00306041991861064,-0.0142666032911553,0.00118732678846941,0,0.00287453020911878,0.00740930769360954,"Worsening","Rescue","Rescue"
"5","ENSMUSG00000003813","Rad23a",-0.512027199508872,0.0232541509901566,-0.0352906254884749,0.00336322117654466,0,0.00656844241823601,0.0454158509791308,"Worsening","Rescue","Rescue"
"6","ENSMUSG00000005774","Rfx5",0.42370727052529,-0.0211919520006812,0.0489665572868171,-0.000291845537900034,0,0.000688790488627253,0.0500155495901889,"Worsening","Rescue","Rescue"
"7","ENSMUSG00000005951","Shpk",-0.384821570003648,0.0624736957378131,-0.0198553738704845,0.00355559784976875,0,0.00923960122540701,0.162344578910223,"Worsening","Rescue","Rescue"
"8","ENSMUSG00000006392","Med8",-0.349962334019408,0.00780283831325471,-0.0205193100548164,0.00161923362186427,0,0.00462687970807302,0.022296223206758,"Worsening","Rescue","Rescue"
"9","ENSMUSG00000007837","Prrg2",-0.253883591292451,0.017366329521201,-0.0452868653624821,0.00115322320174366,0,0.00454233058494614,0.0684027251733515,"Worsening","Rescue","Rescue"
"10","ENSMUSG00000009112","Bcl2l13",-0.431978998308486,0.014084527863414,-0.00940053644044349,0.019813989360028,0,0.0458679459825925,0.032604658834261,"Worsening","Rescue","Rescue"
"11","ENSMUSG00000010057","Nprl2",-0.478669980776922,0.0559564637846425,-0.0563522618444229,0.00058608272303952,0,0.00122439832572801,0.116899880986521,"Worsening","Rescue","Rescue"
"12","ENSMUSG00000010277","Bltp2",-0.248587899785083,0.0408769753167119,-0.000418068076881992,0.00162630598103273,0,0.0065421767609717,0.164436705696666,"Worsening","Rescue","Rescue"
