"","Aged1","celltype"
"Cell_1",0,"DCT/CNT"
"Cell_2",0.169985212421558,"PT-2"
"Cell_3",0,"PT-1"
"Cell_4",0,"PT-1"
"Cell_5",0,"PT-1"
"Cell_6",0,"PT-1"
"Cell_7",0,"PT-1"
"Cell_8",0,"PC_CNT"
"Cell_9",0.0347143623282064,"EC-2"
"Cell_10",0,"PC_CNT"
"Cell_11",0,"PT-1"
"Cell_12",0,"PT-1"
"Cell_13",0,"PT-1"
"Cell_14",0.122145166872712,"PT-2"
"Cell_15",0,"TAL-2"
"Cell_16",0,"PT-1"
"Cell_17",0.193052937418057,"PT-1"
"Cell_18",0,"PT-1"
"Cell_19",0,"PT-1"
"Cell_20",0.273191650648845,"PT-1"
"Cell_21",0.0847363867155531,"EC-2"
"Cell_22",0.0680989156101648,"PT-1"
"Cell_23",0.137890643539989,"PT-1"
"Cell_24",0,"TAL-2"
"Cell_25",0,"TAL-1"
"Cell_26",0,"PT-1"
"Cell_27",0,"DCT/CNT"
"Cell_28",0.204138959581886,"PT-1"
"Cell_29",0.231524242803514,"PT-1"
"Cell_30",-0.0398108554310047,"EC-2"
"Cell_31",0.150934936937532,"PT-2"
"Cell_32",0,"PT-1"
"Cell_33",0.0915370204611042,"FIB"
"Cell_34",0,"PT-1"
"Cell_35",0,"TAL-1"
"Cell_36",0.156527422641717,"PT-1"
"Cell_37",0.248173346714272,"PT-1"
"Cell_38",0,"PT-1"
"Cell_39",0,"PT-1"
"Cell_40",0.00563035364392178,"EC-2"
"Cell_41",0,"PT-1"
"Cell_42",0.176773809673683,"PT-1"
"Cell_43",0,"DCT/CNT"
"Cell_44",0.215226316872522,"PT-1"
"Cell_45",0,"PT-1"
"Cell_46",0.144826658145443,"PT-1"
"Cell_47",0,"PT-1"
"Cell_48",0,"PT-1"
"Cell_49",0.141986371295717,"PT-2"
"Cell_50",0.0625533787198798,"FIB"
"Cell_51",0,"PT-1"
"Cell_52",0,"PT-1"
"Cell_53",0,"PT-1"
"Cell_54",0,"PT-1"
"Cell_55",0,"PT-1"
"Cell_56",0,"PT-1"
"Cell_57",0,"PT-1"
"Cell_58",0.288243992152565,"PT-1"
"Cell_59",0.142704833482686,"PT-2"
"Cell_60",0.206316547887566,"PT-1"
"Cell_61",0,"PT-1"
"Cell_62",0.18154536975433,"PT-2"
"Cell_63",0,"PT-1"
"Cell_64",0.0816874024719959,"EC-3"
"Cell_65",0,"PT-1"
"Cell_66",0.0925880213332932,"EC-3"
"Cell_67",0.0294137889445529,"IMM"
"Cell_68",0,"PT-1"
"Cell_69",0.0901584552638598,"IC-A"
"Cell_70",0.222221041900317,"PT-1"
"Cell_71",0.0454020478669471,"TAL-1"
"Cell_72",0,"PT-1"
"Cell_73",0,"PT-1"
"Cell_74",0.25868388318943,"PT-1"
"Cell_75",0,"PT-1"
"Cell_76",0.287100916199973,"PT-1"
"Cell_77",0.237172018495874,"PT-1"
"Cell_78",0,"TAL-1"
"Cell_79",0.268320116599509,"PT-1"
"Cell_80",0,"PT-1"
"Cell_81",0,"PT-1"
"Cell_82",0,"TAL-1"
"Cell_83",0,"TAL-2"
"Cell_84",0.0612278850899877,"FIB"
"Cell_85",0.247857613292751,"PT-1"
"Cell_86",0,"TAL-2"
"Cell_87",0.0812739385991259,"EC-2"
"Cell_88",0,"PT-1"
"Cell_89",0.163322238792587,"PT-2"
"Cell_90",0.215914622548699,"PT-1"
"Cell_91",0,"PC_CNT"
"Cell_92",0,"PT-1"
"Cell_93",0,"PT-1"
"Cell_94",0,"TAL-1"
"Cell_95",0,"PT-1"
"Cell_96",0.27334002501774,"PT-1"
"Cell_97",0,"PT-1"
"Cell_98",0.226457862335509,"PT-1"
"Cell_99",0.164338228689991,"PT-1"
"Cell_100",0,"PT-1"
"Cell_101",0.242096460952281,"PT-1"
"Cell_102",0,"PT-1"
"Cell_103",0.00869475002549949,"vSMC/MC"
"Cell_104",0,"DCT/CNT"
"Cell_105",-0.0155657043379978,"EC-2"
"Cell_106",0.114524642975006,"IC-B"
"Cell_107",0,"TAL-1"
"Cell_108",0,"PT-1"
"Cell_109",0,"TAL-1"
"Cell_110",0,"PT-1"
"Cell_111",0.203147564738948,"PT-1"
"Cell_112",0,"PT-1"
"Cell_113",0.0919787091090193,"EC-2"
"Cell_114",0,"PT-1"
"Cell_115",0.163589719801501,"PT-2"
"Cell_116",0,"TAL-1"
"Cell_117",0,"TAL-1"
"Cell_118",-0.000353882899002789,"EC-2"
