"","Reversal_norm1","Reversal_DR1","Reversal_sAct1","celltype"
"Cell_1",0,0,0,"DCT/CNT"
"Cell_2",0.093693736627682,-0.0262574204341436,0.454768071264007,"PT-2"
"Cell_3",0,0,0,"PT-1"
"Cell_4",0,0,0,"PT-1"
"Cell_5",0,0,0,"PT-1"
"Cell_6",0,0,0,"PT-1"
"Cell_7",0,0,0,"PT-1"
"Cell_8",0,0,0,"PC_CNT"
"Cell_9",0.320638595148898,0.514708955895288,0.190398465570205,"EC-2"
"Cell_10",0,0,0,"PC_CNT"
"Cell_11",0,0,0,"PT-1"
"Cell_12",0,0,0,"PT-1"
"Cell_13",0,0,0,"PT-1"
"Cell_14",-0.00510994642603169,-0.112063619928201,0.260005495120736,"PT-2"
"Cell_15",0,0,0,"TAL-2"
"Cell_16",0,0,0,"PT-1"
"Cell_17",0.110644923247478,0.0171602255131829,0.442922939889938,"PT-1"
"Cell_18",0,0,0,"PT-1"
"Cell_19",0,0,0,"PT-1"
"Cell_20",0.154534568605969,-0.147718609506505,-0.108829300844732,"PT-1"
"Cell_21",0.208786598216414,0.169424441241577,0.0936610868243258,"EC-2"
"Cell_22",0.0545207517141923,0.0948262431456312,0.301715927423417,"PT-1"
"Cell_23",0.181931194134252,0.169587520976295,0.108598083303299,"PT-1"
"Cell_24",0,0,0,"TAL-2"
"Cell_25",0,0,0,"TAL-1"
"Cell_26",0,0,0,"PT-1"
"Cell_27",0,0,0,"DCT/CNT"
"Cell_28",0.370252650529547,0.00177323281359043,0.804802988671715,"PT-1"
"Cell_29",0.169499064744697,-0.0205278312066189,-0.00593127834822715,"PT-1"
"Cell_30",0.0977029509825728,0.221020840120322,-0.107921073733864,"EC-2"
"Cell_31",0.117694768303296,0.0758149350208819,0.22446746764565,"PT-2"
"Cell_32",0,0,0,"PT-1"
"Cell_33",0.15293141187872,0.369213277869712,-0.189840680218391,"FIB"
"Cell_34",0,0,0,"PT-1"
"Cell_35",0,0,0,"TAL-1"
"Cell_36",0.0169167374605506,-0.0462589238578439,-0.0134611317792928,"PT-1"
"Cell_37",0.182687882931018,-0.0681240071236808,0.189486387078288,"PT-1"
"Cell_38",0,0,0,"PT-1"
"Cell_39",0,0,0,"PT-1"
"Cell_40",0.0760259937828282,0.152813050755278,-0.350224110721257,"EC-2"
"Cell_41",0,0,0,"PT-1"
"Cell_42",0.278509136571451,0.0799379115763518,0.168134903741121,"PT-1"
"Cell_43",0,0,0,"DCT/CNT"
"Cell_44",0.144169062953623,-0.0872823873981714,-0.0537232751741279,"PT-1"
"Cell_45",0,0,0,"PT-1"
"Cell_46",0.154731928088274,0.0327945041735529,0.232592606856202,"PT-1"
"Cell_47",0,0,0,"PT-1"
"Cell_48",0,0,0,"PT-1"
"Cell_49",0.0810418357787305,-0.0352458530524214,0.294713952020114,"PT-2"
"Cell_50",0.245912638090881,0.429961124506,0.250587652768135,"FIB"
"Cell_51",0,0,0,"PT-1"
"Cell_52",0,0,0,"PT-1"
"Cell_53",0,0,0,"PT-1"
"Cell_54",0,0,0,"PT-1"
"Cell_55",0,0,0,"PT-1"
"Cell_56",0,0,0,"PT-1"
"Cell_57",0,0,0,"PT-1"
"Cell_58",0.399536765060342,0.167576675248614,0.178281877932489,"PT-1"
"Cell_59",0.048211552621756,-0.0882448142635401,0.444496556977871,"PT-2"
"Cell_60",0.117881464392949,-0.0991672253663956,-0.165284132856008,"PT-1"
"Cell_61",0,0,0,"PT-1"
"Cell_62",0.138955323486727,0.123064997425866,-0.398102612391126,"PT-2"
"Cell_63",0,0,0,"PT-1"
"Cell_64",0.213573763503646,0.314467445142746,0.134204985880203,"EC-3"
"Cell_65",0,0,0,"PT-1"
"Cell_66",0.145936080765402,0.255008978869911,0.312670169732286,"EC-3"
"Cell_67",0.165350868311892,0.226367872801392,0.0298828331962426,"IMM"
"Cell_68",0,0,0,"PT-1"
"Cell_69",0.232780399275292,0.148730971587208,0.899912056101047,"IC-A"
"Cell_70",0.221030043976848,-0.0716960849197857,0.244612006692569,"PT-1"
"Cell_71",0.0633692253208389,0.0176562826251833,0.504255482273646,"TAL-1"
"Cell_72",0,0,0,"PT-1"
"Cell_73",0,0,0,"PT-1"
"Cell_74",0.104769945303101,-0.0341945739206381,0.542588283976388,"PT-1"
"Cell_75",0,0,0,"PT-1"
"Cell_76",0.208583341343397,0.070006092957109,0.390005239338748,"PT-1"
"Cell_77",0.313820419690706,-0.259614399978287,0.395980642537944,"PT-1"
"Cell_78",0,0,0,"TAL-1"
"Cell_79",0.284755375619472,0.269200245936705,-0.0570965725070043,"PT-1"
"Cell_80",0,0,0,"PT-1"
"Cell_81",0,0,0,"PT-1"
"Cell_82",0,0,0,"TAL-1"
"Cell_83",0,0,0,"TAL-2"
"Cell_84",0.186454105082246,0.238477347822052,0.244952637272826,"FIB"
"Cell_85",0.250195840484628,0.330658487498057,-0.395084610881937,"PT-1"
"Cell_86",0,0,0,"TAL-2"
"Cell_87",0.213585514342938,0.341255513626148,-0.148040660163464,"EC-2"
"Cell_88",0,0,0,"PT-1"
"Cell_89",-0.000408423542216263,-0.0213597957907848,0.0580071710588463,"PT-2"
"Cell_90",0.0988693356129993,0.0552540341265472,-0.117132795827667,"PT-1"
"Cell_91",0,0,0,"PC_CNT"
"Cell_92",0,0,0,"PT-1"
"Cell_93",0,0,0,"PT-1"
"Cell_94",0,0,0,"TAL-1"
"Cell_95",0,0,0,"PT-1"
"Cell_96",0.161576269647755,-0.0319833724495304,0.0927595200472077,"PT-1"
"Cell_97",0,0,0,"PT-1"
"Cell_98",0.146774763572312,0.0139637908130735,-0.258658353175167,"PT-1"
"Cell_99",0.395238129056513,0.15043997141583,-0.00471345205998319,"PT-1"
"Cell_100",0,0,0,"PT-1"
"Cell_101",0.102782466021217,-0.239650921229215,-0.251438333341741,"PT-1"
"Cell_102",0,0,0,"PT-1"
"Cell_103",0.0512074173873246,0.105183572364772,-0.0454543991542862,"vSMC/MC"
"Cell_104",0,0,0,"DCT/CNT"
"Cell_105",0.0257971637582345,0.117792801044452,-0.125886954362515,"EC-2"
"Cell_106",0.222485229480909,0.138612719181074,0.537668558420711,"IC-B"
"Cell_107",0,0,0,"TAL-1"
"Cell_108",0,0,0,"PT-1"
"Cell_109",0,0,0,"TAL-1"
"Cell_110",0,0,0,"PT-1"
"Cell_111",0.114324999814018,-0.0130609443544962,0.291136148818968,"PT-1"
"Cell_112",0,0,0,"PT-1"
"Cell_113",0.158699889256985,0.270372782591282,0.166928512722301,"EC-2"
"Cell_114",0,0,0,"PT-1"
"Cell_115",0.0971189761263125,-0.0652787101175232,-0.198483189770707,"PT-2"
"Cell_116",0,0,0,"TAL-1"
"Cell_117",0,0,0,"TAL-1"
"Cell_118",0.0678598254361892,0.01427440093226,-0.229654713856084,"EC-2"
"Cell_119",0,0,0,"PC_CNT"
"Cell_120",0,0,0,"PT-1"
"Cell_121",0,0,0,"PT-1"
"Cell_122",0,0,0,"PT-1"
"Cell_123",0.263042851961525,0.424669286697373,0.262984988470471,"FIB"
"Cell_124",0,0,0,"PT-1"
"Cell_125",0.0595135238607953,0.0331674163562687,0.231503259955515,"PT-1"
"Cell_126",0,0,0,"PT-1"
"Cell_127",0,0,0,"IC-B"
"Cell_128",0.222443394512842,-0.198218468508088,0.290519748265841,"PT-1"
"Cell_129",0,0,0,"PT-1"
"Cell_130",0,0,0,"PT-2"
"Cell_131",0.110511080914367,0.144364718803195,0.0779153910474381,"PT-1"
"Cell_132",0,0,0,"IC-B"
"Cell_133",0,0,0,"PT-2"
"Cell_134",0.0451280832562569,0.000344605032931655,-0.00312882369609224,"PT-2"
"Cell_135",0,0,0,"PT-1"
"Cell_136",0.0792063840419225,-0.199864166804083,0.19857961554236,"PT-1"
"Cell_137",0,0,0,"TAL-1"
"Cell_138",0.180070096446303,-0.0740359772380456,0.161478550824023,"PT-1"
"Cell_139",0,0,0,"TAL-1"
"Cell_140",0,0,0,"PT-1"
"Cell_141",0,0,0,"PT-1"
"Cell_142",0,0,0,"PT-1"
"Cell_143",0,0,0,"TAL-1"
"Cell_144",0.205947890795724,-0.0486137088065233,0.0373081453678444,"PT-1"
"Cell_145",0.178093153794648,0.195012575191867,0.026448160000209,"EC-2"
"Cell_146",0,0,0,"PT-1"
"Cell_147",0.0927188002019836,-0.100471890565679,-0.0621420274755131,"PT-2"
"Cell_148",0,0,0,"PT-1"
"Cell_149",0,0,0,"TAL-2"
"Cell_150",0.304542467572279,0.4900771856005,0.00772685064133222,"IMM"
"Cell_151",0,0,0,"TAL-2"
"Cell_152",0,0,0,"PT-1"
"Cell_153",0,0,0,"PT-1"
"Cell_154",0,0,0,"PT-1"
"Cell_155",0.0625430336837524,0.111357949503729,-0.647436632028,"PC_CNT"
"Cell_156",0,0,0,"PT-1"
"Cell_157",0.186497291388195,-0.0219010824045376,0.335029509524996,"PT-1"
"Cell_158",-0.00135328464077877,-0.125021406656379,-0.0517919653987662,"PT-2"
"Cell_159",0,0,0,"PT-1"
"Cell_160",0.22831411662647,-0.0189040190291,-0.0450421696742629,"PT-1"
"Cell_161",0,0,0,"PT-1"
"Cell_162",0,0,0,"TAL-2"
"Cell_163",0.0299732708254835,-0.210043352339657,-0.167831605867679,"PT-1"
"Cell_164",-0.0218089859189819,-0.0376944879364731,0.232796658691808,"PT-1"
"Cell_165",0,0,0,"PT-1"
"Cell_166",0,0,0,"PT-1"
"Cell_167",0,0,0,"PT-1"
"Cell_168",0,0,0,"TAL-2"
"Cell_169",0.244816745105323,0.202184878660407,-0.0924133175943204,"FIB"
"Cell_170",0,0,0,"TAL-1"
"Cell_171",0,0,0,"PT-1"
"Cell_172",0,0,0,"PT-1"
"Cell_173",0.187126001785143,-0.0883063038024761,0.2462190177002,"PT-1"
"Cell_174",0,0,0,"PT-1"
"Cell_175",0,0,0,"PT-1"
"Cell_176",0,0,0,"PT-1"
"Cell_177",0.025411757153404,-0.118319943601594,-0.0895109926746982,"PT-2"
"Cell_178",0.285917285686982,0.575542417495471,0.0663559742314292,"EC-2"
