"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol"
"ENSMUSG00000000276",187.445364778823,0.528837736455103,0.230806262487356,0.00571710422190518,0.0180947622325703,"Dgke"
"ENSMUSG00000000399",3253.06926679576,-0.440686869508605,0.0787007901244551,8.40052206892357e-09,8.55932292155845e-08,"Ndufa9"
"ENSMUSG00000000416",427.146840693515,0.450812782491868,0.141387194524231,0.00051995932731231,0.00220641584401846,"Cttnbp2"
"ENSMUSG00000000581",793.427206467146,-0.431481941153736,0.150468961783481,0.00162731530894756,0.00609082672880729,"C1d"
"ENSMUSG00000000686",64.4566812059864,0.750656455390058,0.315639799823395,0.00222243756569718,0.00801470441627556,"Abhd15"
"ENSMUSG00000000739",41.0988875819708,0.738969480070745,0.418144447389189,0.0112257191245043,0.0323999895033036,"Sult5a1"
"ENSMUSG00000000915",1414.2377099432,0.595487962812559,0.137612642373154,2.74569023650455e-06,1.88502012819603e-05,"Hip1r"
"ENSMUSG00000000938",562.320108148542,-0.580285534327551,0.0933130684941963,9.5604098133876e-11,1.27444363792538e-09,"Hoxa10"
"ENSMUSG00000000957",301.331709450581,1.42868690314033,0.194149050389082,2.39094295291928e-14,4.83758539070311e-13,"Mmp14"
"ENSMUSG00000001036",709.446257282443,0.267027580540324,0.118119631358055,0.0167005066382431,0.0453517717815426,"Epn2"
"ENSMUSG00000001056",603.385317612198,-0.614001395917421,0.145550073308109,4.12276133011687e-06,2.7277977410078e-05,"Nhp2"
"ENSMUSG00000001100",1652.1420318735,-0.239291884270036,0.077911311310182,0.00163834036248759,0.00612729437185328,"Poldip2"
"ENSMUSG00000001143",638.240449475124,-0.67793606809518,0.117808636734164,1.04781316771533e-09,1.21374234669134e-08,"Lman2l"
"ENSMUSG00000001166",118.198022084173,2.41407584120626,0.340792587298268,7.33713229987905e-15,1.57419875202044e-13,"Oas1c"
"ENSMUSG00000001227",144.468832253076,0.918053110555426,0.217555785502894,1.98054147193653e-06,1.39387789580133e-05,"Sema6b"
"ENSMUSG00000001380",734.382356563149,-0.233736241176976,0.101033670867858,0.0158876370142207,0.0435366785031463,"Hars1"
"ENSMUSG00000001445",1014.2544683995,-0.310928057657553,0.0850213934688221,0.000162449683945934,0.000776113803507251,"Mrpl10"
"ENSMUSG00000001924",3488.15321112043,-0.195254876093147,0.0516341705718579,0.000132043906906803,0.000644629667272806,"Uba1"
"ENSMUSG00000001962",527.212526163049,-0.348350867250098,0.0960718111932187,0.000161386323532419,0.000771775087457632,"Fam50a"
"ENSMUSG00000002015",1789.12932270125,-0.467138779228774,0.0921290377195416,1.36225274059619e-07,1.15884708116842e-06,"Bcap31"
"ENSMUSG00000002083",119.438598759198,1.29171912218509,0.265233383947077,1.02584656217029e-07,8.89409863775282e-07,"Bbc3"
"ENSMUSG00000002108",477.477128169906,-0.614274904273855,0.124470882428731,1.31244823399488e-07,1.12320494517746e-06,"Nr1h3"
"ENSMUSG00000002109",175.375162059744,0.430467606897314,0.170220708696209,0.00448095942158454,0.0147041415502219,"Ddb2"
"ENSMUSG00000002280",622.221778134229,-0.473116482631602,0.135017660064322,0.000150969105143869,0.000727556222972232,"Ciao3"
"ENSMUSG00000002320",1473.59387490221,-0.365743853888102,0.0904116010204501,2.76398132906826e-05,0.000156483987059034,"Tm9sf1"
"ENSMUSG00000002332",1457.30067882563,-0.683042648245653,0.127986795719809,1.13378450176291e-08,1.13202007809048e-07,"Dhrs1"
"ENSMUSG00000002346",1894.37571682183,-1.36180520295253,0.292663541610501,2.77335267851485e-07,2.25323576074273e-06,"Slc25a42"
"ENSMUSG00000002416",1105.83637217593,-0.208593114753865,0.0904022338862145,0.0170864170352655,0.0462167480503734,"Ndufb2"
"ENSMUSG00000002580",1100.42060682003,-0.346639737505066,0.0766719028533955,3.51173097724505e-06,2.36121762699212e-05,"Mien1"
"ENSMUSG00000002660",675.067201275471,-0.584217083801143,0.105278370701021,5.39444869327443e-09,5.6617514543818e-08,"Clpp"
"ENSMUSG00000002763",971.304879402588,-0.452775995443385,0.10538852767597,6.34984422239769e-06,4.04652520792271e-05,"Pex6"
"ENSMUSG00000002778",1607.57457266638,-0.24266985602067,0.0890097610223454,0.00485642441728207,0.0157722771448927,"Kdelr1"
"ENSMUSG00000002781",574.869827310965,-0.42690715079984,0.143423483236675,0.00117299371389037,0.00457354871114792,"Tmem143"
"ENSMUSG00000002797",337.914564747204,-0.917329176251768,0.182018810492708,3.72767453377192e-08,3.45962290257534e-07,"Ggct"
"ENSMUSG00000002846",408.110382436488,-0.428678228471729,0.133387319630521,0.000525861075240526,0.00222765727911796,"Timmdc1"
"ENSMUSG00000002944",5826.82511531312,-1.6542891492902,0.192713816994172,8.43163651957821e-19,2.55246299448845e-17,"Cd36"
"ENSMUSG00000002985",4741.37149670342,0.603965455140911,0.233867241677636,0.00188539769778593,0.00693264463140404,"Apoe"
"ENSMUSG00000002992",40.1554427041126,2.41580364575043,1.24507874581342,0.000119993255609552,0.000591314633503069,"Apoc2"
"ENSMUSG00000003039",1280.3189072561,-0.23941625892601,0.095680880798632,0.00938789915481386,0.0277942064760865,"Fam32a"
"ENSMUSG00000003072",5560.78795443758,-0.363923349969681,0.0753403236161575,7.32216630540696e-07,5.54783107231387e-06,"Atp5f1d"
"ENSMUSG00000003134",138.137993600672,1.04089542138078,0.210840620178268,6.66468731406481e-08,5.93613819925817e-07,"Tbc1d8"
"ENSMUSG00000003135",585.535663737465,-0.476150468360029,0.121887684774457,3.05282740387212e-05,0.000171325294118546,"Cnot11"
"ENSMUSG00000003228",404.957507806408,0.512265059045185,0.13847625539733,5.9202080303913e-05,0.000312326306409688,"Grk5"
"ENSMUSG00000003299",932.53863768796,-0.480652357134795,0.10270991334424,9.20873441613453e-07,6.88025990993612e-06,"Mrpl4"
"ENSMUSG00000003348",182.621500954394,0.532429924859792,0.183667729887065,0.000942956422205902,0.00376368859748207,"Mob3a"
"ENSMUSG00000003420",2271.95846713112,-0.782512554435143,0.124418058522815,2.74254087484365e-11,3.94121354478074e-10,"Fcgrt"
"ENSMUSG00000003423",405.180511721785,-0.273963904118115,0.12194401030141,0.0169694476120818,0.0459753907583021,"Pih1d1"
"ENSMUSG00000003458",1372.15589068027,0.297630530847147,0.0775268504479967,8.21165866631272e-05,0.000420939713272515,"Ncstn"
"ENSMUSG00000003559",666.553554992826,-0.648502312777937,0.118383864906697,5.93310239631476e-09,6.18827429241681e-08,"As3mt"
"ENSMUSG00000003617",2677.47236685939,1.88355637345431,0.214802978086804,8.43194067542171e-20,2.74922734579447e-18,"Cp"
"ENSMUSG00000003623",4978.97505190667,-1.101163078528,0.15365712107971,8.29060554999771e-14,1.57640395586907e-12,"Crot"
"ENSMUSG00000003814",10614.3349081618,-0.583733671454664,0.104831372640957,4.84769051602557e-09,5.13669241732725e-08,"Calr"
"ENSMUSG00000003948",759.272600472751,1.14720529064684,0.178679564362267,1.472139477533e-11,2.18993134395317e-10,"Mmd"
