"","baseMean","log2FoldChange","lfcSE","pvalue","padj","padj_combi_ctrl","log2FC_combi_ctrl","Symbol"
"ENSMUSG00000000001",2135.37677668485,-0.171860544864075,0.0696134086310887,0.0118314473509635,0.0338778658743612,0.531032208118783,-0.0606166054404057,"Gnai3"
"ENSMUSG00000000058",1524.0131899223,1.1573115769848,0.115631805320335,1.93986884372775e-24,9.52643245256819e-23,1.95251395660085e-19,1.0643938996125,"Cav2"
"ENSMUSG00000000088",4760.30107272411,-0.174917715951122,0.0715682249620573,0.0126053901285538,0.0357899506447974,0.0653062200523033,-0.156713830762367,"Cox5a"
"ENSMUSG00000000126",49.4310145787653,0.642384853516706,0.363816757769747,0.0145754750532479,0.0405442829837829,0.686513268777154,0.130546941358474,"Wnt9a"
"ENSMUSG00000000142",65.5116199631735,0.641435963733553,0.262068379880604,0.00246672854854508,0.00878220772693233,0.0385317182676273,0.498409553484973,"Axin2"
"ENSMUSG00000000154",3214.86017464325,-1.55191758348769,0.113684934191384,2.55363179265904e-43,4.09590183259642e-41,2.81301994197223e-40,-1.53441159105809,"Slc22a18"
"ENSMUSG00000000171",4621.82824085516,-0.362352204357799,0.0796675246183438,2.91529414609057e-06,1.99457465674562e-05,0.0214440566497986,-0.208242181010928,"Sdhd"
"ENSMUSG00000000216",843.603888540085,0.713335714107896,0.114952964121122,5.67649245287273e-11,7.82396108074745e-10,6.03380687447797e-06,0.528908592283727,"Scnn1g"
"ENSMUSG00000000244",12.7538292129336,1.13782223311583,0.743583239689851,0.00584272718080925,0.0184483252737125,0.0834829009624237,0.721663960450478,"Tspan32"
"ENSMUSG00000000247",25.0096977810165,1.20771159010023,0.562936834252897,0.00162736453501342,0.00609082672880729,0.474634026723567,0.251442424597286,"Lhx2"
"ENSMUSG00000000275",1828.04321936704,-0.548928082732856,0.194674215247612,0.00113029697727774,0.00442441971680317,0.0152864226673851,-0.466422147351777,"Trim25"
"ENSMUSG00000000278",1571.98041051254,-0.571369353258928,0.111838009076202,6.54025942269886e-08,5.83053427422938e-07,2.98263845866197e-05,-0.479692066331816,"Scpep1"
"ENSMUSG00000000290",131.900154249328,0.913527476750809,0.265180471812301,4.79116768718113e-05,0.000258242639919636,0.00453563272576361,0.689796795317462,"Itgb2"
"ENSMUSG00000000295",150.207728237236,0.936573320517121,0.210892519702775,7.18298660072506e-07,5.4465276592383e-06,0.00398191309966741,0.582626449857467,"Hddc2"
"ENSMUSG00000000296",271.735273261434,0.509310695550393,0.156600635064866,0.000318356007259607,0.00141682314351898,0.00203466413142826,0.494595450286468,"Tpd52l1"
"ENSMUSG00000000303",4182.82295090315,0.683998931679822,0.073098071601444,9.05092653099055e-22,3.57170392410459e-20,3.14075764687473e-16,0.608896060102556,"Cdh1"
"ENSMUSG00000000308",1080.78213634204,1.25490355598345,0.111108627630565,2.29223521753297e-30,1.80198680796495e-28,2.17941654978478e-19,1.02757906523217,"Ckmt1"
"ENSMUSG00000000320",101.665624398807,0.499605330735885,0.238355504475289,0.0105947883285756,0.030811484876011,0.063305087168173,0.428573098920019,"Alox12"
"ENSMUSG00000000326",4198.03526962008,0.326224428395066,0.145428023404553,0.014471176951468,0.0402710561617109,0.19561746209382,0.217914965729162,"Comt"
"ENSMUSG00000000340",2196.98911060004,-1.23542292914534,0.109382514987645,2.25406857575056e-30,1.77901467869456e-28,8.86239724552571e-18,-0.959814114632715,"Dbt"
"ENSMUSG00000000386",33.7515490326138,2.21012645527805,0.570106062261749,8.85396874739535e-07,6.62515366504688e-06,0.000277520530327871,1.74830156531224,"Mx1"
"ENSMUSG00000000402",457.535222752708,0.727979155235415,0.208129198870896,5.46021030354096e-05,0.000291069747325452,0.000133317668076543,-0.785625419913599,"Egfl6"
"ENSMUSG00000000552",129.391047207783,0.936886416167109,0.229626089524422,3.62719757768112e-06,2.42900109840067e-05,0.108979609793588,0.351459740482045,"Zfp385a"
"ENSMUSG00000000555",179.126117229663,0.654570030230016,0.174356111118026,2.52135487093115e-05,0.000143606033871563,0.00206835622323719,0.53300446130473,"Itga5"
"ENSMUSG00000000567",40.8948254816974,1.63590161972013,0.400146989944456,2.07255821241039e-06,1.45144754530388e-05,0.0137843890372308,0.852486101371696,"Sox9"
"ENSMUSG00000000594",3887.48951904032,-0.410439726107803,0.0994766997139182,1.63012321791519e-05,9.68384727631876e-05,0.57121341685671,-0.0762103415961977,"Gm2a"
"ENSMUSG00000000628",77.8755870543204,1.51270616624126,0.82348539077252,0.00124556518304874,0.00481058209828869,0.0210319727644153,1.11216001458732,"Hk2"
"ENSMUSG00000000631",4058.97582599299,0.232406921550948,0.100220017813436,0.0157088931990938,0.0431360177877642,0.531772565629397,0.0850002824230273,"Myo18a"
"ENSMUSG00000000682",65.5982387965893,0.823002444749275,0.331212463106965,0.00138791656239248,0.00529730810006219,0.75397732560836,0.0989628041624864,"Cd52"
"ENSMUSG00000000690",579.557734985498,0.38595297666469,0.160028861287728,0.00743612940527264,0.022721950797583,0.217861444669673,0.223890746330098,"Hoxb6"
