"","baseMean","log2FoldChange","lfcSE","pvalue","padj","padj_combi_ctrl","log2FC_combi_ctrl","Symbol","ENSEMBL_clean"
"ENSMUSG00000000001",2135.37677668485,-0.171860544864075,0.0696134086310887,0.0118314473509635,0.0338778658743612,0.531032208118783,-0.0606166054404057,"Gnai3","ENSMUSG00000000001"
"ENSMUSG00000000088",4760.30107272411,-0.174917715951122,0.0715682249620573,0.0126053901285538,0.0357899506447974,0.0653062200523033,-0.156713830762367,"Cox5a","ENSMUSG00000000088"
"ENSMUSG00000000126",49.4310145787653,0.642384853516706,0.363816757769747,0.0145754750532479,0.0405442829837829,0.686513268777154,0.130546941358474,"Wnt9a","ENSMUSG00000000126"
"ENSMUSG00000000142",65.5116199631735,0.641435963733553,0.262068379880604,0.00246672854854508,0.00878220772693233,0.0385317182676273,0.498409553484973,"Axin2","ENSMUSG00000000142"
"ENSMUSG00000000171",4621.82824085516,-0.362352204357799,0.0796675246183438,2.91529414609057e-06,1.99457465674562e-05,0.0214440566497986,-0.208242181010928,"Sdhd","ENSMUSG00000000171"
"ENSMUSG00000000247",25.0096977810165,1.20771159010023,0.562936834252897,0.00162736453501342,0.00609082672880729,0.474634026723567,0.251442424597286,"Lhx2","ENSMUSG00000000247"
"ENSMUSG00000000275",1828.04321936704,-0.548928082732856,0.194674215247612,0.00113029697727774,0.00442441971680317,0.0152864226673851,-0.466422147351777,"Trim25","ENSMUSG00000000275"
"ENSMUSG00000000278",1571.98041051254,-0.571369353258928,0.111838009076202,6.54025942269886e-08,5.83053427422938e-07,2.98263845866197e-05,-0.479692066331816,"Scpep1","ENSMUSG00000000278"
"ENSMUSG00000000296",271.735273261434,0.509310695550393,0.156600635064866,0.000318356007259607,0.00141682314351898,0.00203466413142826,0.494595450286468,"Tpd52l1","ENSMUSG00000000296"
"ENSMUSG00000000320",101.665624398807,0.499605330735885,0.238355504475289,0.0105947883285756,0.030811484876011,0.063305087168173,0.428573098920019,"Alox12","ENSMUSG00000000320"
"ENSMUSG00000000326",4198.03526962008,0.326224428395066,0.145428023404553,0.014471176951468,0.0402710561617109,0.19561746209382,0.217914965729162,"Comt","ENSMUSG00000000326"
"ENSMUSG00000000552",129.391047207783,0.936886416167109,0.229626089524422,3.62719757768112e-06,2.42900109840067e-05,0.108979609793588,0.351459740482045,"Zfp385a","ENSMUSG00000000552"
"ENSMUSG00000000594",3887.48951904032,-0.410439726107803,0.0994766997139182,1.63012321791519e-05,9.68384727631876e-05,0.57121341685671,-0.0762103415961977,"Gm2a","ENSMUSG00000000594"
"ENSMUSG00000000631",4058.97582599299,0.232406921550948,0.100220017813436,0.0157088931990938,0.0431360177877642,0.531772565629397,0.0850002824230273,"Myo18a","ENSMUSG00000000631"
"ENSMUSG00000000682",65.5982387965893,0.823002444749275,0.331212463106965,0.00138791656239248,0.00529730810006219,0.75397732560836,0.0989628041624864,"Cd52","ENSMUSG00000000682"
"ENSMUSG00000000690",579.557734985498,0.38595297666469,0.160028861287728,0.00743612940527264,0.022721950797583,0.217861444669673,0.223890746330098,"Hoxb6","ENSMUSG00000000690"
"ENSMUSG00000000708",1235.74491477862,-0.301983870818369,0.0915782169796293,0.000634858503767959,0.00263770645110527,0.0398757259322296,-0.215999846580023,"Kat2b","ENSMUSG00000000708"
"ENSMUSG00000000732",255.235280967825,0.401032477854379,0.133961430616515,0.00123894664523927,0.00479218394149434,0.232391727520293,0.189340170299989,"Icosl","ENSMUSG00000000732"
"ENSMUSG00000000782",30.6007155816658,1.03028652238985,0.427833460251272,0.00120066155142264,0.00466314344781193,0.481782944396312,0.226553411392727,"Tcf7","ENSMUSG00000000782"
"ENSMUSG00000000787",5832.9819551765,-0.307807583475783,0.125819917759528,0.00901118569687926,0.0268298611265317,0.0522037016822506,-0.274145036369894,"Ddx3x","ENSMUSG00000000787"
"ENSMUSG00000000811",278.747142813668,0.303133220046565,0.118154894378499,0.00655960692206406,0.0203977520439231,0.993675380851052,0.00211515622161815,"Txnrd3","ENSMUSG00000000811"
"ENSMUSG00000000958",2256.53080610699,-0.677493350475006,0.20854491946879,0.000161507757283884,0.000772170140533456,0.86645872727022,0.0449761343961602,"Slc7a7","ENSMUSG00000000958"
"ENSMUSG00000001018",463.335854652471,0.358573749175416,0.135171861289777,0.0042015701017537,0.0139205443534532,0.019388010532422,0.343044828622083,"Snapin","ENSMUSG00000001018"
"ENSMUSG00000001039",135.097290487205,0.442816034618868,0.197054658267505,0.00908976209975929,0.0270236707190837,0.834287442959163,0.0554682988044569,"B9d1","ENSMUSG00000001039"
"ENSMUSG00000001062",422.044410098972,-0.421914198773773,0.127067296442732,0.000372509605511348,0.00163798353518458,0.00176743213651649,-0.419982329352553,"Vps9d1","ENSMUSG00000001062"
"ENSMUSG00000001095",872.731225697009,-1.1911860346211,0.201534314164091,3.64529039111514e-10,4.5003836492172e-09,0.0190491851157828,-0.458175415927611,"Slc13a2","ENSMUSG00000001095"
"ENSMUSG00000001128",48.8697124000716,0.733131018730493,0.357523685549114,0.00568421247152297,0.0180122667432214,0.639380684157795,0.146653120864386,"Cfp","ENSMUSG00000001128"
"ENSMUSG00000001211",5892.64269325948,-0.783087716994526,0.116063021188501,1.27955540980046e-12,2.1242969570552e-11,6.56092997305283e-05,-0.469836727703844,"Agpat3","ENSMUSG00000001211"
"ENSMUSG00000001240",224.228594205965,0.751705394198947,0.162838165891158,3.89185466549922e-07,3.07896171209681e-06,0.0127788352193116,0.409523128506545,"Ramp2","ENSMUSG00000001240"
"ENSMUSG00000001248",646.286213756959,0.523269681479653,0.119895248397992,3.30152177137786e-06,2.23194991539546e-05,0.0015545374493836,0.398893357906262,"Gramd1a","ENSMUSG00000001248"
