"","baseMean","log2FoldChange","lfcSE","pvalue","padj","padj_combi_ctrl","log2FC_combi_ctrl","Symbol","ENSEMBL_clean"
"ENSMUSG00000000594",3887.48951904032,-0.410439726107803,0.0994766997139182,1.63012321791519e-05,9.68384727631876e-05,0.57121341685671,-0.0762103415961977,"Gm2a","ENSMUSG00000000594"
"ENSMUSG00000000958",2256.53080610699,-0.677493350475006,0.20854491946879,0.000161507757283884,0.000772170140533456,0.86645872727022,0.0449761343961602,"Slc7a7","ENSMUSG00000000958"
"ENSMUSG00000001095",872.731225697009,-1.1911860346211,0.201534314164091,3.64529039111514e-10,4.5003836492172e-09,0.0190491851157828,-0.458175415927611,"Slc13a2","ENSMUSG00000001095"
"ENSMUSG00000001870",344.894871360099,0.455219789010053,0.168734237692902,0.00246700158732822,0.00878220772693233,0.621254781951363,-0.104718473914307,"Ltbp1","ENSMUSG00000001870"
"ENSMUSG00000002222",2830.86500480227,-0.285506936477471,0.128074512463987,0.0171370422592512,0.0463284808337974,0.574552296069756,0.0954491520432902,"Rmnd5a","ENSMUSG00000002222"
"ENSMUSG00000002769",267.991601099125,-1.42693257225953,0.287373657558204,6.01972963119651e-08,5.42239142368059e-07,0.373023082756402,-0.23490410535274,"Gnmt","ENSMUSG00000002769"
"ENSMUSG00000002808",260.180433248421,0.847372409069279,0.132683125221268,1.34584121890943e-11,2.01410353671103e-10,0.0136537409048678,0.347343315098454,"Epdr1","ENSMUSG00000002808"
"ENSMUSG00000002870",235.326638590904,0.920894453540936,0.159266805811431,5.88876015486623e-10,7.04702471240279e-09,0.128954031139975,0.26050716386846,"Mcm2","ENSMUSG00000002870"
"ENSMUSG00000003526",3697.00288795629,-0.918939323953394,0.167200696102394,3.09923185400371e-09,3.37756834763177e-08,0.431145058908832,-0.149078086149432,"Prodh","ENSMUSG00000003526"
"ENSMUSG00000003873",639.233541842704,0.559723065232602,0.0884868640332892,5.36759414484005e-11,7.42392767362474e-10,0.0872707555186963,0.178770520825882,"Bax","ENSMUSG00000003873"
"ENSMUSG00000004591",1608.33891615476,-0.413807197923431,0.084543686051576,4.32381752241623e-07,3.39504171746294e-06,0.279332068303572,-0.1148071863737,"Pkn2","ENSMUSG00000004591"
"ENSMUSG00000005533",3775.63664549104,-0.470060745377798,0.16831754530252,0.00173363807946595,0.00644853707920296,0.817982632060604,0.0529000236523179,"Igf1r","ENSMUSG00000005533"
"ENSMUSG00000005534",2205.87921886318,-0.718513843071971,0.122839507255758,5.11045989939329e-10,6.1863625647616e-09,0.89333015067129,-0.02546245281519,"Insr","ENSMUSG00000005534"
"ENSMUSG00000005886",1271.419941517,-0.738905102758316,0.116813266315757,2.41180412251982e-11,3.50134103597056e-10,0.00927256300506051,-0.318088700371569,"Ncoa2","ENSMUSG00000005886"
"ENSMUSG00000006369",152.391093724334,1.25675954097905,0.227744539045316,3.57802653020302e-09,3.85500377352155e-08,0.0460615774313989,0.441712533649404,"Fbln1","ENSMUSG00000006369"
"ENSMUSG00000006378",501.898054628801,-0.960241607376668,0.128480589835922,6.58916642518493e-15,1.42293084723673e-13,0.00338934961071378,-0.381837170647141,"Gcat","ENSMUSG00000006378"
"ENSMUSG00000007872",1381.58222801129,-0.740232397466568,0.236103042087744,0.000201486256591577,0.000940474104048315,0.591885917951823,0.132549817818873,"Id3","ENSMUSG00000007872"
"ENSMUSG00000009291",5020.757773768,-0.291099425150284,0.0909541774009291,0.000921200143760508,0.00369092458889056,0.969103785578831,0.00645337205807589,"Pttg1ip","ENSMUSG00000009291"
"ENSMUSG00000009470",3593.56764914995,-0.619270799011314,0.103916827350193,3.96795925184535e-10,4.88660938451716e-09,0.0154084786789345,-0.271988644580505,"Tnpo1","ENSMUSG00000009470"
"ENSMUSG00000010066",51.4779766065407,-1.4744143836945,0.365110315738286,3.34190292908565e-06,2.2577142444492e-05,0.218910334202088,-0.35243059557231,"Cacna2d2","ENSMUSG00000010066"
"ENSMUSG00000010095",3167.55561402312,-0.304897846555884,0.126150149725394,0.00985660491872333,0.0289697081762211,0.313761145242121,0.155805697180731,"Slc3a2","ENSMUSG00000010095"
"ENSMUSG00000013698",1579.49866579924,0.936170460252988,0.115923684389549,5.51559247860505e-17,1.44151930101151e-15,6.51228752580316e-05,0.474064122459211,"Pea15a","ENSMUSG00000013698"
"ENSMUSG00000014077",3204.22645377127,-0.805598226091787,0.121735784317791,2.99463154188821e-12,4.83443398836158e-11,0.00516914085396195,-0.352166319517395,"Chp1","ENSMUSG00000014077"
"ENSMUSG00000015745",249.287194645939,0.876168491718314,0.185378835100589,1.86445623213003e-07,1.554807966492e-06,0.636396951940577,0.103588637384043,"Plekho1","ENSMUSG00000015745"
"ENSMUSG00000015852",10.2764593631941,2.83049039628003,1.28989133258163,3.6712902948483e-05,0.000202715970778006,0.933728919181636,0.0360259098866447,"Fcrl2","ENSMUSG00000015852"
"ENSMUSG00000016319",18909.4632813328,-0.310719188527646,0.0678416381001629,2.99178411354351e-06,2.04199019335164e-05,0.769403455971121,-0.0304216068344693,"Slc25a5","ENSMUSG00000016319"
"ENSMUSG00000016763",62.2629760919337,1.53821441441092,0.282066074354688,4.24886398096004e-09,4.53356522088595e-08,0.139281385058496,-0.398086696192293,"Scube1","ENSMUSG00000016763"
"ENSMUSG00000017119",4216.76968724793,-0.257120073717308,0.0907190267608903,0.00336592929275619,0.0115184046289793,0.782463752523835,0.0379334565819988,"Nbr1","ENSMUSG00000017119"
"ENSMUSG00000017724",40.2168557497652,1.42584012121073,0.422987004447597,3.84357754274549e-05,0.00021105718870145,0.783911263406256,0.097164422131756,"Etv4","ENSMUSG00000017724"
"ENSMUSG00000017754",196.077002497341,0.538300177663351,0.201471213743616,0.00186450521159999,0.00687233953919797,0.0377757496979835,-0.426309284578825,"Pltp","ENSMUSG00000017754"
"ENSMUSG00000018339",269336.95090916,-0.918486393381167,0.130989524815687,1.87973731720301e-13,3.43622201303775e-12,0.0605833480790147,-0.263360454378246,"Gpx3","ENSMUSG00000018339"
"ENSMUSG00000018819",109.448994138294,0.827913336578416,0.246144798911482,7.28848686656061e-05,0.000377305349528954,0.726175519174031,0.0947298138920855,"Lsp1","ENSMUSG00000018819"
"ENSMUSG00000018965",1938.84834702634,0.770088813858692,0.0740119771952841,1.93839438422339e-26,1.12398617807053e-24,6.08595956556267e-11,0.499328689376034,"Ywhah","ENSMUSG00000018965"
"ENSMUSG00000019232",381.822629547276,-1.82704922026621,0.455686666023668,1.75542855327658e-06,1.24425226286949e-05,0.907251372498698,0.04594967858015,"Etnppl","ENSMUSG00000019232"
"ENSMUSG00000019278",1522.79774664188,-0.88238193123908,0.165395435998965,7.64124764004955e-09,7.84193881903744e-08,0.0392416861092731,-0.342832160985303,"Dpep1","ENSMUSG00000019278"
"ENSMUSG00000019478",451.391728206009,-0.338360316518018,0.10108595728822,0.000471579027422363,0.00202095136315522,0.735982421095501,-0.0493449147981206,"Rab4a","ENSMUSG00000019478"
"ENSMUSG00000019539",254.218463418209,0.454793445646286,0.177367368338532,0.00365435184864798,0.0123544796732551,0.452410985748118,-0.156869899130008,"Rcn3","ENSMUSG00000019539"
"ENSMUSG00000019590",820.115460495749,0.282061993673236,0.104627861085836,0.00478725887815811,0.0155858228560626,0.309116767576743,-0.135335782084913,"Cyb561","ENSMUSG00000019590"
"ENSMUSG00000019762",1049.84388098544,-0.827101411905258,0.112614389078079,1.62880175265674e-14,3.35354431248342e-13,0.261965606607497,-0.14776849921419,"Iyd","ENSMUSG00000019762"
"ENSMUSG00000019843",262.335718290415,0.65468112757513,0.182637659291538,4.95176219217924e-05,0.00026581807892106,0.682841998799641,0.0902515189837229,"Fyn","ENSMUSG00000019843"
"ENSMUSG00000019943",1718.45653884082,-0.562273505341778,0.10570715749663,2.20031878467765e-08,2.12334499313216e-07,0.228671711196752,-0.151712755506484,"Atp2b1","ENSMUSG00000019943"
"ENSMUSG00000020057",148.526437571319,0.691317736940458,0.250631746156565,0.000820043347893117,0.00333125860830192,0.999971007837628,0.000510818510600686,"Dram1","ENSMUSG00000020057"
"ENSMUSG00000020072",416.597250247535,-0.591797368377048,0.157170037087744,3.13184971539216e-05,0.00017546298306883,0.176761765881686,0.227479671628891,"Pbld2","ENSMUSG00000020072"
"ENSMUSG00000020080",63.9397404023998,0.584297162584601,0.249953278785914,0.00409311004751368,0.0136272211687033,0.787077197729652,-0.0785690966035816,"Hkdc1","ENSMUSG00000020080"
"ENSMUSG00000020135",34.4953805548136,0.732001802711969,0.416386158411923,0.0116724212549532,0.0335190277706849,0.853248353382916,-0.0685540169720227,"Apc2","ENSMUSG00000020135"
"ENSMUSG00000020182",775.003673598561,-0.579405215163982,0.260311896782987,0.00564142120795463,0.0179008019152855,0.362995336239902,0.228804398260569,"Ddc","ENSMUSG00000020182"
"ENSMUSG00000020262",391.718896330605,-0.358942140492596,0.150307515907404,0.00880414985082753,0.0263040012592923,0.25776627907721,0.196214794228939,"Adarb1","ENSMUSG00000020262"
"ENSMUSG00000020395",22.359544339001,0.839057856725442,0.469875364361655,0.00843238544263523,0.0253691091657717,0.819371858850879,-0.0858953683051416,"Itk","ENSMUSG00000020395"
"ENSMUSG00000020590",1523.57603741859,-0.322085414773497,0.0855162666704478,0.00010190406758054,0.00051142316429709,1,0.000144100947079536,"Snx13","ENSMUSG00000020590"
"ENSMUSG00000020695",531.083793401398,0.717542921436424,0.149598095329075,1.75595181609894e-07,1.46940966834657e-06,0.137588182802034,0.240567019442201,"Mrc2","ENSMUSG00000020695"
"ENSMUSG00000020715",647.789172687955,-0.257805545862869,0.113461204722541,0.0166313964959399,0.0452011266613484,0.531032208118783,0.0943569256217889,"Ern1","ENSMUSG00000020715"
"ENSMUSG00000021190",10103.3206284986,-0.553388529304869,0.128970425150848,3.97076624463696e-06,2.63688046208963e-05,0.376110786368623,-0.137839095832382,"Lgmn","ENSMUSG00000021190"
"ENSMUSG00000021423",44.668897157521,0.770779263224126,0.309169541592178,0.00151431275433445,0.00571393784309579,0.896670376348213,-0.0454818292225764,"Ly86","ENSMUSG00000021423"
