"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol"
"ENSMUSG00000000031",9830.28545371159,1.82061128875103,0.19026824703146,8.90327473071225e-24,8.52655491866899e-21,"H19"
"ENSMUSG00000000056",1841.13332897,-0.533850436410618,0.140905759371676,1.61854140955787e-06,9.18106494878051e-05,"Narf"
"ENSMUSG00000000078",1617.26015923366,0.491447670386196,0.232901289379429,0.000645396524050467,0.0122091493062041,"Klf6"
"ENSMUSG00000000194",528.815663393282,-0.475373679492608,0.23852175067526,0.000989055083900825,0.0167092514339717,"Gpr107"
"ENSMUSG00000000253",1824.05337308871,-0.316675896271547,0.0966400495560884,0.000205270152238946,0.00511439763049979,"Gmpr"
"ENSMUSG00000000290",62.3682840475884,0.536663056226657,0.451799062201086,0.00385504154958204,0.044852544923497,"Itgb2"
"ENSMUSG00000000305",201.849394866775,-1.44647383902871,0.445782086170967,6.18892985869511e-06,0.000300104342483497,"Cdh4"
"ENSMUSG00000000420",1384.31968921993,-0.372765889375477,0.101009754889097,2.38757607678597e-05,0.000905619776373529,"Galnt1"
"ENSMUSG00000000441",1822.09640367114,-0.355876705290907,0.119890618275956,0.00033869987168539,0.00757649362603683,"Raf1"
"ENSMUSG00000000686",40.2685444937808,2.33041651232172,0.93836418422733,2.27013796845412e-05,0.000876204637043388,"Abhd15"
"ENSMUSG00000000711",2223.24226572995,-0.241711259820488,0.0725055542969319,0.000342228896374136,0.00762205433014664,"Rab5b"
"ENSMUSG00000000794",235.876761194378,3.47810708364475,0.410960564578206,2.41449760012173e-18,1.19346279763437e-15,"Kcnn3"
"ENSMUSG00000000827",643.741032316824,0.340439221867076,0.123633552860774,0.000755410903397163,0.0136018346330843,"Tpd52l2"
"ENSMUSG00000001017",1545.06415470457,-0.284306026658357,0.104864504819123,0.00159078317678886,0.0235058540192245,"Chtop"
"ENSMUSG00000001027",6829.00339437456,-0.374460715321398,0.14001664595752,0.000605130916093315,0.0116162686023508,"Scn4a"
"ENSMUSG00000001029",65.8482229096913,0.729302196633949,0.367123888426772,0.000287426555931351,0.00658331407553974,"Icam2"
"ENSMUSG00000001036",478.524412569889,-0.400682067970657,0.0970823928232204,2.8305686643956e-06,0.000151124751374682,"Epn2"
"ENSMUSG00000001131",14.7457029892574,1.2245952227456,1.06364317288195,0.000715792300113054,0.0131197193954932,"Timp1"
"ENSMUSG00000001211",2241.69334359261,0.378082726064273,0.124783636255609,0.00021084754436826,0.00520983738766335,"Agpat3"
"ENSMUSG00000001248",694.964874148806,0.496090362989336,0.141005012273291,7.779518734183e-06,0.000365661244061,"Gramd1a"
"ENSMUSG00000001418",279.162971487794,0.425531189247162,0.263099271161867,0.00339858206237611,0.0411276916242536,"Glmp"
"ENSMUSG00000001473",482.462777505666,2.32465614447929,0.295509995514586,2.14228615427978e-17,9.37892878343686e-15,"Tubb6"
"ENSMUSG00000001521",136.340966517796,0.598464096381742,0.274303304717646,0.000252525347827554,0.00598985434173623,"Tulp3"
"ENSMUSG00000001552",1499.62115550351,0.466840002985574,0.151005323318383,5.15166266142783e-05,0.00169034104841667,"Jup"
"ENSMUSG00000001604",2894.95113438802,-0.556069714979618,0.120168063814597,2.75529843832341e-08,2.51306178395414e-06,"Tcea3"
"ENSMUSG00000001666",281.288351173227,0.821353380587173,0.215781124592673,4.15336926222356e-07,2.89282169113871e-05,"Ddt"
