"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol"
"ENSMUSG00000000001",299.159657834626,-2.95163083422189e-05,0.143457535705315,0.99976228359475,1,"Gnai3"
"ENSMUSG00000000028",31.3951889905227,0.112822549535316,0.229602267776587,0.263805152436518,0.590424528679328,"Cdc45"
"ENSMUSG00000000031",9830.28545371159,1.82061128875103,0.19026824703146,8.90327473071225e-24,8.52655491866899e-21,"H19"
"ENSMUSG00000000037",2.32935316865577,0.0832134825255882,0.369732445044316,0.249463043570323,NA,"Scml2"
"ENSMUSG00000000049",5.52296507408415,0.0129206522566973,0.269426217674202,0.860046300268476,0.956765606143013,"Apoh"
"ENSMUSG00000000056",1841.13332897,-0.533850436410618,0.140905759371676,1.61854140955787e-06,9.18106494878051e-05,"Narf"
"ENSMUSG00000000058",423.77373859459,0.166444835275923,0.146289804176157,0.110260296843158,0.381381157681197,"Cav2"
"ENSMUSG00000000078",1617.26015923366,0.491447670386196,0.232901289379429,0.000645396524050467,0.0122091493062041,"Klf6"
"ENSMUSG00000000085",394.345060122325,-0.18361280406498,0.192592528844821,0.103446579150384,0.368288088364623,"Scmh1"
"ENSMUSG00000000088",5941.26636597117,0.0441270762899385,0.119052121549735,0.626605679589127,0.859172546613027,"Cox5a"
"ENSMUSG00000000093",46.1496766340648,0.0945126971322189,0.186187188897514,0.364668918353803,0.68900392551607,"Tbx2"
"ENSMUSG00000000094",28.3252115768425,0.00254888133248968,0.201385044272379,0.97862009525057,0.995004561226899,"Tbx4"
"ENSMUSG00000000120",10.392145825557,0.0250147560037012,0.245696088940338,0.759467920492181,0.920577104558496,"Ngfr"
"ENSMUSG00000000126",153.004832789495,-0.187171569329244,0.174091065671831,0.0926834102107697,0.345921848671524,"Wnt9a"
"ENSMUSG00000000127",165.594808449177,-0.0858431128004132,0.140510371267077,0.388756173042992,0.709627955353981,"Fer"
"ENSMUSG00000000131",368.56188540859,-0.016595659570104,0.171578389563685,0.869898404443691,0.960542858780045,"Xpo6"
"ENSMUSG00000000134",136.098020817682,-0.0249526313464421,0.168065448947131,0.806101922938813,0.939389835709599,"Tfe3"
"ENSMUSG00000000142",94.5259613482563,0.0779491653744017,0.194883123782283,0.443011607186434,0.7507483805483,"Axin2"
"ENSMUSG00000000148",102.936730821718,0.148004482450876,0.168840187788651,0.170695633602937,0.480361651735133,"Brat1"
"ENSMUSG00000000149",407.490434973513,-0.0351293850213302,0.131534951863811,0.713868358224704,0.901008544027473,"Gna12"
"ENSMUSG00000000154",4.77078127173238,-0.0397031096673928,0.300265487837367,0.568094425821863,0.829110078865629,"Slc22a18"
"ENSMUSG00000000167",4.15818972551366,0.0538255579590333,0.293082907218459,0.471338502450455,0.769888058101302,"Pih1d2"
"ENSMUSG00000000168",3519.22723348449,0.253923909668806,0.134205859024157,0.0141954056295954,0.109469652975486,"Dlat"
"ENSMUSG00000000171",3666.61061510184,0.0444755269289717,0.096211963973071,0.567220150204043,0.828643681023452,"Sdhd"
"ENSMUSG00000000183",56.2937298501038,0.0607350565532956,0.195278017294658,0.543193145508113,0.815720333473424,"Fgf6"
"ENSMUSG00000000184",134.739310322281,-0.103001304670859,0.192170359468426,0.324495634071918,0.653021387671694,"Ccnd2"
