"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016525","negative regulation of angiogenesis","5/37","106/15013",0.0471698113207547,19.1394696583376,9.31546667626851,5.81129690535185e-06,0.00271658533044826,0.00231944971192897,"ENSMUSG00000033278/ENSMUSG00000001036/ENSMUSG00000031503/ENSMUSG00000018593/ENSMUSG00000021701",5
"GO:2000181","negative regulation of blood vessel morphogenesis","5/37","108/15013",0.0462962962962963,18.785035035035,9.21982837449968,6.36938836007557e-06,0.00271658533044826,0.00231944971192897,"ENSMUSG00000033278/ENSMUSG00000001036/ENSMUSG00000031503/ENSMUSG00000018593/ENSMUSG00000021701",5
"GO:1901343","negative regulation of vasculature development","5/37","109/15013",0.0458715596330275,18.6126952640714,9.17296788883241,6.66374161189271e-06,0.00271658533044826,0.00231944971192897,"ENSMUSG00000033278/ENSMUSG00000001036/ENSMUSG00000031503/ENSMUSG00000018593/ENSMUSG00000021701",5
"GO:0045765","regulation of angiogenesis","6/37","279/15013",0.021505376344086,8.72595175820982,6.47464535412024,5.59055722829777e-05,0.0107948213650716,0.00921673434105178,"ENSMUSG00000033278/ENSMUSG00000001036/ENSMUSG00000029669/ENSMUSG00000031503/ENSMUSG00000018593/ENSMUSG00000021701",6
"GO:1901342","regulation of vasculature development","6/37","286/15013",0.020979020979021,8.51237951237951,6.37566686969698,6.41489414051681e-05,0.0107948213650716,0.00921673434105178,"ENSMUSG00000033278/ENSMUSG00000001036/ENSMUSG00000029669/ENSMUSG00000031503/ENSMUSG00000018593/ENSMUSG00000021701",6
"GO:0030198","extracellular matrix organization","6/37","290/15013",0.0206896551724138,8.39496738117428,6.32061488825574,6.92794795676191e-05,0.0107948213650716,0.00921673434105178,"ENSMUSG00000022892/ENSMUSG00000031503/ENSMUSG00000031502/ENSMUSG00000020674/ENSMUSG00000029675/ENSMUSG00000029581",6
"GO:0045229","external encapsulating structure organization","6/37","290/15013",0.0206896551724138,8.39496738117428,6.32061488825574,6.92794795676191e-05,0.0107948213650716,0.00921673434105178,"ENSMUSG00000022892/ENSMUSG00000031503/ENSMUSG00000031502/ENSMUSG00000020674/ENSMUSG00000029675/ENSMUSG00000029581",6
"GO:0043062","extracellular structure organization","6/37","291/15013",0.0206185567010309,8.3661186960156,6.30701733556019,7.06120776128967e-05,0.0107948213650716,0.00921673434105178,"ENSMUSG00000022892/ENSMUSG00000031503/ENSMUSG00000031502/ENSMUSG00000020674/ENSMUSG00000029675/ENSMUSG00000029581",6
"GO:0031644","regulation of nervous system process","4/37","124/15013",0.032258064516129,13.0889276373147,6.71874378388762,0.00023712319119785,0.0322224069816634,0.0275118369202652,"ENSMUSG00000053062/ENSMUSG00000022892/ENSMUSG00000021701/ENSMUSG00000049044",4
"GO:0038063","collagen-activated tyrosine kinase receptor signaling pathway","2/37","11/15013",0.181818181818182,73.7739557739558,12.0010699949918,0.000320541309685934,0.0392022021745897,0.0334712609693102,"ENSMUSG00000031503/ENSMUSG00000031502",2
"GO:0008063","Toll signaling pathway","2/37","12/15013",0.166666666666667,67.6261261261261,11.4761787561633,0.000384052447027602,0.0426996493377052,0.036457418894869,"ENSMUSG00000022892/ENSMUSG00000060477",2
