"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006935","chemotaxis","13/77","384/15013",0.0338541666666667,6.60068317099567,7.98264444274876,6.84039435810559e-08,7.95702801281846e-05,6.24197053264028e-05,"ENSMUSG00000021190/ENSMUSG00000031451/ENSMUSG00000036006/ENSMUSG00000029470/ENSMUSG00000002489/ENSMUSG00000025969/ENSMUSG00000000290/ENSMUSG00000002603/ENSMUSG00000037966/ENSMUSG00000024610/ENSMUSG00000034902/ENSMUSG00000050335/ENSMUSG00000018927",13
"GO:0042330","taxis","13/77","385/15013",0.0337662337662338,6.58353853938269,7.96883610953404,7.05097741499199e-08,7.95702801281846e-05,6.24197053264028e-05,"ENSMUSG00000021190/ENSMUSG00000031451/ENSMUSG00000036006/ENSMUSG00000029470/ENSMUSG00000002489/ENSMUSG00000025969/ENSMUSG00000000290/ENSMUSG00000002603/ENSMUSG00000037966/ENSMUSG00000024610/ENSMUSG00000034902/ENSMUSG00000050335/ENSMUSG00000018927",13
"GO:0002443","leukocyte mediated immunity","12/77","358/15013",0.0335195530726257,6.53544221141987,7.61111722870251,2.56561340985031e-07,0.000193019648867738,0.000151416201942744,"ENSMUSG00000062593/ENSMUSG00000036908/ENSMUSG00000036905/ENSMUSG00000071713/ENSMUSG00000000290/ENSMUSG00000005413/ENSMUSG00000002603/ENSMUSG00000024610/ENSMUSG00000020101/ENSMUSG00000015950/ENSMUSG00000036896/ENSMUSG00000073418",12
"GO:0002478","antigen processing and presentation of exogenous peptide antigen","5/77","30/15013",0.166666666666667,32.495670995671,12.3982272035133,4.01090625579445e-07,0.000226315385483202,0.000177535376901218,"ENSMUSG00000036908/ENSMUSG00000021190/ENSMUSG00000046805/ENSMUSG00000038642/ENSMUSG00000024610",5
"GO:0019884","antigen processing and presentation of exogenous antigen","5/77","36/15013",0.138888888888889,27.0797258297258,11.2483635631283,1.03590549845815e-06,0.000400383664639026,0.000314084986555438,"ENSMUSG00000036908/ENSMUSG00000021190/ENSMUSG00000046805/ENSMUSG00000038642/ENSMUSG00000024610",5
"GO:0060326","cell chemotaxis","10/77","268/15013",0.0373134328358209,7.27515022291142,7.44246196002068,1.06437837298811e-06,0.000400383664639026,0.000314084986555438,"ENSMUSG00000021190/ENSMUSG00000031451/ENSMUSG00000036006/ENSMUSG00000029470/ENSMUSG00000002489/ENSMUSG00000000290/ENSMUSG00000037966/ENSMUSG00000024610/ENSMUSG00000050335/ENSMUSG00000018927",10
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","4/77","19/15013",0.210526315789474,41.0471633629528,12.5411480444614,2.33833606032564e-06,0.000667117070341942,0.000523326685313596,"ENSMUSG00000036908/ENSMUSG00000021190/ENSMUSG00000038642/ENSMUSG00000024610",4
"GO:0050868","negative regulation of T cell activation","7/77","118/15013",0.0593220338983051,11.5662557781202,8.27350164030895,2.36461522496036e-06,0.000667117070341942,0.000523326685313596,"ENSMUSG00000022952/ENSMUSG00000062593/ENSMUSG00000036006/ENSMUSG00000002603/ENSMUSG00000024610/ENSMUSG00000020101/ENSMUSG00000050335",7
"GO:0071675","regulation of mononuclear cell migration","7/77","127/15013",0.0551181102362205,10.7465998568361,7.91978656634247,3.86297983631255e-06,0.000752469651327867,0.000590282374616269,"ENSMUSG00000021190/ENSMUSG00000031451/ENSMUSG00000036006/ENSMUSG00000029470/ENSMUSG00000002603/ENSMUSG00000037966/ENSMUSG00000050335",7
"GO:0002761","regulation of myeloid leukocyte differentiation","7/77","129/15013",0.0542635658914729,10.5799859055673,7.84598335747693,4.28576590951246e-06,0.000752469651327867,0.000590282374616269,"ENSMUSG00000022952/ENSMUSG00000062593/ENSMUSG00000022831/ENSMUSG00000002603/ENSMUSG00000037966/ENSMUSG00000024610/ENSMUSG00000036896",7
