"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051056","regulation of small GTPase mediated signal transduction","9/58","227/15013",0.039647577092511,10.2625702567219,8.75707680514092,1.97260163933975e-07,0.000377753213933563,0.000304818863847448,"ENSMUSG00000038119/ENSMUSG00000057315/ENSMUSG00000028059/ENSMUSG00000057280/ENSMUSG00000053819/ENSMUSG00000038807/ENSMUSG00000048376/ENSMUSG00000018909/ENSMUSG00000041115",9
"GO:0070374","positive regulation of ERK1 and ERK2 cascade","7/58","177/15013",0.0395480225988701,10.2368010909799,7.69821220157491,5.09337288108455e-06,0.00358158982478004,0.00289007770387637,"ENSMUSG00000005320/ENSMUSG00000053819/ENSMUSG00000048376/ENSMUSG00000022892/ENSMUSG00000031451/ENSMUSG00000025584/ENSMUSG00000018909",7
"GO:0051057","positive regulation of small GTPase mediated signal transduction","5/58","71/15013",0.0704225352112676,18.2285089849441,9.0617602560437,7.73408382859063e-06,0.00358158982478004,0.00289007770387637,"ENSMUSG00000038119/ENSMUSG00000057280/ENSMUSG00000053819/ENSMUSG00000048376/ENSMUSG00000018909",5
"GO:0043410","positive regulation of MAPK cascade","10/58","455/15013",0.021978021978022,5.68889730958696,6.32507425264078,8.38852120151215e-06,0.00358158982478004,0.00289007770387637,"ENSMUSG00000005320/ENSMUSG00000038119/ENSMUSG00000046532/ENSMUSG00000053819/ENSMUSG00000048376/ENSMUSG00000020623/ENSMUSG00000022892/ENSMUSG00000031451/ENSMUSG00000025584/ENSMUSG00000018909",10
"GO:0007617","mating behavior","4/58","36/15013",0.111111111111111,28.7605363984674,10.3850060745591,1.0771893167479e-05,0.00358158982478004,0.00289007770387637,"ENSMUSG00000046532/ENSMUSG00000058756/ENSMUSG00000052155/ENSMUSG00000022892",4
"GO:0030198","extracellular matrix organization","8/58","290/15013",0.0275862068965517,7.14054696789536,6.57579046950704,1.45943858979585e-05,0.00358158982478004,0.00289007770387637,"ENSMUSG00000026141/ENSMUSG00000005320/ENSMUSG00000020674/ENSMUSG00000031502/ENSMUSG00000035258/ENSMUSG00000022892/ENSMUSG00000031451/ENSMUSG00000031503",8
"GO:0045229","external encapsulating structure organization","8/58","290/15013",0.0275862068965517,7.14054696789536,6.57579046950704,1.45943858979585e-05,0.00358158982478004,0.00289007770387637,"ENSMUSG00000026141/ENSMUSG00000005320/ENSMUSG00000020674/ENSMUSG00000031502/ENSMUSG00000035258/ENSMUSG00000022892/ENSMUSG00000031451/ENSMUSG00000031503",8
"GO:0043062","extracellular structure organization","8/58","291/15013",0.0274914089347079,7.11600900580637,6.5610186158631,1.49622551426842e-05,0.00358158982478004,0.00289007770387637,"ENSMUSG00000026141/ENSMUSG00000005320/ENSMUSG00000020674/ENSMUSG00000031502/ENSMUSG00000035258/ENSMUSG00000022892/ENSMUSG00000031451/ENSMUSG00000031503",8
"GO:0019098","reproductive behavior","4/58","44/15013",0.0909090909090909,23.5313479623824,9.32088574958568,2.42600702280153e-05,0.00500946007523525,0.00404226323509432,"ENSMUSG00000046532/ENSMUSG00000058756/ENSMUSG00000052155/ENSMUSG00000022892",4
"GO:0044060","regulation of endocrine process","4/58","45/15013",0.0888888888888889,23.008429118774,9.20774918760598,2.65504716306231e-05,0.00500946007523525,0.00404226323509432,"ENSMUSG00000005320/ENSMUSG00000022952/ENSMUSG00000048376/ENSMUSG00000052155",4
"GO:0007264","small GTPase-mediated signal transduction","9/58","417/15013",0.0215827338129496,5.58657901265195,5.91534454459028,2.8774966489602e-05,0.00500946007523525,0.00404226323509432,"ENSMUSG00000038119/ENSMUSG00000057315/ENSMUSG00000028059/ENSMUSG00000057280/ENSMUSG00000053819/ENSMUSG00000038807/ENSMUSG00000048376/ENSMUSG00000018909/ENSMUSG00000041115",9
"GO:0070372","regulation of ERK1 and ERK2 cascade","7/58","269/15013",0.0260223048327138,6.73573900781951,5.91150316387711,7.55515111777048e-05,0.0120567619921087,0.00972891389551497,"ENSMUSG00000005320/ENSMUSG00000053819/ENSMUSG00000048376/ENSMUSG00000022892/ENSMUSG00000031451/ENSMUSG00000025584/ENSMUSG00000018909",7
"GO:0007528","neuromuscular junction development","4/58","62/15013",0.0645161290322581,16.6996662958843,7.71420563165547,9.4668047435972e-05,0.0139453316030682,0.0112528496871261,"ENSMUSG00000057280/ENSMUSG00000048376/ENSMUSG00000031502/ENSMUSG00000022892",4
"GO:0070371","ERK1 and ERK2 cascade","7/58","294/15013",0.0238095238095238,6.16297208538588,5.56768114161305,0.000131503784151592,0.01798783904645,0.0145148537695141,"ENSMUSG00000005320/ENSMUSG00000053819/ENSMUSG00000048376/ENSMUSG00000022892/ENSMUSG00000031451/ENSMUSG00000025584/ENSMUSG00000018909",7
"GO:0048167","regulation of synaptic plasticity","6/58","215/15013",0.027906976744186,7.22357658380112,5.72397624237298,0.000175027264755172,0.022345147467077,0.0180308789235504,"ENSMUSG00000052727/ENSMUSG00000057280/ENSMUSG00000053819/ENSMUSG00000048376/ENSMUSG00000022892/ENSMUSG00000041115",6
"GO:0032675","regulation of interleukin-6 production","5/58","146/15013",0.0342465753424658,8.86454888993859,5.94673573847234,0.00024583150510656,0.027227571274236,0.0219706332997546,"ENSMUSG00000028059/ENSMUSG00000048376/ENSMUSG00000022892/ENSMUSG00000031451/ENSMUSG00000018909",5
"GO:0035020","regulation of Rac protein signal transduction","3/58","32/15013",0.09375,24.2667025862069,8.20501711881963,0.000250646361246493,0.027227571274236,0.0219706332997546,"ENSMUSG00000057315/ENSMUSG00000057280/ENSMUSG00000053819",3
"GO:0045666","positive regulation of neuron differentiation","4/58","81/15013",0.0493827160493827,12.7824606215411,6.62154876420866,0.00026736198039838,0.027227571274236,0.0219706332997546,"ENSMUSG00000038119/ENSMUSG00000028059/ENSMUSG00000052727/ENSMUSG00000022892",4
"GO:0046887","positive regulation of hormone secretion","5/58","149/15013",0.0335570469798658,8.6860680398056,5.87177731179087,0.000270143004809653,0.027227571274236,0.0219706332997546,"ENSMUSG00000005320/ENSMUSG00000022952/ENSMUSG00000055980/ENSMUSG00000052155/ENSMUSG00000018909",5
"GO:0032635","interleukin-6 production","5/58","153/15013",0.0326797385620915,8.45898129366689,5.77505194118115,0.000305352425537203,0.0292374947451872,0.0235924926678218,"ENSMUSG00000028059/ENSMUSG00000048376/ENSMUSG00000022892/ENSMUSG00000031451/ENSMUSG00000018909",5
"GO:0033032","regulation of myeloid cell apoptotic process","3/58","35/15013",0.0857142857142857,22.1866995073892,7.8146670990318,0.000328033504327903,0.0299135314660921,0.0241380042282387,"ENSMUSG00000027737/ENSMUSG00000058756/ENSMUSG00000031451",3
"GO:0050886","endocrine process","4/58","87/15013",0.0459770114942529,11.9009116131589,6.3502495435099,0.000351600215257084,0.0306052005553325,0.0246961299520287,"ENSMUSG00000005320/ENSMUSG00000022952/ENSMUSG00000048376/ENSMUSG00000052155",4
"GO:0033028","myeloid cell apoptotic process","3/58","41/15013",0.0731707317073171,18.9398654331371,7.16326909560507,0.000525566632487216,0.0419739509929193,0.0338698694833616,"ENSMUSG00000027737/ENSMUSG00000058756/ENSMUSG00000031451",3
"GO:0003013","circulatory system process","8/58","486/15013",0.0164609053497942,4.26082020718036,4.55089783518278,0.000526044294428232,0.0419739509929193,0.0338698694833616,"ENSMUSG00000028970/ENSMUSG00000046532/ENSMUSG00000053819/ENSMUSG00000048376/ENSMUSG00000058756/ENSMUSG00000020623/ENSMUSG00000022892/ENSMUSG00000031451",8
