"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006935","chemotaxis","20/170","384/15013",0.0520833333333333,4.59957107843137,7.64701497717278,1.37276055462279e-08,2.23057718594548e-05,1.77815217651713e-05,"ENSMUSG00000009292/ENSMUSG00000023078/ENSMUSG00000000290/ENSMUSG00000040152/ENSMUSG00000026121/ENSMUSG00000018927/ENSMUSG00000024610/ENSMUSG00000048534/ENSMUSG00000020902/ENSMUSG00000025969/ENSMUSG00000037966/ENSMUSG00000029470/ENSMUSG00000002489/ENSMUSG00000036006/ENSMUSG00000039239/ENSMUSG00000031451/ENSMUSG00000028195/ENSMUSG00000032380/ENSMUSG00000021190/ENSMUSG00000025473",20
"GO:0042330","taxis","20/170","385/15013",0.051948051948052,4.58762414056532,7.63181301701162,1.43399369073962e-08,2.23057718594548e-05,1.77815217651713e-05,"ENSMUSG00000009292/ENSMUSG00000023078/ENSMUSG00000000290/ENSMUSG00000040152/ENSMUSG00000026121/ENSMUSG00000018927/ENSMUSG00000024610/ENSMUSG00000048534/ENSMUSG00000020902/ENSMUSG00000025969/ENSMUSG00000037966/ENSMUSG00000029470/ENSMUSG00000002489/ENSMUSG00000036006/ENSMUSG00000039239/ENSMUSG00000031451/ENSMUSG00000028195/ENSMUSG00000032380/ENSMUSG00000021190/ENSMUSG00000025473",20
"GO:0019221","cytokine-mediated signaling pathway","20/170","407/15013",0.0491400491400491,4.33964445729152,7.30995468997884,3.61765966946347e-08,3.39244510266456e-05,2.70435996612283e-05,"ENSMUSG00000071713/ENSMUSG00000023078/ENSMUSG00000025498/ENSMUSG00000068758/ENSMUSG00000028581/ENSMUSG00000025492/ENSMUSG00000018927/ENSMUSG00000024610/ENSMUSG00000029561/ENSMUSG00000032690/ENSMUSG00000062593/ENSMUSG00000040717/ENSMUSG00000033538/ENSMUSG00000055980/ENSMUSG00000031451/ENSMUSG00000027947/ENSMUSG00000028381/ENSMUSG00000000078/ENSMUSG00000060477/ENSMUSG00000022967",20
"GO:0050900","leukocyte migration","18/170","334/15013",0.0538922155688623,4.75931666079606,7.43561341780767,4.55402261121558e-08,3.39244510266456e-05,2.70435996612283e-05,"ENSMUSG00000009292/ENSMUSG00000023078/ENSMUSG00000000290/ENSMUSG00000040152/ENSMUSG00000018927/ENSMUSG00000024610/ENSMUSG00000048534/ENSMUSG00000022548/ENSMUSG00000037966/ENSMUSG00000037405/ENSMUSG00000029470/ENSMUSG00000032076/ENSMUSG00000036006/ENSMUSG00000039239/ENSMUSG00000031451/ENSMUSG00000032380/ENSMUSG00000021190/ENSMUSG00000025473",18
"GO:0030595","leukocyte chemotaxis","14/170","198/15013",0.0707070707070707,6.24426619132501,7.9496752869162,5.59126109328077e-08,3.39244510266456e-05,2.70435996612283e-05,"ENSMUSG00000009292/ENSMUSG00000023078/ENSMUSG00000000290/ENSMUSG00000040152/ENSMUSG00000018927/ENSMUSG00000024610/ENSMUSG00000048534/ENSMUSG00000037966/ENSMUSG00000036006/ENSMUSG00000039239/ENSMUSG00000031451/ENSMUSG00000032380/ENSMUSG00000021190/ENSMUSG00000025473",14
"GO:0060326","cell chemotaxis","16/170","268/15013",0.0597014925373134,5.27234416154521,7.5525591232002,6.542806369652e-08,3.39244510266456e-05,2.70435996612283e-05,"ENSMUSG00000009292/ENSMUSG00000023078/ENSMUSG00000000290/ENSMUSG00000040152/ENSMUSG00000018927/ENSMUSG00000024610/ENSMUSG00000048534/ENSMUSG00000037966/ENSMUSG00000029470/ENSMUSG00000002489/ENSMUSG00000036006/ENSMUSG00000039239/ENSMUSG00000031451/ENSMUSG00000032380/ENSMUSG00000021190/ENSMUSG00000025473",16
"GO:0032675","regulation of interleukin-6 production","12/170","146/15013",0.0821917808219178,7.25850120870266,8.13238615749151,9.97231077401598e-08,4.43197983113767e-05,3.53304724565138e-05,"ENSMUSG00000028581/ENSMUSG00000006519/ENSMUSG00000024610/ENSMUSG00000062593/ENSMUSG00000036908/ENSMUSG00000018909/ENSMUSG00000031451/ENSMUSG00000027947/ENSMUSG00000035799/ENSMUSG00000028195/ENSMUSG00000028059/ENSMUSG00000024858",12
"GO:0032635","interleukin-6 production","12/170","153/15013",0.0784313725490196,6.92641291810842,7.88517094289101,1.66970526138715e-07,6.30777788005131e-05,5.02837966651471e-05,"ENSMUSG00000028581/ENSMUSG00000006519/ENSMUSG00000024610/ENSMUSG00000062593/ENSMUSG00000036908/ENSMUSG00000018909/ENSMUSG00000031451/ENSMUSG00000027947/ENSMUSG00000035799/ENSMUSG00000028195/ENSMUSG00000028059/ENSMUSG00000024858",12
"GO:0071674","mononuclear cell migration","13/170","185/15013",0.0702702702702703,6.20569157392687,7.62440405878274,1.82481520155776e-07,6.30777788005131e-05,5.02837966651471e-05,"ENSMUSG00000009292/ENSMUSG00000023078/ENSMUSG00000040152/ENSMUSG00000048534/ENSMUSG00000022548/ENSMUSG00000037966/ENSMUSG00000037405/ENSMUSG00000029470/ENSMUSG00000032076/ENSMUSG00000036006/ENSMUSG00000031451/ENSMUSG00000021190/ENSMUSG00000025473",13
"GO:0097529","myeloid leukocyte migration","13/170","204/15013",0.0637254901960784,5.62771049596309,7.12198892794423,5.62779075097498e-07,0.000175080570262832,0.00013956921062418,"ENSMUSG00000023078/ENSMUSG00000000290/ENSMUSG00000040152/ENSMUSG00000018927/ENSMUSG00000024610/ENSMUSG00000048534/ENSMUSG00000037966/ENSMUSG00000029470/ENSMUSG00000036006/ENSMUSG00000039239/ENSMUSG00000032380/ENSMUSG00000021190/ENSMUSG00000025473",13
