"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030239","myofibril assembly","6/71","77/15013",0.0779220779220779,16.4766782513261,9.3853408651242,1.64163881424337e-06,0.00314846809621279,0.00244607640208315,"ENSMUSG00000020612/ENSMUSG00000041731/ENSMUSG00000052374/ENSMUSG00000051747/ENSMUSG00000020061/ENSMUSG00000068699",6
"GO:0055002","striated muscle cell development","8/71","199/15013",0.0402010050251256,8.50053082312973,7.34220412391929,4.30960655688957e-06,0.00314846809621279,0.00244607640208315,"ENSMUSG00000020612/ENSMUSG00000041731/ENSMUSG00000052374/ENSMUSG00000051747/ENSMUSG00000054640/ENSMUSG00000053819/ENSMUSG00000020061/ENSMUSG00000068699",8
"GO:0002690","positive regulation of leukocyte chemotaxis","6/71","91/15013",0.0659340659340659,13.941804674199,8.53583684656999,4.381505307598e-06,0.00314846809621279,0.00244607640208315,"ENSMUSG00000036006/ENSMUSG00000023913/ENSMUSG00000022892/ENSMUSG00000021190/ENSMUSG00000031451/ENSMUSG00000032380",6
"GO:0045214","sarcomere organization","5/71","54/15013",0.0925925925925926,19.5787689097548,9.42771874525224,5.41671930531233e-06,0.00314846809621279,0.00244607640208315,"ENSMUSG00000020612/ENSMUSG00000052374/ENSMUSG00000051747/ENSMUSG00000020061/ENSMUSG00000068699",5
"GO:0055001","muscle cell development","8/71","230/15013",0.0347826086956522,7.35480710349051,6.69466867215486,1.24576294006575e-05,0.00579279767130576,0.00450048253716386,"ENSMUSG00000020612/ENSMUSG00000041731/ENSMUSG00000052374/ENSMUSG00000051747/ENSMUSG00000054640/ENSMUSG00000053819/ENSMUSG00000020061/ENSMUSG00000068699",8
"GO:0002688","regulation of leukocyte chemotaxis","6/71","114/15013",0.0526315789473684,11.1289844329133,7.48313974263464,1.60961247031311e-05,0.00623724832246332,0.00484578070010054,"ENSMUSG00000036006/ENSMUSG00000023913/ENSMUSG00000022892/ENSMUSG00000021190/ENSMUSG00000031451/ENSMUSG00000032380",6
"GO:0060413","atrial septum morphogenesis","3/71","12/15013",0.25,52.862676056338,12.3888080984102,2.16281129967807e-05,0.00652638084516085,0.00507041065321834,"ENSMUSG00000028195/ENSMUSG00000039239/ENSMUSG00000057406",3
"GO:0051146","striated muscle cell differentiation","9/71","327/15013",0.0275229357798165,5.81974415299134,6.07421536089524,2.24563641984029e-05,0.00652638084516085,0.00507041065321834,"ENSMUSG00000020612/ENSMUSG00000036006/ENSMUSG00000041731/ENSMUSG00000052374/ENSMUSG00000051747/ENSMUSG00000054640/ENSMUSG00000053819/ENSMUSG00000020061/ENSMUSG00000068699",9
"GO:0030595","leukocyte chemotaxis","7/71","198/15013",0.0353535353535354,7.47552994736093,6.32267952709387,4.06633071331137e-05,0.00812589371286353,0.00631308822242165,"ENSMUSG00000036006/ENSMUSG00000023913/ENSMUSG00000039239/ENSMUSG00000022892/ENSMUSG00000021190/ENSMUSG00000031451/ENSMUSG00000032380",7
"GO:0051402","neuron apoptotic process","9/71","353/15013",0.0254957507082153,5.39109444200614,5.75489271276296,4.0892218619964e-05,0.00812589371286353,0.00631308822242165,"ENSMUSG00000057280/ENSMUSG00000022510/ENSMUSG00000022307/ENSMUSG00000039239/ENSMUSG00000022892/ENSMUSG00000021190/ENSMUSG00000022144/ENSMUSG00000022707/ENSMUSG00000035105",9
"GO:0010927","cellular component assembly involved in morphogenesis","6/71","135/15013",0.0444444444444444,9.39780907668232,6.75623411230943,4.19400965825214e-05,0.00812589371286353,0.00631308822242165,"ENSMUSG00000020612/ENSMUSG00000041731/ENSMUSG00000052374/ENSMUSG00000051747/ENSMUSG00000020061/ENSMUSG00000068699",6
