"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1901880","negative regulation of protein depolymerization","3/15","78/15013",0.0384615384615385,38.4948717948718,10.4994075446842,5.86879756334778e-05,0.0155675510611034,0.0104574269593284,"ENSMUSG00000028059/ENSMUSG00000052727/ENSMUSG00000040852",3
"GO:0045666","positive regulation of neuron differentiation","3/15","81/15013",0.037037037037037,37.0691358024691,10.2936047546813,6.57007149826452e-05,0.0155675510611034,0.0104574269593284,"ENSMUSG00000028059/ENSMUSG00000052727/ENSMUSG00000022892",3
"GO:0043242","negative regulation of protein-containing complex disassembly","3/15","88/15013",0.0340909090909091,34.1204545454545,9.85436597801218,8.41478652144967e-05,0.0155675510611034,0.0104574269593284,"ENSMUSG00000028059/ENSMUSG00000052727/ENSMUSG00000040852",3
"GO:0051044","positive regulation of membrane protein ectodomain proteolysis","2/15","15/15013",0.133333333333333,133.448888888889,16.2302611203197,9.71051817512321e-05,0.0155675510611034,0.0104574269593284,"ENSMUSG00000028082/ENSMUSG00000022892",2
"GO:1901879","regulation of protein depolymerization","3/15","94/15013",0.0319148936170213,31.9425531914894,9.5169644880933,0.000102418099086206,0.0155675510611034,0.0104574269593284,"ENSMUSG00000028059/ENSMUSG00000052727/ENSMUSG00000040852",3
"GO:0070206","protein trimerization","2/15","18/15013",0.111111111111111,111.207407407407,14.7952407397643,0.00014125125997141,0.0178918262630452,0.0120187475589708,"ENSMUSG00000020674/ENSMUSG00000022892",2
"GO:0051261","protein depolymerization","3/15","127/15013",0.0236220472440945,23.6425196850394,8.10374636677622,0.000249720820849701,0.0236279288223628,0.0158719466466011,"ENSMUSG00000028059/ENSMUSG00000052727/ENSMUSG00000040852",3
"GO:0051043","regulation of membrane protein ectodomain proteolysis","2/15","24/15013",0.0833333333333333,83.4055555555556,12.7768564496882,0.000253925152040913,0.0236279288223628,0.0158719466466011,"ENSMUSG00000028082/ENSMUSG00000022892",2
"GO:0043244","regulation of protein-containing complex disassembly","3/15","132/15013",0.0227272727272727,22.7469696969697,7.93629658492775,0.000279804420264823,0.0236279288223628,0.0158719466466011,"ENSMUSG00000028059/ENSMUSG00000052727/ENSMUSG00000040852",3
"GO:0032469","endoplasmic reticulum calcium ion homeostasis","2/15","27/15013",0.0740740740740741,74.1382716049383,12.029066994423,0.000322367834640213,0.0239721297393274,0.016103161944008,"ENSMUSG00000053819/ENSMUSG00000022892",2
"GO:0010971","positive regulation of G2/M transition of mitotic cell cycle","2/15","28/15013",0.0714285714285714,71.4904761904762,11.8067215024979,0.000346965035700791,0.0239721297393274,0.016103161944008,"ENSMUSG00000053819/ENSMUSG00000022892",2
"GO:1902751","positive regulation of cell cycle G2/M phase transition","2/15","31/15013",0.0645161290322581,64.5720430107527,11.2049610670129,0.000426083660767843,0.0258370558004109,0.0173559169850406,"ENSMUSG00000053819/ENSMUSG00000022892",2
"GO:1902903","regulation of supramolecular fiber organization","4/15","380/15013",0.0105263157894737,10.5354385964912,5.95407113015997,0.000441949638691239,0.0258370558004109,0.0173559169850406,"ENSMUSG00000028059/ENSMUSG00000052727/ENSMUSG00000022892/ENSMUSG00000040852",4
"GO:0007026","negative regulation of microtubule depolymerization","2/15","36/15013",0.0555555555555556,55.6037037037037,10.3731144498977,0.000575611263149933,0.0283735530384377,0.0190597967086458,"ENSMUSG00000028059/ENSMUSG00000052727",2
"GO:0051494","negative regulation of cytoskeleton organization","3/15","169/15013",0.0177514792899408,17.7668639053254,6.93214999881286,0.0005771954199869,0.0283735530384377,0.0190597967086458,"ENSMUSG00000028059/ENSMUSG00000052727/ENSMUSG00000040852",3
"GO:1902904","negative regulation of supramolecular fiber organization","3/15","171/15013",0.0175438596491228,17.5590643274854,6.8870917324826,0.000597337958703951,0.0283735530384377,0.0190597967086458,"ENSMUSG00000028059/ENSMUSG00000052727/ENSMUSG00000040852",3
"GO:0045664","regulation of neuron differentiation","3/15","183/15013",0.0163934426229508,16.407650273224,6.63192512400145,0.000727707627909761,0.031542101401863,0.0211882537117778,"ENSMUSG00000028059/ENSMUSG00000052727/ENSMUSG00000022892",3
"GO:0031114","regulation of microtubule depolymerization","2/15","41/15013",0.0487804878048781,48.8227642276423,9.69694488695717,0.000747049770044124,0.031542101401863,0.0211882537117778,"ENSMUSG00000028059/ENSMUSG00000052727",2
"GO:0006509","membrane protein ectodomain proteolysis","2/15","45/15013",0.0444444444444444,44.482962962963,9.23829299706562,0.00089984672988391,0.0359938691953564,0.0241787071464652,"ENSMUSG00000028082/ENSMUSG00000022892",2
"GO:0016049","cell growth","4/15","479/15013",0.00835073068893528,8.35796798886569,5.17584551846977,0.00105551825340244,0.0385951492165214,0.0259261043905996,"ENSMUSG00000052727/ENSMUSG00000053819/ENSMUSG00000022892/ENSMUSG00000036256",4
"GO:0031111","negative regulation of microtubule polymerization or depolymerization","2/15","49/15013",0.0408163265306122,40.8517006802721,8.83627620780384,0.00106644491256178,0.0385951492165214,0.0259261043905996,"ENSMUSG00000028059/ENSMUSG00000052727",2
"GO:0048167","regulation of synaptic plasticity","3/15","215/15013",0.013953488372093,13.9655813953488,6.05561069268569,0.00116046565054918,0.0400888133826081,0.026929466053414,"ENSMUSG00000052727/ENSMUSG00000053819/ENSMUSG00000022892",3
"GO:0051056","regulation of small GTPase mediated signal transduction","3/15","227/15013",0.013215859030837,13.2273127753304,5.87038834348224,0.0013570105314964,0.0448403479972723,0.0301212863970597,"ENSMUSG00000028059/ENSMUSG00000053819/ENSMUSG00000038807",3
"GO:0033619","membrane protein proteolysis","2/15","57/15013",0.0350877192982456,35.1181286549708,8.16137127080592,0.00144065431911717,0.0456207201053771,0.0306454975777117,"ENSMUSG00000028082/ENSMUSG00000022892",2
"GO:0007019","microtubule depolymerization","2/15","60/15013",0.0333333333333333,33.3622222222222,7.94324626171271,0.00159495591699549,0.0484866598766629,0.0325706787260132,"ENSMUSG00000028059/ENSMUSG00000052727",2
"GO:0090068","positive regulation of cell cycle process","3/15","245/15013",0.0122448979591837,12.2555102040816,5.61740348223351,0.00168937765521399,0.048978107104361,0.0329008060188575,"ENSMUSG00000053819/ENSMUSG00000034349/ENSMUSG00000022892",3
"GO:0048588","developmental cell growth","3/15","250/15013",0.012,12.0104,5.55180270425055,0.00178998490667092,0.048978107104361,0.0329008060188575,"ENSMUSG00000052727/ENSMUSG00000053819/ENSMUSG00000022892",3
"GO:0032984","protein-containing complex disassembly","3/15","253/15013",0.0118577075098814,11.8679841897233,5.51333412127192,0.00185212095344931,0.048978107104361,0.0329008060188575,"ENSMUSG00000028059/ENSMUSG00000052727/ENSMUSG00000040852",3
"GO:0048168","regulation of neuronal synaptic plasticity","2/15","65/15013",0.0307692307692308,30.7958974358974,7.61324554731718,0.00186890145529799,0.048978107104361,0.0329008060188575,"ENSMUSG00000053819/ENSMUSG00000022892",2
