"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0055002","striated muscle cell development","4/13","199/15013",0.0201005025125628,23.2129880170081,9.28629925462935,1.95018247315721e-05,0.0078730132185557,0.00465720381543237,"ENSMUSG00000031626/ENSMUSG00000041731/ENSMUSG00000051747/ENSMUSG00000053819",4
"GO:0016049","cell growth","5/13","479/15013",0.0104384133611691,12.0547615224024,7.23885506781727,3.37041479912983e-05,0.0078730132185557,0.00465720381543237,"ENSMUSG00000031626/ENSMUSG00000032060/ENSMUSG00000022892/ENSMUSG00000053819/ENSMUSG00000052727",5
"GO:0055001","muscle cell development","4/13","230/15013",0.0173913043478261,20.0842809364548,8.58625446376359,3.4423161205436e-05,0.0078730132185557,0.00465720381543237,"ENSMUSG00000031626/ENSMUSG00000041731/ENSMUSG00000051747/ENSMUSG00000053819",4
"GO:0048588","developmental cell growth","4/13","250/15013",0.016,18.4775384615385,8.20367195159603,4.76883502277051e-05,0.0078730132185557,0.00465720381543237,"ENSMUSG00000031626/ENSMUSG00000022892/ENSMUSG00000053819/ENSMUSG00000052727",4
"GO:0055119","relaxation of cardiac muscle","2/13","15/15013",0.133333333333333,153.979487179487,17.4504841302654,7.2218623840905e-05,0.0078730132185557,0.00465720381543237,"ENSMUSG00000051747/ENSMUSG00000053819",2
"GO:1905906","regulation of amyloid fibril formation","2/13","15/15013",0.133333333333333,153.979487179487,17.4504841302654,7.2218623840905e-05,0.0078730132185557,0.00465720381543237,"ENSMUSG00000032060/ENSMUSG00000022892",2
"GO:1901077","regulation of relaxation of muscle","2/13","16/15013",0.125,144.355769230769,16.8895584397333,8.24952548379432e-05,0.0078730132185557,0.00465720381543237,"ENSMUSG00000051747/ENSMUSG00000053819",2
"GO:0055013","cardiac muscle cell development","3/13","106/15013",0.0283018867924528,32.6843251088534,9.63712722269246,9.29393241841833e-05,0.0078730132185557,0.00465720381543237,"ENSMUSG00000031626/ENSMUSG00000051747/ENSMUSG00000053819",3
"GO:0003300","cardiac muscle hypertrophy","3/13","112/15013",0.0267857142857143,30.9333791208791,9.36057171105869,0.000109471144151465,0.0078730132185557,0.00465720381543237,"ENSMUSG00000031626/ENSMUSG00000051747/ENSMUSG00000053819",3
"GO:0055006","cardiac cell development","3/13","115/15013",0.0260869565217391,30.1264214046823,9.23033340658093,0.000118411676883696,0.0078730132185557,0.00465720381543237,"ENSMUSG00000031626/ENSMUSG00000051747/ENSMUSG00000053819",3
