"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060413","atrial septum morphogenesis","2/19","12/15013",0.166666666666667,131.69298245614,16.1220443458817,9.93995663316494e-05,0.0226649352066501,0.0150262014870936,"ENSMUSG00000028195/ENSMUSG00000057406",2
"GO:0048167","regulation of synaptic plasticity","4/19","215/15013",0.0186046511627907,14.700611995104,7.20269476569179,0.000133904461602986,0.0226649352066501,0.0150262014870936,"ENSMUSG00000042700/ENSMUSG00000022892/ENSMUSG00000053819/ENSMUSG00000021190",4
"GO:0055119","relaxation of cardiac muscle","2/19","15/15013",0.133333333333333,105.354385964912,14.3938504779487,0.000157777941554437,0.0226649352066501,0.0150262014870936,"ENSMUSG00000051747/ENSMUSG00000053819",2
"GO:1905906","regulation of amyloid fibril formation","2/19","15/15013",0.133333333333333,105.354385964912,14.3938504779487,0.000157777941554437,0.0226649352066501,0.0150262014870936,"ENSMUSG00000022892/ENSMUSG00000032060",2
"GO:1901077","regulation of relaxation of muscle","2/19","16/15013",0.125,98.7697368421053,13.9283466472278,0.000180181586417141,0.0226649352066501,0.0150262014870936,"ENSMUSG00000051747/ENSMUSG00000053819",2
"GO:0002690","positive regulation of leukocyte chemotaxis","3/19","91/15013",0.032967032967033,26.0491613649508,8.53174160664588,0.000194588241282234,0.0226649352066501,0.0150262014870936,"ENSMUSG00000022892/ENSMUSG00000021190/ENSMUSG00000032380",3
"GO:0090026","positive regulation of monocyte chemotaxis","2/19","17/15013",0.117647058823529,92.9597523219814,13.5042933302373,0.000204051718668892,0.0226649352066501,0.0150262014870936,"ENSMUSG00000022892/ENSMUSG00000021190",2
"GO:0008015","blood circulation","5/19","458/15013",0.0109170305676856,8.6261778901402,5.90025648266479,0.000210906413205794,0.0226649352066501,0.0150262014870936,"ENSMUSG00000051747/ENSMUSG00000033278/ENSMUSG00000022892/ENSMUSG00000053819/ENSMUSG00000029925",5
"GO:0097061","dendritic spine organization","3/19","99/15013",0.0303030303030303,23.9441786283892,8.15324265978639,0.000249630223769896,0.0226649352066501,0.0150262014870936,"ENSMUSG00000042700/ENSMUSG00000022892/ENSMUSG00000021190",3
"GO:0003283","atrial septum development","2/19","19/15013",0.105263157894737,83.1745152354571,12.758291571742,0.000256178029094607,0.0226649352066501,0.0150262014870936,"ENSMUSG00000028195/ENSMUSG00000057406",2
