"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006941","striated muscle contraction","47/1278","166/15013",0.283132530120482,3.32603182683787,9.19222646824025,6.64925067593668e-14,3.65176847122442e-10,3.10834971071945e-10,"ENSMUSG00000001027/ENSMUSG00000001552/ENSMUSG00000004383/ENSMUSG00000007122/ENSMUSG00000007617/ENSMUSG00000013936/ENSMUSG00000019370/ENSMUSG00000020354/ENSMUSG00000020623/ENSMUSG00000020908/ENSMUSG00000021194/ENSMUSG00000021270/ENSMUSG00000022770/ENSMUSG00000024065/ENSMUSG00000024858/ENSMUSG00000026251/ENSMUSG00000026253/ENSMUSG00000026360/ENSMUSG00000026414/ENSMUSG00000026418/ENSMUSG00000027107/ENSMUSG00000027470/ENSMUSG00000029361/ENSMUSG00000029467/ENSMUSG00000029470/ENSMUSG00000030470/ENSMUSG00000030554/ENSMUSG00000030592/ENSMUSG00000030739/ENSMUSG00000032511/ENSMUSG00000040118/ENSMUSG00000040287/ENSMUSG00000040407/ENSMUSG00000040907/ENSMUSG00000041189/ENSMUSG00000045103/ENSMUSG00000046480/ENSMUSG00000051747/ENSMUSG00000053819/ENSMUSG00000054640/ENSMUSG00000054978/ENSMUSG00000055775/ENSMUSG00000061086/ENSMUSG00000064179/ENSMUSG00000068614/ENSMUSG00000090122/ENSMUSG00000091898",47
"GO:0003012","muscle system process","82/1278","412/15013",0.199029126213592,2.33804716106781,8.40038327072128,1.89619647882992e-13,5.20695553086695e-10,4.43210976972824e-10,"ENSMUSG00000001027/ENSMUSG00000001552/ENSMUSG00000002489/ENSMUSG00000004383/ENSMUSG00000005628/ENSMUSG00000006519/ENSMUSG00000007122/ENSMUSG00000007617/ENSMUSG00000009214/ENSMUSG00000013936/ENSMUSG00000014776/ENSMUSG00000015605/ENSMUSG00000019370/ENSMUSG00000020061/ENSMUSG00000020354/ENSMUSG00000020580/ENSMUSG00000020623/ENSMUSG00000020908/ENSMUSG00000021194/ENSMUSG00000021270/ENSMUSG00000021669/ENSMUSG00000021820/ENSMUSG00000022144/ENSMUSG00000022770/ENSMUSG00000024065/ENSMUSG00000024858/ENSMUSG00000026251/ENSMUSG00000026253/ENSMUSG00000026360/ENSMUSG00000026414/ENSMUSG00000026418/ENSMUSG00000026459/ENSMUSG00000026697/ENSMUSG00000027107/ENSMUSG00000027470/ENSMUSG00000027524/ENSMUSG00000028063/ENSMUSG00000028116/ENSMUSG00000028161/ENSMUSG00000028464/ENSMUSG00000029361/ENSMUSG00000029467/ENSMUSG00000029470/ENSMUSG00000029683/ENSMUSG00000029862/ENSMUSG00000030341/ENSMUSG00000030470/ENSMUSG00000030554/ENSMUSG00000030592/ENSMUSG00000030739/ENSMUSG00000031078/ENSMUSG00000031626/ENSMUSG00000031849/ENSMUSG00000032511/ENSMUSG00000039952/ENSMUSG00000040118/ENSMUSG00000040136/ENSMUSG00000040287/ENSMUSG00000040407/ENSMUSG00000040907/ENSMUSG00000041189/ENSMUSG00000042045/ENSMUSG00000045103/ENSMUSG00000046480/ENSMUSG00000046532/ENSMUSG00000047419/ENSMUSG00000048376/ENSMUSG00000048920/ENSMUSG00000051747/ENSMUSG00000052374/ENSMUSG00000053819/ENSMUSG00000054640/ENSMUSG00000054978/ENSMUSG00000055775/ENSMUSG00000056328/ENSMUSG00000057604/ENSMUSG00000061086/ENSMUSG00000064179/ENSMUSG00000068614/ENSMUSG00000087408/ENSMUSG00000090122/ENSMUSG00000091898",82
"GO:0006936","muscle contraction","63/1278","288/15013",0.21875,2.56971341940532,8.20463633690502,1.78028499723212e-12,3.2591084015996e-09,2.77412128866942e-09,"ENSMUSG00000001027/ENSMUSG00000001552/ENSMUSG00000004383/ENSMUSG00000005628/ENSMUSG00000007122/ENSMUSG00000007617/ENSMUSG00000013936/ENSMUSG00000015605/ENSMUSG00000019370/ENSMUSG00000020061/ENSMUSG00000020354/ENSMUSG00000020580/ENSMUSG00000020623/ENSMUSG00000020908/ENSMUSG00000021194/ENSMUSG00000021270/ENSMUSG00000021669/ENSMUSG00000022144/ENSMUSG00000022770/ENSMUSG00000024065/ENSMUSG00000024858/ENSMUSG00000026251/ENSMUSG00000026253/ENSMUSG00000026360/ENSMUSG00000026414/ENSMUSG00000026418/ENSMUSG00000027107/ENSMUSG00000027470/ENSMUSG00000027524/ENSMUSG00000028464/ENSMUSG00000029361/ENSMUSG00000029467/ENSMUSG00000029470/ENSMUSG00000029683/ENSMUSG00000029862/ENSMUSG00000030470/ENSMUSG00000030554/ENSMUSG00000030592/ENSMUSG00000030739/ENSMUSG00000031078/ENSMUSG00000031849/ENSMUSG00000032511/ENSMUSG00000040118/ENSMUSG00000040287/ENSMUSG00000040407/ENSMUSG00000040907/ENSMUSG00000041189/ENSMUSG00000045103/ENSMUSG00000046480/ENSMUSG00000048376/ENSMUSG00000048920/ENSMUSG00000051747/ENSMUSG00000052374/ENSMUSG00000053819/ENSMUSG00000054640/ENSMUSG00000054978/ENSMUSG00000055775/ENSMUSG00000056328/ENSMUSG00000061086/ENSMUSG00000064179/ENSMUSG00000068614/ENSMUSG00000090122/ENSMUSG00000091898",63
"GO:0007517","muscle organ development","69/1278","337/15013",0.204747774480712,2.40522561680668,7.95843237001521,4.17607761357372e-12,5.73375456343672e-09,4.88051596891603e-09,"ENSMUSG00000001911/ENSMUSG00000002603/ENSMUSG00000003949/ENSMUSG00000004383/ENSMUSG00000007122/ENSMUSG00000007613/ENSMUSG00000007617/ENSMUSG00000008658/ENSMUSG00000009214/ENSMUSG00000013936/ENSMUSG00000015846/ENSMUSG00000017817/ENSMUSG00000018845/ENSMUSG00000021710/ENSMUSG00000021816/ENSMUSG00000022105/ENSMUSG00000022346/ENSMUSG00000022587/ENSMUSG00000023092/ENSMUSG00000024803/ENSMUSG00000025172/ENSMUSG00000025216/ENSMUSG00000026095/ENSMUSG00000026141/ENSMUSG00000026251/ENSMUSG00000026414/ENSMUSG00000026418/ENSMUSG00000026459/ENSMUSG00000027077/ENSMUSG00000027107/ENSMUSG00000027470/ENSMUSG00000027763/ENSMUSG00000027852/ENSMUSG00000028063/ENSMUSG00000028116/ENSMUSG00000028161/ENSMUSG00000029563/ENSMUSG00000029675/ENSMUSG00000030201/ENSMUSG00000030470/ENSMUSG00000030592/ENSMUSG00000030739/ENSMUSG00000031987/ENSMUSG00000032060/ENSMUSG00000035799/ENSMUSG00000035923/ENSMUSG00000036006/ENSMUSG00000038119/ENSMUSG00000038872/ENSMUSG00000039239/ENSMUSG00000039377/ENSMUSG00000039952/ENSMUSG00000040287/ENSMUSG00000042485/ENSMUSG00000042686/ENSMUSG00000042903/ENSMUSG00000045103/ENSMUSG00000048920/ENSMUSG00000051367/ENSMUSG00000051747/ENSMUSG00000053436/ENSMUSG00000062929/ENSMUSG00000063659/ENSMUSG00000063856/ENSMUSG00000068614/ENSMUSG00000073002/ENSMUSG00000076441/ENSMUSG00000079471/ENSMUSG00000091898",69
"GO:0042692","muscle cell differentiation","79/1278","444/15013",0.177927927927928,2.09016587009545,7.11278313883615,1.84038619510591e-10,1.71583597760347e-07,1.46050285133151e-07,"ENSMUSG00000001729/ENSMUSG00000002603/ENSMUSG00000004383/ENSMUSG00000005628/ENSMUSG00000007122/ENSMUSG00000007617/ENSMUSG00000009214/ENSMUSG00000011958/ENSMUSG00000013936/ENSMUSG00000015605/ENSMUSG00000015745/ENSMUSG00000015846/ENSMUSG00000020061/ENSMUSG00000020354/ENSMUSG00000020612/ENSMUSG00000020644/ENSMUSG00000020859/ENSMUSG00000020900/ENSMUSG00000021710/ENSMUSG00000021816/ENSMUSG00000022105/ENSMUSG00000022346/ENSMUSG00000025172/ENSMUSG00000026121/ENSMUSG00000026360/ENSMUSG00000026414/ENSMUSG00000026459/ENSMUSG00000026554/ENSMUSG00000026836/ENSMUSG00000027470/ENSMUSG00000027864/ENSMUSG00000028063/ENSMUSG00000028116/ENSMUSG00000028161/ENSMUSG00000028179/ENSMUSG00000028639/ENSMUSG00000029223/ENSMUSG00000029467/ENSMUSG00000029683/ENSMUSG00000030470/ENSMUSG00000030592/ENSMUSG00000031448/ENSMUSG00000031626/ENSMUSG00000031849/ENSMUSG00000035923/ENSMUSG00000036006/ENSMUSG00000036856/ENSMUSG00000037139/ENSMUSG00000037966/ENSMUSG00000038119/ENSMUSG00000038508/ENSMUSG00000040287/ENSMUSG00000041189/ENSMUSG00000041731/ENSMUSG00000042903/ENSMUSG00000044338/ENSMUSG00000045103/ENSMUSG00000048612/ENSMUSG00000048920/ENSMUSG00000049382/ENSMUSG00000049775/ENSMUSG00000051367/ENSMUSG00000051373/ENSMUSG00000051747/ENSMUSG00000052374/ENSMUSG00000053062/ENSMUSG00000053436/ENSMUSG00000053819/ENSMUSG00000054640/ENSMUSG00000062929/ENSMUSG00000063821/ENSMUSG00000063856/ENSMUSG00000064179/ENSMUSG00000067336/ENSMUSG00000068614/ENSMUSG00000068699/ENSMUSG00000068747/ENSMUSG00000079110/ENSMUSG00000079471",79
"GO:0051146","striated muscle cell differentiation","64/1278","327/15013",0.195718654434251,2.29915818389781,7.24526910508907,1.87988676210358e-10,1.71583597760347e-07,1.46050285133151e-07,"ENSMUSG00000001729/ENSMUSG00000002603/ENSMUSG00000004383/ENSMUSG00000005628/ENSMUSG00000007122/ENSMUSG00000007617/ENSMUSG00000009214/ENSMUSG00000011958/ENSMUSG00000013936/ENSMUSG00000015605/ENSMUSG00000015745/ENSMUSG00000015846/ENSMUSG00000020061/ENSMUSG00000020354/ENSMUSG00000020612/ENSMUSG00000020859/ENSMUSG00000020900/ENSMUSG00000021710/ENSMUSG00000021816/ENSMUSG00000022105/ENSMUSG00000022346/ENSMUSG00000025172/ENSMUSG00000026360/ENSMUSG00000026414/ENSMUSG00000026459/ENSMUSG00000026554/ENSMUSG00000026836/ENSMUSG00000027470/ENSMUSG00000027864/ENSMUSG00000028063/ENSMUSG00000028116/ENSMUSG00000028161/ENSMUSG00000028639/ENSMUSG00000029683/ENSMUSG00000030470/ENSMUSG00000030592/ENSMUSG00000031448/ENSMUSG00000031626/ENSMUSG00000035923/ENSMUSG00000036006/ENSMUSG00000037139/ENSMUSG00000038119/ENSMUSG00000038508/ENSMUSG00000040287/ENSMUSG00000041731/ENSMUSG00000045103/ENSMUSG00000048920/ENSMUSG00000049382/ENSMUSG00000051367/ENSMUSG00000051373/ENSMUSG00000051747/ENSMUSG00000052374/ENSMUSG00000053062/ENSMUSG00000053436/ENSMUSG00000053819/ENSMUSG00000054640/ENSMUSG00000062929/ENSMUSG00000063856/ENSMUSG00000064179/ENSMUSG00000068614/ENSMUSG00000068699/ENSMUSG00000068747/ENSMUSG00000079110/ENSMUSG00000079471",64
"GO:0050881","musculoskeletal movement","23/1278","60/15013",0.383333333333333,4.50311684924361,8.29347338414639,2.18697229483326e-10,1.71583597760347e-07,1.46050285133151e-07,"ENSMUSG00000001027/ENSMUSG00000007122/ENSMUSG00000007617/ENSMUSG00000020908/ENSMUSG00000021270/ENSMUSG00000026251/ENSMUSG00000026253/ENSMUSG00000026418/ENSMUSG00000027107/ENSMUSG00000027254/ENSMUSG00000027470/ENSMUSG00000030102/ENSMUSG00000030554/ENSMUSG00000030739/ENSMUSG00000031849/ENSMUSG00000040287/ENSMUSG00000041189/ENSMUSG00000045103/ENSMUSG00000054978/ENSMUSG00000055775/ENSMUSG00000061436/ENSMUSG00000064179/ENSMUSG00000091898",23
"GO:0050879","multicellular organismal movement","23/1278","64/15013",0.359375,4.22167204616588,7.87835629664387,9.83423754439285e-10,6.7512040742257e-07,5.74655907034851e-07,"ENSMUSG00000001027/ENSMUSG00000007122/ENSMUSG00000007617/ENSMUSG00000020908/ENSMUSG00000021270/ENSMUSG00000026251/ENSMUSG00000026253/ENSMUSG00000026418/ENSMUSG00000027107/ENSMUSG00000027254/ENSMUSG00000027470/ENSMUSG00000030102/ENSMUSG00000030554/ENSMUSG00000030739/ENSMUSG00000031849/ENSMUSG00000040287/ENSMUSG00000041189/ENSMUSG00000045103/ENSMUSG00000054978/ENSMUSG00000055775/ENSMUSG00000061436/ENSMUSG00000064179/ENSMUSG00000091898",23
"GO:0003009","skeletal muscle contraction","19/1278","45/15013",0.422222222222222,4.95995479047122,8.11493359463187,1.17015114102559e-09,7.14052229612505e-07,6.07794294420427e-07,"ENSMUSG00000001027/ENSMUSG00000007122/ENSMUSG00000007617/ENSMUSG00000020908/ENSMUSG00000021270/ENSMUSG00000026251/ENSMUSG00000026253/ENSMUSG00000026418/ENSMUSG00000027107/ENSMUSG00000027470/ENSMUSG00000030554/ENSMUSG00000030739/ENSMUSG00000040287/ENSMUSG00000041189/ENSMUSG00000045103/ENSMUSG00000054978/ENSMUSG00000055775/ENSMUSG00000064179/ENSMUSG00000091898",19
"GO:0034762","regulation of transmembrane transport","73/1278","431/15013",0.169373549883991,1.98967535556209,6.35906430639969,8.32153315758095e-09,4.57018601014346e-06,3.89009776345442e-06,"ENSMUSG00000001729/ENSMUSG00000002603/ENSMUSG00000003873/ENSMUSG00000004035/ENSMUSG00000006519/ENSMUSG00000007122/ENSMUSG00000007617/ENSMUSG00000014776/ENSMUSG00000015202/ENSMUSG00000015839/ENSMUSG00000017817/ENSMUSG00000019370/ENSMUSG00000019933/ENSMUSG00000021816/ENSMUSG00000022346/ENSMUSG00000022770/ENSMUSG00000023092/ENSMUSG00000023259/ENSMUSG00000024065/ENSMUSG00000024143/ENSMUSG00000024858/ENSMUSG00000025006/ENSMUSG00000026360/ENSMUSG00000026817/ENSMUSG00000026880/ENSMUSG00000027524/ENSMUSG00000027533/ENSMUSG00000027827/ENSMUSG00000028161/ENSMUSG00000028207/ENSMUSG00000028584/ENSMUSG00000028970/ENSMUSG00000029361/ENSMUSG00000029470/ENSMUSG00000031778/ENSMUSG00000031880/ENSMUSG00000032511/ENSMUSG00000033685/ENSMUSG00000033953/ENSMUSG00000034593/ENSMUSG00000035199/ENSMUSG00000035242/ENSMUSG00000036737/ENSMUSG00000038178/ENSMUSG00000038642/ENSMUSG00000038894/ENSMUSG00000039239/ENSMUSG00000040010/ENSMUSG00000040118/ENSMUSG00000040152/ENSMUSG00000040164/ENSMUSG00000040287/ENSMUSG00000040407/ENSMUSG00000041977/ENSMUSG00000042045/ENSMUSG00000042529/ENSMUSG00000044338/ENSMUSG00000045103/ENSMUSG00000045246/ENSMUSG00000046480/ENSMUSG00000048376/ENSMUSG00000050947/ENSMUSG00000052374/ENSMUSG00000053436/ENSMUSG00000053819/ENSMUSG00000054640/ENSMUSG00000055980/ENSMUSG00000060681/ENSMUSG00000069601/ENSMUSG00000079110/ENSMUSG00000087408/ENSMUSG00000090122/ENSMUSG00000096146",73
