"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1902903","regulation of supramolecular fiber organization","31/459","380/15013",0.0815789473684211,2.66828918701984,5.84966347495516,7.00018598987005e-07,0.0030114800128421,0.00276691562020653,"ENSMUSG00000007613/ENSMUSG00000020476/ENSMUSG00000020580/ENSMUSG00000021262/ENSMUSG00000022211/ENSMUSG00000022770/ENSMUSG00000022831/ENSMUSG00000022892/ENSMUSG00000026341/ENSMUSG00000027254/ENSMUSG00000028059/ENSMUSG00000028832/ENSMUSG00000030357/ENSMUSG00000031078/ENSMUSG00000031511/ENSMUSG00000031827/ENSMUSG00000032060/ENSMUSG00000033444/ENSMUSG00000036533/ENSMUSG00000036856/ENSMUSG00000038170/ENSMUSG00000040407/ENSMUSG00000040852/ENSMUSG00000049775/ENSMUSG00000052727/ENSMUSG00000056201/ENSMUSG00000062352/ENSMUSG00000062929/ENSMUSG00000063765/ENSMUSG00000067851/ENSMUSG00000079523",31
"GO:0043254","regulation of protein-containing complex assembly","32/459","425/15013",0.0752941176470588,2.46272459310522,5.4324230889609,2.63117351356002e-06,0.0056596542276676,0.00520002975969361,"ENSMUSG00000000441/ENSMUSG00000002603/ENSMUSG00000003873/ENSMUSG00000006024/ENSMUSG00000014846/ENSMUSG00000020476/ENSMUSG00000021262/ENSMUSG00000021832/ENSMUSG00000022770/ENSMUSG00000022831/ENSMUSG00000026341/ENSMUSG00000028059/ENSMUSG00000028266/ENSMUSG00000028832/ENSMUSG00000030357/ENSMUSG00000031078/ENSMUSG00000031511/ENSMUSG00000031827/ENSMUSG00000032060/ENSMUSG00000032508/ENSMUSG00000034075/ENSMUSG00000035692/ENSMUSG00000036533/ENSMUSG00000038170/ENSMUSG00000040407/ENSMUSG00000043613/ENSMUSG00000049775/ENSMUSG00000052727/ENSMUSG00000056201/ENSMUSG00000059552/ENSMUSG00000067851/ENSMUSG00000079523",32
"GO:0030225","macrophage differentiation","10/459","58/15013",0.172413793103448,5.6393208624446,6.28651032915219,9.05609631196768e-06,0.0124772437187847,0.0114639580523225,"ENSMUSG00000001911/ENSMUSG00000002603/ENSMUSG00000004383/ENSMUSG00000020644/ENSMUSG00000022831/ENSMUSG00000022892/ENSMUSG00000025759/ENSMUSG00000032508/ENSMUSG00000034274/ENSMUSG00000036896",10
"GO:0032271","regulation of protein polymerization","19/459","199/15013",0.0954773869346734,3.12288019618791,5.35365386670529,1.16013423698603e-05,0.0124772437187847,0.0114639580523225,"ENSMUSG00000014846/ENSMUSG00000020476/ENSMUSG00000021262/ENSMUSG00000022770/ENSMUSG00000022831/ENSMUSG00000026341/ENSMUSG00000028832/ENSMUSG00000030357/ENSMUSG00000031078/ENSMUSG00000031511/ENSMUSG00000031827/ENSMUSG00000036533/ENSMUSG00000038170/ENSMUSG00000040407/ENSMUSG00000049775/ENSMUSG00000052727/ENSMUSG00000056201/ENSMUSG00000067851/ENSMUSG00000079523",19
"GO:0016049","cell growth","32/459","479/15013",0.0668058455114822,2.18508967029168,4.68123913199635,3.00781388938878e-05,0.0258792307043011,0.0237775603255892,"ENSMUSG00000001911/ENSMUSG00000002603/ENSMUSG00000006134/ENSMUSG00000006519/ENSMUSG00000007613/ENSMUSG00000018507/ENSMUSG00000018736/ENSMUSG00000020476/ENSMUSG00000020859/ENSMUSG00000022892/ENSMUSG00000025213/ENSMUSG00000025272/ENSMUSG00000025969/ENSMUSG00000026341/ENSMUSG00000027663/ENSMUSG00000029161/ENSMUSG00000031078/ENSMUSG00000031626/ENSMUSG00000031760/ENSMUSG00000031880/ENSMUSG00000032060/ENSMUSG00000032388/ENSMUSG00000032478/ENSMUSG00000032547/ENSMUSG00000036256/ENSMUSG00000052727/ENSMUSG00000053819/ENSMUSG00000056201/ENSMUSG00000059552/ENSMUSG00000064145/ENSMUSG00000067336/ENSMUSG00000074063",32
"GO:0060411","cardiac septum morphogenesis","10/459","68/15013",0.147058823529412,4.81000897090863,5.59199700664105,3.84097965820281e-05,0.0275398241493141,0.0253032958185115,"ENSMUSG00000007613/ENSMUSG00000020644/ENSMUSG00000025969/ENSMUSG00000028195/ENSMUSG00000030201/ENSMUSG00000031987/ENSMUSG00000052516/ENSMUSG00000057406/ENSMUSG00000059552/ENSMUSG00000067336",10
"GO:0110053","regulation of actin filament organization","21/459","264/15013",0.0795454545454545,2.60177757971876,4.6629130960204,6.40047571869472e-05,0.0380072016727193,0.0349206103112533,"ENSMUSG00000007613/ENSMUSG00000020476/ENSMUSG00000020580/ENSMUSG00000021262/ENSMUSG00000022211/ENSMUSG00000022770/ENSMUSG00000022831/ENSMUSG00000026341/ENSMUSG00000028832/ENSMUSG00000031078/ENSMUSG00000031827/ENSMUSG00000033444/ENSMUSG00000036533/ENSMUSG00000036856/ENSMUSG00000040852/ENSMUSG00000049775/ENSMUSG00000056201/ENSMUSG00000062352/ENSMUSG00000062929/ENSMUSG00000067851/ENSMUSG00000079523",21
"GO:0007015","actin filament organization","29/459","434/15013",0.0668202764976959,2.18556167986908,4.45081543602396,7.06781992984087e-05,0.0380072016727193,0.0349206103112533,"ENSMUSG00000007613/ENSMUSG00000017615/ENSMUSG00000020476/ENSMUSG00000020580/ENSMUSG00000021262/ENSMUSG00000022211/ENSMUSG00000022770/ENSMUSG00000022831/ENSMUSG00000024533/ENSMUSG00000025401/ENSMUSG00000026341/ENSMUSG00000028059/ENSMUSG00000028832/ENSMUSG00000029621/ENSMUSG00000030838/ENSMUSG00000031078/ENSMUSG00000031827/ENSMUSG00000033444/ENSMUSG00000036533/ENSMUSG00000036856/ENSMUSG00000040852/ENSMUSG00000049775/ENSMUSG00000051747/ENSMUSG00000056201/ENSMUSG00000062352/ENSMUSG00000062929/ENSMUSG00000067851/ENSMUSG00000068614/ENSMUSG00000079523",29
"GO:0007264","small GTPase-mediated signal transduction","28/459","417/15013",0.0671462829736211,2.19622471957075,4.39944920902689,8.65275076052448e-05,0.0382103718517409,0.0351072808983061,"ENSMUSG00000001911/ENSMUSG00000006134/ENSMUSG00000017615/ENSMUSG00000018008/ENSMUSG00000019478/ENSMUSG00000020476/ENSMUSG00000020580/ENSMUSG00000021215/ENSMUSG00000025035/ENSMUSG00000025340/ENSMUSG00000027715/ENSMUSG00000028057/ENSMUSG00000028059/ENSMUSG00000028832/ENSMUSG00000030824/ENSMUSG00000031511/ENSMUSG00000034801/ENSMUSG00000035133/ENSMUSG00000035392/ENSMUSG00000036533/ENSMUSG00000038807/ENSMUSG00000039662/ENSMUSG00000041977/ENSMUSG00000042700/ENSMUSG00000053819/ENSMUSG00000059552/ENSMUSG00000067629/ENSMUSG00000067851",28
"GO:0008064","regulation of actin polymerization or depolymerization","15/459","157/15013",0.0955414012738854,3.12497398109987,4.75320924280357,9.50110872462748e-05,0.0382103718517409,0.0351072808983061,"ENSMUSG00000020476/ENSMUSG00000021262/ENSMUSG00000022770/ENSMUSG00000022831/ENSMUSG00000026341/ENSMUSG00000031078/ENSMUSG00000031827/ENSMUSG00000033444/ENSMUSG00000036533/ENSMUSG00000040852/ENSMUSG00000049775/ENSMUSG00000056201/ENSMUSG00000062929/ENSMUSG00000067851/ENSMUSG00000079523",15
