"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS",0.330112721417069,0.671081566024499,0.0899860794997137,0.538811760895137,1.13003226811289,17,"Idh1;Got2;Ogdhl;Dlst;Phyh;Kyat3;Col6a1;Got1"
"GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION",0.658402203856749,0.838222222222222,0.0815265143256594,-0.317333741687506,-0.853926471036856,22,"Pum2;Zc3h12c;Cpeb3;Plekhn1;Upf1;Tardbp"
"GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION",0.276881720430108,0.651731336089431,0.135002033828631,-0.409323653579524,-1.11335467983781,23,"Mapk14;Mettl16;Rbm38;Elavl1;Mapkapk2;Tent4b;Ybx3;Larp4b;Tirap;Dazl;Tardbp;Angel2"
"GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS",0.214285714285714,0.621566770108747,0.115734447701689,0.571402621973466,1.25740734780459,23,"Pdk4;Acss1;Pdk3;Dlat;Pdha1;Tpk1;Pdhb;Pgk1;Ppcs;Pdhx;Acly;Acat1;Acss2"
"GOBP_ACETYL_COA_METABOLIC_PROCESS",0.113342898134864,0.541601135320144,0.156312403073186,0.59756132404798,1.43228293863734,39,"Fasn;Pdk4;Nudt7;Acss1;Nudt8;Pdk3;Dlat;Pdha1;Dlst;Tpk1;Pdhb;Nme1;Acaca;Pgk1;Ppcs;Pdhx;Acly;Acacb;Acat1;Hmgcs2;Acss2"
"GOBP_ACIDIC_AMINO_ACID_TRANSPORT",0.186842105263158,0.596755648647444,0.112378519110475,0.50045341256538,1.28499942016053,65,"Ucp2;Abcc8;Lrrc8b;Slc7a11;Arl6ip5;Abat;Septin2;Slc12a2;Itgb1;Slc25a22"
"GOBP_ACID_SECRETION",0.4,0.701115241635688,0.0787113806986485,0.470324141876051,1.03497780567115,23,"Sgk1;Abat;Cldn2;Cacnb4;Slc9a4;Hip1r;Snx10"
"GOBP_ACROSOME_ASSEMBLY",0.43343653250774,0.725294545454545,0.0732558655828455,0.452916101741507,1.01233543409456,26,"Nectin2;Pln;Ccdc136;Tbpl1;Knl1;Tbc1d20"
"GOBP_ACROSOME_REACTION",0.00915868063147698,0.208111706879103,0.380730400722792,0.747265770384606,1.65305248357319,24,"Prnd;Abhd2"
"GOBP_ACTIN_FILAMENT_BASED_MOVEMENT",0.0295508274231678,0.343986090240678,0.287857117255149,0.527187752405826,1.45826449784308,131,"Scn5a;Myh3;Tnnt2;Myh8;Myo1a;Tnnc1;Actc1;Myo5a;Myh14;Atp2a2;Scn3b;Myh10;Jup;Pln;Casq2;Myh2;Stc1;Camk2d;Myh7;Adrb2;Slc9a1;Myh6;Myh9"
"GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION",0.278481012658228,0.651731336089431,0.0808589150280032,0.400380333628758,1.1270893019945,163,"Aif1l;Rhoc;Cx3cl1;Fscn1;Evl;Sorbs1;Cfl1;Kctd13;Spire1;Gpr65;Tgfbr1;Eln;Fam107a;Lcp1;Shroom2;Alms1;Amot;Mtor;Coro1b;Rflnb;Slc9a1;Zyx;Sdc4;Diaph3;Ccn2;Ilk;Itgb1;Pdlim1;Rhod"
"GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION",0.576158940397351,0.799682177123574,0.0520570030732099,0.353681312307083,0.895713988701601,57,"Lmod2;Actn2;Plekhh2;Cfl1"
