"Gene","Symbol","LFC_Age","LFC_Combined","LFC_DR","LFC_sAct","Restoration_DR","Restoration_sAct","Restoration_Combined","Intervention_DR_Effect","Intervention_sAct_Effect","Intervention_Combined_Effect"
"ENSMUSG00000000290","Itgb2",0.536663056226657,-0.131364374710811,-0.238303721413586,0.00134252664317341,0.444047188731656,0,0.244779984734649,"Rescue","Worsening","Rescue"
"ENSMUSG00000001248","Gramd1a",0.496090362989336,-0.496229470899657,-0.44410523483971,0.000367735227554496,0.895210364828749,0,1.00028040841084,"Rescue","Worsening","Rescue"
"ENSMUSG00000001552","Jup",0.466840002985574,-0.472392428707177,-0.235565015012422,0.000208551847203478,0.50459475089092,0,1.01189363740488,"Rescue","Worsening","Rescue"
"ENSMUSG00000001604","Tcea3",-0.556069714979618,0.131028850939086,0.197727569590084,-0.000518422252795563,0.355580540107874,0,0.235633855628855,"Rescue","Worsening","Rescue"
"ENSMUSG00000001911","Nfix",-0.341193241742959,0.0231755820991067,0.202659294422865,-3.51239741486754e-05,0.593972182413685,0,0.0679250913081281,"Rescue","Worsening","Rescue"
"ENSMUSG00000002076","Hsf2bp",0.648123434659896,-0.170941327782768,-0.161532290688539,0.00378485014634171,0.249230751505388,0,0.263748105131347,"Rescue","Worsening","Rescue"
"ENSMUSG00000002603","Tgfb1",1.36777492718063,-1.30383849400274,-1.38903865654329,0.000151673857842031,1.01554621958636,0,0.953255150458356,"Rescue","Worsening","Rescue"
"ENSMUSG00000003154","Foxj2",-0.351546035723594,0.148882843554827,0.0908842295220132,-1.42859107281543e-05,0.258527249027128,0,0.423508810868479,"Rescue","Worsening","Rescue"
"ENSMUSG00000003500","Impdh1",0.456040169455967,-0.26423479383853,-0.0291995091261792,0.000466306482267236,0.0640283709240192,0,0.579411226326288,"Rescue","Worsening","Rescue"
"ENSMUSG00000003762","Coq8b",0.559979591322223,-0.161039195374837,-0.035184193609735,0.000185263096914019,0.062831206984987,0,0.287580472342915,"Rescue","Worsening","Rescue"
"ENSMUSG00000004071","Cdip1",-0.376241946008803,0.130858449940388,0.208301094802366,-0.000372216062901027,0.553636023340928,0,0.347803989769196,"Rescue","Worsening","Rescue"
"ENSMUSG00000004455","Ppp1cc",-0.391227984497529,0.227253627250482,0.333987299237686,-0.000180147686144936,0.853689696218026,0,0.580872627356537,"Rescue","Worsening","Rescue"
"ENSMUSG00000005142","Man2b1",0.396922760460932,-0.255898063843246,-0.37827396464945,0.000113276070331803,0.953016562240406,0,0.644704938427014,"Rescue","Worsening","Rescue"
"ENSMUSG00000005233","Spc25",1.51682057697215,-0.654703102606611,-0.519841098885659,0.00162837209634305,0.342717594142452,0,0.431628573969849,"Rescue","Worsening","Rescue"
"ENSMUSG00000006398","Cdc20",0.884129570241313,-0.599013349901513,-0.414356520058026,0.00329142062542714,0.468660402281231,0,0.677517606088007,"Rescue","Worsening","Rescue"
"ENSMUSG00000006519","Cyba",0.446497628050133,-0.443513135349692,-0.428212965111489,0.000159931789081597,0.959048689645916,0,0.99331577031333,"Rescue","Worsening","Rescue"
"ENSMUSG00000006585","Cdt1",0.603248527423449,-0.170806938836294,-0.12967152230321,0.000592307664165401,0.214955389708208,0,0.283145223024136,"Rescue","Worsening","Rescue"
"ENSMUSG00000007415","Gatad1",-0.27966592376886,0.0387506523110191,0.0902551920844814,-0.000849072919715211,0.32272502444408,0,0.138560507439748,"Rescue","Worsening","Rescue"
"ENSMUSG00000007850","Hnrnph1",-0.532381911912745,0.202164658997416,0.135933494272329,-5.2381325503759e-05,0.255330790229042,0,0.379736152701127,"Rescue","Worsening","Rescue"
