"Gene","Symbol","LFC_Age","LFC_Combined","LFC_DR","LFC_sAct","Restoration_DR","Restoration_sAct","Restoration_Combined","Intervention_DR_Effect","Intervention_sAct_Effect","Intervention_Combined_Effect"
"ENSMUSG00000007613","Tgfbr1",0.375678423073929,-0.00603547785759941,0.103160798758008,0.00020988437050035,0,0,0.0160655429934332,"Worsening","Worsening","Rescue"
"ENSMUSG00000007656","Arpp19",0.397445353006388,-0.0120190351524907,0.0439572099812143,0.000427886141144911,0,0,0.030240723816684,"Worsening","Worsening","Rescue"
"ENSMUSG00000020149","Rab1a",-0.242172761487919,0.041409649716834,-0.0590871167563224,-7.37615529482909e-05,0,0,0.170992185340794,"Worsening","Worsening","Rescue"
"ENSMUSG00000025340","Rabgef1",-0.424403243262381,0.0221961009380129,-0.00442547294678484,-0.000285930672742401,0,0,0.0522995554119517,"Worsening","Worsening","Rescue"
"ENSMUSG00000028207","Asph",-0.355463764643838,0.00675271746889718,-0.288825866332497,-0.000399906267232904,0,0,0.018996922163538,"Worsening","Worsening","Rescue"
"ENSMUSG00000030057","Cnbp",-0.293918917925346,0.00836606384039246,-0.0434294153036592,-6.83789169257173e-05,0,0,0.028463849484222,"Worsening","Worsening","Rescue"
"ENSMUSG00000032504","Pdcd6ip",0.300149500604009,-0.0411029546143667,0.0632088445697212,6.50369781589854e-05,0,0,0.136941605871916,"Worsening","Worsening","Rescue"
"ENSMUSG00000034274","Thoc5",0.346841917438002,-0.183431726061651,0.035666217586714,0.000117936264461678,0,0,0.528862622535925,"Worsening","Worsening","Rescue"
"ENSMUSG00000034801","Sos2",-0.445115235341647,0.020710440691915,-0.0334151698794097,-0.000528430767961812,0,0,0.0465282673957875,"Worsening","Worsening","Rescue"
"ENSMUSG00000041736","Tspo",0.475392207457476,-0.0951299483119649,0.00376967491108026,0.000181804996067818,0,0,0.200108345950274,"Worsening","Worsening","Rescue"
"ENSMUSG00000050503","Fbxl22",0.636046625973133,-0.451958830235619,0.0808272037967332,0.0740575285769612,0,0,0.710574998403829,"Worsening","Worsening","Rescue"
"ENSMUSG00000067851","Arfgef1",-0.478948436208584,0.0999117715127205,-0.000442563494176754,-7.76932744537388e-05,0,0,0.208606530389022,"Worsening","Worsening","Rescue"
"ENSMUSG00000074466","Gm15417",-0.344831213036225,0.197489069356542,-0.0680834378874347,-0.000452958503183805,0,0,0.572712277457887,"Worsening","Worsening","Rescue"
"ENSMUSG00000078901","Zfp1009",-0.349474335573334,0.0750589377824504,-0.426606963831032,-0.000645312661849771,0,0,0.214776680694769,"Worsening","Worsening","Rescue"
