"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.34132533585394,0.675,0.044,0,"Myonuclei (neuromuscular junction nuclei)","Ablim2"
0,3.64219264405206,0.665,0.047,0,"Myonuclei (neuromuscular junction nuclei)","Col19a1"
0,3.88791138097157,0.66,0.046,0,"Myonuclei (neuromuscular junction nuclei)","Prkar1a"
0,4.98034163862544,0.596,0.028,0,"Myonuclei (neuromuscular junction nuclei)","Ripor2"
0,5.73560082718487,0.502,0.013,0,"Myonuclei (neuromuscular junction nuclei)","Pla2g7"
2.79471266377563e-301,3.83267068767271,0.68,0.058,1.01559858201606e-297,"Myonuclei (neuromuscular junction nuclei)","Ncam1"
5.5966686871292e-300,4.15454988626075,0.69,0.061,2.03382940090275e-296,"Myonuclei (neuromuscular junction nuclei)","Gramd1b"
1.1820490577668e-269,4.08077929558648,0.69,0.065,4.29556627592455e-266,"Myonuclei (neuromuscular junction nuclei)","Musk"
4.84268653291521e-265,3.54974926914143,0.527,0.038,1.75983228606139e-261,"Myonuclei (neuromuscular junction nuclei)","Pgm5"
9.95313681834858e-263,3.12916530823788,0.581,0.045,3.61696991978787e-259,"Myonuclei (neuromuscular junction nuclei)","Actn2"
1.70348564311538e-262,3.27050204913461,0.468,0.03,6.19046682708131e-259,"Myonuclei (neuromuscular junction nuclei)","Palmd"
1.00827982191994e-227,3.31099781277515,0.458,0.028,3.66408887285705e-224,"Myonuclei (neuromuscular junction nuclei)","Ttn"
2.01504414974439e-156,2.40839469259388,0.621,0.086,7.32267044017111e-153,"Myonuclei (neuromuscular junction nuclei)","Kcnq5"
2.361397453031e-137,0.360408546484199,0.335,0.028,8.58131834431467e-134,"Myonuclei (neuromuscular junction nuclei)","D430041D05Rik"
5.65357363470161e-120,3.23241683355258,0.463,0.064,2.05450865885057e-116,"Myonuclei (neuromuscular junction nuclei)","Sipa1l1"
4.34088443143022e-110,1.72895313875293,0.606,0.119,1.57747740238174e-106,"Myonuclei (neuromuscular junction nuclei)","Slc8a1"
1.56667734295051e-106,2.45942017950826,0.458,0.062,5.69330546428214e-103,"Myonuclei (neuromuscular junction nuclei)","Trp63"
6.43405780580253e-105,1.97695482327391,0.567,0.105,2.33813660662864e-101,"Myonuclei (neuromuscular junction nuclei)","Atp13a3"
4.84355868139933e-104,2.00950983734151,0.586,0.111,1.76014922482052e-100,"Myonuclei (neuromuscular junction nuclei)","Sorbs1"
1.52469392147827e-102,2.77892100218521,0.576,0.118,5.54073771065204e-99,"Myonuclei (neuromuscular junction nuclei)","Oxr1"
1.93895280227667e-101,2.76529327037031,0.315,0.034,7.04615448347342e-98,"Myonuclei (neuromuscular junction nuclei)","Ccn1"
1.00551834662993e-96,2.50494837641956,0.399,0.056,3.65405367165318e-93,"Myonuclei (neuromuscular junction nuclei)","Lpin2"
5.17475179992423e-74,1.76085084647217,0.438,0.084,1.88050480409246e-70,"Myonuclei (neuromuscular junction nuclei)","Tgfb2"
1.31065804108717e-65,2.83938085145018,0.256,0.031,4.76293132131077e-62,"Myonuclei (neuromuscular junction nuclei)","Hectd2os"
3.63062911461178e-65,2.06968884152524,0.493,0.114,1.31937062024992e-61,"Myonuclei (neuromuscular junction nuclei)","Irs1"
2.61207131440131e-59,1.3720522972361,0.557,0.151,9.49226715653436e-56,"Myonuclei (neuromuscular junction nuclei)","Ptprm"
3.76225270229185e-57,1.96770349815202,0.286,0.046,1.36720263201286e-53,"Myonuclei (neuromuscular junction nuclei)","Arpp21"
6.57223446407427e-56,2.48441186215381,0.591,0.195,2.38835000424459e-52,"Myonuclei (neuromuscular junction nuclei)","App"
1.03155161829207e-48,1.64602318454397,0.562,0.185,3.74865858087337e-45,"Myonuclei (neuromuscular junction nuclei)","Camk2d"
2.54019889643033e-42,4.12350703289547,0.276,0.054,9.23108278962782e-39,"Myonuclei (neuromuscular junction nuclei)","Ehd4"
7.85241898539663e-40,2.07138888465457,0.276,0.055,2.85356905929313e-36,"Myonuclei (neuromuscular junction nuclei)","Tiam2"
2.4985685724156e-39,2.7864144410364,0.202,0.033,9.07979819215827e-36,"Myonuclei (neuromuscular junction nuclei)","Lgmn"
3.49100399078463e-36,3.95485143244627,0.158,0.022,1.26863085025113e-32,"Myonuclei (neuromuscular junction nuclei)","Shroom3"
4.12913661006747e-34,3.77400304483466,0.192,0.01,1.50052824409852e-30,"Myonuclei (neuromuscular junction nuclei)","Gdnf"
1.14761076094504e-28,1.12386322931533,0.389,0.131,4.17041750527428e-25,"Myonuclei (neuromuscular junction nuclei)","Myo5a"
4.56821680662333e-28,0.720135582605628,0.261,0.064,1.66008998752692e-24,"Myonuclei (neuromuscular junction nuclei)","Mybpc1"
4.88953360479985e-28,2.41828477393706,0.3,0.068,1.77685651198426e-24,"Myonuclei (neuromuscular junction nuclei)","Tbxas1"
5.97195105773817e-27,1.74718582335035,0.305,0.087,2.17020701438205e-23,"Myonuclei (neuromuscular junction nuclei)","Gbe1"
8.27854183636368e-23,0.339568284631829,0.296,0.091,3.00842210333456e-19,"Myonuclei (neuromuscular junction nuclei)","Runx1"
1.06819343296644e-21,1.75875200129852,0.217,0.059,3.88181493540004e-18,"Myonuclei (neuromuscular junction nuclei)","Gas6"
2.53520086948724e-21,0.932691616080781,0.236,0.066,9.21291995971664e-18,"Myonuclei (neuromuscular junction nuclei)","Dapk2"
2.09246183669994e-20,1.88160982909443,0.36,0.132,7.6040063145676e-17,"Myonuclei (neuromuscular junction nuclei)","Pitpnc1"
6.3156647902168e-20,2.98969379782349,0.153,0.035,2.29511258476479e-16,"Myonuclei (neuromuscular junction nuclei)","Acss1"
1.7664452528282e-17,0.695733342413545,0.123,0.026,6.41926204877768e-14,"Myonuclei (neuromuscular junction nuclei)","Egln3"
1.78950893233498e-17,2.67100241404468,0.33,0.112,6.50307546010531e-14,"Myonuclei (neuromuscular junction nuclei)","Ntn1"
2.63993599211721e-16,1.07091708926595,0.271,0.101,9.59352739535395e-13,"Myonuclei (neuromuscular junction nuclei)","Tlr4"
4.43608441387728e-16,1.02285613545463,0.128,0.029,1.612073076003e-12,"Myonuclei (neuromuscular junction nuclei)","Ppp1r27"
5.958627502604e-16,1.58522086414409,0.222,0.072,2.16536523444629e-12,"Myonuclei (neuromuscular junction nuclei)","Cep85l"
1.34305697082229e-15,2.6560708471511,0.148,0.039,4.88066903196821e-12,"Myonuclei (neuromuscular junction nuclei)","Irak2"
3.14257866364521e-15,0.854386996092823,0.133,0.033,1.14201308636867e-11,"Myonuclei (neuromuscular junction nuclei)","Pank1"
7.64660588585393e-15,2.9723955806528,0.192,0.056,2.77877657891932e-11,"Myonuclei (neuromuscular junction nuclei)","Eef1a1"
2.37106795662362e-14,1.60867438267177,0.31,0.127,8.61646095437025e-11,"Myonuclei (neuromuscular junction nuclei)","Ar"
6.09536936654936e-12,1.68556039712981,0.148,0.043,2.21505722780404e-08,"Myonuclei (neuromuscular junction nuclei)","Ccdc162"
5.23604331287386e-11,1.1947744823285,0.33,0.156,1.90277813989836e-07,"Myonuclei (neuromuscular junction nuclei)","Smurf2"
1.07347777775009e-09,0.385639704995726,0.128,0.039,3.90101824434384e-06,"Myonuclei (neuromuscular junction nuclei)","Myh1"
1.65605377467288e-09,1.31883795360507,0.31,0.147,6.01809941716125e-06,"Myonuclei (neuromuscular junction nuclei)","Acvr2a"
1.84927467179927e-08,1.03389708737494,0.138,0.051,6.72026415731854e-05,"Myonuclei (neuromuscular junction nuclei)","Cadm1"
2.48970161533453e-08,2.32483054188988,0.202,0.09,9.04757567012567e-05,"Myonuclei (neuromuscular junction nuclei)","Ppp1r2"
2.71898762803752e-08,1.70792350046292,0.172,0.063,9.88080104028835e-05,"Myonuclei (neuromuscular junction nuclei)","Flnc"
5.3431072348301e-08,0.78670059887385,0.153,0.054,0.000194168516913726,"Myonuclei (neuromuscular junction nuclei)","Mfhas1"
1.14429454040834e-07,0.859554910642498,0.177,0.079,0.000415836635984391,"Myonuclei (neuromuscular junction nuclei)","Galnt7"
1.15302051829702e-07,1.03699128178686,0.207,0.095,0.000419007656349137,"Myonuclei (neuromuscular junction nuclei)","Epn2"
1.3027398313952e-07,0.55519533665747,0.182,0.077,0.000473415654729014,"Myonuclei (neuromuscular junction nuclei)","Aldh2"
1.86756495378449e-07,1.26873802888297,0.148,0.061,0.000678673104205284,"Myonuclei (neuromuscular junction nuclei)","Nsd2"
2.75735141001956e-07,1.16027588901044,0.266,0.13,0.00100202150240111,"Myonuclei (neuromuscular junction nuclei)","Col4a2"
3.43337280650108e-07,2.7034185925912,0.118,0.032,0.00124768767788249,"Myonuclei (neuromuscular junction nuclei)","Tspan12"
1.40189074627537e-06,1.10412756874539,0.241,0.078,0.00509447097196471,"Myonuclei (neuromuscular junction nuclei)","Cd93"
3.7499478590729e-06,0.546975305761215,0.123,0.051,0.0136273105198709,"Myonuclei (neuromuscular junction nuclei)","Mss51"
4.67447940777788e-06,0.300541518859321,0.103,0.037,0.0169870581678648,"Myonuclei (neuromuscular junction nuclei)","Cryab"
8.28663536710629e-05,2.24293529117305,0.148,0.076,0.301136329240643,"Myonuclei (neuromuscular junction nuclei)","Crybg3"
0.000111800367659054,0.903635058835718,0.054,0.124,0.406282536073003,"Myonuclei (neuromuscular junction nuclei)","Runx1t1"
