"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,7.79816765406152,0.665,0.007,0,"Myonuclei (neuromuscular junction nuclei)","Chrne"
0,5.0415045466095,0.67,0.016,0,"Myonuclei (neuromuscular junction nuclei)","Hs6st2"
0,3.34132533585394,0.675,0.044,0,"Myonuclei (neuromuscular junction nuclei)","Ablim2"
0,3.64219264405206,0.665,0.047,0,"Myonuclei (neuromuscular junction nuclei)","Col19a1"
0,3.88791138097157,0.66,0.046,0,"Myonuclei (neuromuscular junction nuclei)","Prkar1a"
0,6.16597999941971,0.621,0.011,0,"Myonuclei (neuromuscular junction nuclei)","Col13a1"
0,3.47733165716961,0.621,0.036,0,"Myonuclei (neuromuscular junction nuclei)","Fgf1"
0,4.98034163862544,0.596,0.028,0,"Myonuclei (neuromuscular junction nuclei)","Ripor2"
0,5.95898306814686,0.557,0.009,0,"Myonuclei (neuromuscular junction nuclei)","Lrtm1"
0,5.87119088631449,0.517,0.011,0,"Myonuclei (neuromuscular junction nuclei)","Cacna2d3"
0,5.73560082718487,0.502,0.013,0,"Myonuclei (neuromuscular junction nuclei)","Pla2g7"
0,5.75965761083951,0.488,0.017,0,"Myonuclei (neuromuscular junction nuclei)","Pola2"
5.49533211903767e-307,4.24935109425854,0.473,0.025,1.99700369205829e-303,"Myonuclei (neuromuscular junction nuclei)","Disc1"
2.79471266377563e-301,3.83267068767271,0.68,0.058,1.01559858201606e-297,"Myonuclei (neuromuscular junction nuclei)","Ncam1"
5.5966686871292e-300,4.15454988626075,0.69,0.061,2.03382940090275e-296,"Myonuclei (neuromuscular junction nuclei)","Gramd1b"
3.30946370707575e-298,7.50883468222697,0.576,0.004,1.20265911115133e-294,"Myonuclei (neuromuscular junction nuclei)","Ufsp1"
3.29306988296717e-282,3.4145423453438,0.433,0.024,1.19670159547027e-278,"Myonuclei (neuromuscular junction nuclei)","Sema3a"
9.29134061437046e-280,3.7102659927602,0.596,0.048,3.37647317926222e-276,"Myonuclei (neuromuscular junction nuclei)","Crot"
1.1820490577668e-269,4.08077929558648,0.69,0.065,4.29556627592455e-266,"Myonuclei (neuromuscular junction nuclei)","Musk"
3.59077544115079e-266,7.03432874051984,0.64,0.048,1.3048877953142e-262,"Myonuclei (neuromuscular junction nuclei)","Etv5"
4.84268653291521e-265,3.54974926914143,0.527,0.038,1.75983228606139e-261,"Myonuclei (neuromuscular junction nuclei)","Pgm5"
9.95313681834858e-263,3.12916530823788,0.581,0.045,3.61696991978787e-259,"Myonuclei (neuromuscular junction nuclei)","Actn2"
1.70348564311538e-262,3.27050204913461,0.468,0.03,6.19046682708131e-259,"Myonuclei (neuromuscular junction nuclei)","Palmd"
1.42580186776123e-254,6.74968909572881,0.571,0.01,5.18136398744431e-251,"Myonuclei (neuromuscular junction nuclei)","Ryr3"
1.3451665523852e-246,3.87130794245934,0.64,0.06,4.8883352513678e-243,"Myonuclei (neuromuscular junction nuclei)","Nav2"
3.25546903531363e-236,8.06140180092348,0.576,0.013,1.18303744743297e-232,"Myonuclei (neuromuscular junction nuclei)","Epb41l4a"
6.56518231859064e-232,4.40049593750794,0.537,0.046,2.38578725457584e-228,"Myonuclei (neuromuscular junction nuclei)","Gpc4"
1.00827982191994e-227,3.31099781277515,0.458,0.028,3.66408887285705e-224,"Myonuclei (neuromuscular junction nuclei)","Ttn"
7.5285955291075e-221,3.04453674204695,0.355,0.019,2.73589161527767e-217,"Myonuclei (neuromuscular junction nuclei)","Atp1b1"
9.97946757913008e-221,7.12189326394312,0.616,0.057,3.62653851825587e-217,"Myonuclei (neuromuscular junction nuclei)","Col4a3"
6.25199185872774e-220,3.91625012809843,0.591,0.055,2.27197384146166e-216,"Myonuclei (neuromuscular junction nuclei)","Mrc1"
3.27746230081547e-217,4.35216249204958,0.675,0.081,1.19102980011634e-213,"Myonuclei (neuromuscular junction nuclei)","Akap11"
1.10185483123483e-212,5.11869649855531,0.557,0.046,4.00414045670736e-209,"Myonuclei (neuromuscular junction nuclei)","Galnt18"
5.61854128469725e-211,3.93674115697302,0.399,0.027,2.04177790285898e-207,"Myonuclei (neuromuscular junction nuclei)","Hes1"
2.20183197086703e-210,5.35142889244439,0.36,0.016,8.00145738213079e-207,"Myonuclei (neuromuscular junction nuclei)","Slc16a6"
3.95497666197511e-209,6.1011897184251,0.394,0.011,1.43723851896175e-205,"Myonuclei (neuromuscular junction nuclei)","Irf8"
1.95553516979056e-205,8.01668325170888,0.547,0.01,7.10641480701891e-202,"Myonuclei (neuromuscular junction nuclei)","Rps6ka1"
1.83324637472856e-195,4.13963533240087,0.66,0.085,6.66201732576358e-192,"Myonuclei (neuromuscular junction nuclei)","Crim1"
8.56062081279952e-189,4.94598115832144,0.453,0.032,3.11092960337135e-185,"Myonuclei (neuromuscular junction nuclei)","Lrp5"
8.21872400203714e-175,6.20421445957161,0.655,0.095,2.9866843023403e-171,"Myonuclei (neuromuscular junction nuclei)","Phldb2"
8.41113731914009e-175,9.56770742341079,0.616,0.003,3.05660730177551e-171,"Myonuclei (neuromuscular junction nuclei)","Pdzrn4"
2.81969381424821e-174,3.56004443811218,0.374,0.029,1.0246767320978e-170,"Myonuclei (neuromuscular junction nuclei)","Fam78b"
8.71782287443628e-174,8.8470142974037,0.527,0.007,3.16805683257014e-170,"Myonuclei (neuromuscular junction nuclei)","Ano4"
1.72033550528331e-169,4.31290460457032,0.498,0.018,6.25169922619955e-166,"Myonuclei (neuromuscular junction nuclei)","Gm11149"
2.09812613751908e-167,2.41141087720418,0.305,0.019,7.62459038374434e-164,"Myonuclei (neuromuscular junction nuclei)","Erbb4"
1.08502643999918e-165,1.64720128747809,0.424,0.037,3.94298608295704e-162,"Myonuclei (neuromuscular junction nuclei)","Ckmt2"
1.26835351973174e-165,4.85576858851138,0.64,0.096,4.60919669070515e-162,"Myonuclei (neuromuscular junction nuclei)","Calcrl"
1.60451324674574e-157,4.14012440486984,0.424,0.042,5.83080113867401e-154,"Myonuclei (neuromuscular junction nuclei)","2610203C22Rik"
2.01504414974439e-156,2.40839469259388,0.621,0.086,7.32267044017111e-153,"Myonuclei (neuromuscular junction nuclei)","Kcnq5"
1.16759363543831e-155,4.48152853360507,0.522,0.064,4.24303527118282e-152,"Myonuclei (neuromuscular junction nuclei)","Bcl2l1"
3.52425621403137e-155,3.7086560040186,0.291,0.017,1.280714708179e-151,"Myonuclei (neuromuscular junction nuclei)","Pld5"
6.6376084214085e-154,9.18518957429957,0.64,0.004,2.41210690033985e-150,"Myonuclei (neuromuscular junction nuclei)","Colq"
5.69459345143016e-153,3.32377741802975,0.281,0.013,2.06941526024972e-149,"Myonuclei (neuromuscular junction nuclei)","Gimap6"
9.09486522880265e-153,2.18969437392193,0.424,0.039,3.30507402414688e-149,"Myonuclei (neuromuscular junction nuclei)","Adgrl2"
2.86303235571286e-149,2.24252002131286,0.443,0.046,1.04042595806605e-145,"Myonuclei (neuromuscular junction nuclei)","Tspan7"
5.45585955508097e-147,4.26828517711409,0.64,0.109,1.98265936231642e-143,"Myonuclei (neuromuscular junction nuclei)","Farp1"
2.53245161879195e-144,5.41324859016597,0.621,0.102,9.20292918268996e-141,"Myonuclei (neuromuscular junction nuclei)","Hdac7"
3.11892116057631e-139,2.63003086176566,0.409,0.038,1.13341594975343e-135,"Myonuclei (neuromuscular junction nuclei)","Ampd1"
2.361397453031e-137,0.360408546484199,0.335,0.028,8.58131834431467e-134,"Myonuclei (neuromuscular junction nuclei)","D430041D05Rik"
4.35696577210573e-136,4.61030461417351,0.542,0.078,1.58332136158322e-132,"Myonuclei (neuromuscular junction nuclei)","Cachd1"
5.34905114486432e-136,5.38897617579007,0.601,0.098,1.94384518604369e-132,"Myonuclei (neuromuscular junction nuclei)","Ctdspl"
1.14770374887963e-129,7.19701989123589,0.438,0.007,4.17075542342858e-126,"Myonuclei (neuromuscular junction nuclei)","Cfap54"
1.39178664217352e-127,3.44935849169502,0.665,0.126,5.05775265765856e-124,"Myonuclei (neuromuscular junction nuclei)","Psd3"
1.34222239918891e-123,7.65460174121872,0.458,0.021,4.87763619865249e-120,"Myonuclei (neuromuscular junction nuclei)","Dusp6"
3.46778954858161e-123,1.59337725607775,0.246,0.016,1.26019472195456e-119,"Myonuclei (neuromuscular junction nuclei)","Gadl1"
4.72716793340873e-123,2.24280912770713,0.394,0.044,1.71785282700073e-119,"Myonuclei (neuromuscular junction nuclei)","Itga4"
2.3092546669533e-122,1.62361117532475,0.394,0.04,8.39183145970829e-119,"Myonuclei (neuromuscular junction nuclei)","Nr4a1"
5.65357363470161e-120,3.23241683355258,0.463,0.064,2.05450865885057e-116,"Myonuclei (neuromuscular junction nuclei)","Sipa1l1"
3.70288398867216e-115,2.62808351603881,0.379,0.04,1.34562804148346e-111,"Myonuclei (neuromuscular junction nuclei)","Gm34804"
1.22705996436123e-114,4.39046570299934,0.635,0.139,4.4591359104887e-111,"Myonuclei (neuromuscular junction nuclei)","Vav3"
4.48554683197487e-114,5.95575817512339,0.507,0.064,1.63004771873967e-110,"Myonuclei (neuromuscular junction nuclei)","Rapgef3"
1.22892983313779e-113,3.16763330296787,0.611,0.12,4.46593101362272e-110,"Myonuclei (neuromuscular junction nuclei)","Wwtr1"
2.60253640837046e-113,3.81745315273018,0.611,0.122,9.45761730801825e-110,"Myonuclei (neuromuscular junction nuclei)","Nav3"
4.06127796752309e-113,8.70263905074999,0.512,0.003,1.47586841339789e-109,"Myonuclei (neuromuscular junction nuclei)","Scube2"
2.1302529508479e-110,9.89147572982936,0.498,0.002,7.74133922338127e-107,"Myonuclei (neuromuscular junction nuclei)","Gm13387"
4.34088443143022e-110,1.72895313875293,0.606,0.119,1.57747740238174e-106,"Myonuclei (neuromuscular junction nuclei)","Slc8a1"
1.16859778201021e-108,1.51523408163905,0.236,0.018,4.24668433982511e-105,"Myonuclei (neuromuscular junction nuclei)","2310016D03Rik"
8.20706376990195e-107,7.31851809500792,0.493,0.003,2.98244697398237e-103,"Myonuclei (neuromuscular junction nuclei)","B4galnt3"
1.56667734295051e-106,2.45942017950826,0.458,0.062,5.69330546428214e-103,"Myonuclei (neuromuscular junction nuclei)","Trp63"
3.11593939518384e-106,2.52020228220598,0.626,0.133,1.13233237620981e-102,"Myonuclei (neuromuscular junction nuclei)","Hip1"
7.33238261180489e-106,8.23431414700756,0.379,0.004,2.6645878411299e-102,"Myonuclei (neuromuscular junction nuclei)","Sdk2"
6.43405780580253e-105,1.97695482327391,0.567,0.105,2.33813660662864e-101,"Myonuclei (neuromuscular junction nuclei)","Atp13a3"
4.84355868139933e-104,2.00950983734151,0.586,0.111,1.76014922482052e-100,"Myonuclei (neuromuscular junction nuclei)","Sorbs1"
4.84739305121829e-103,3.14613525281225,0.335,0.012,1.76154263481273e-99,"Myonuclei (neuromuscular junction nuclei)","Map3k7cl"
1.4027287733199e-102,8.2640846819177,0.532,0.002,5.09751636224452e-99,"Myonuclei (neuromuscular junction nuclei)","Gm49293"
1.52469392147827e-102,2.77892100218521,0.576,0.118,5.54073771065204e-99,"Myonuclei (neuromuscular junction nuclei)","Oxr1"
1.93895280227667e-101,2.76529327037031,0.315,0.034,7.04615448347342e-98,"Myonuclei (neuromuscular junction nuclei)","Ccn1"
5.59473427049909e-101,5.76786288737782,0.414,0.007,2.03312643389937e-97,"Myonuclei (neuromuscular junction nuclei)","Nes"
1.09970240228505e-100,9.00661328612214,0.433,0.007,3.99631852990388e-97,"Myonuclei (neuromuscular junction nuclei)","Etv4"
1.00551834662993e-96,2.50494837641956,0.399,0.056,3.65405367165318e-93,"Myonuclei (neuromuscular junction nuclei)","Lpin2"
5.59017016387356e-96,3.00095225352764,0.645,0.159,2.03146783755165e-92,"Myonuclei (neuromuscular junction nuclei)","Plcb4"
2.08276032670693e-95,1.78194460805679,0.468,0.078,7.568751027253e-92,"Myonuclei (neuromuscular junction nuclei)","Dennd5b"
5.70448008844064e-95,1.5046082103108,0.286,0.027,2.07300806413933e-91,"Myonuclei (neuromuscular junction nuclei)","Slc4a10"
1.16857447289601e-94,2.31620148645851,0.606,0.133,4.24659963450409e-91,"Myonuclei (neuromuscular junction nuclei)","Syne1"
3.60058648559558e-94,3.02383374894895,0.276,0.028,1.30845312886544e-90,"Myonuclei (neuromuscular junction nuclei)","Ankrd6"
2.36430334655241e-92,2.37321381553519,0.33,0.04,8.59187836137147e-89,"Myonuclei (neuromuscular junction nuclei)","Afap1l1"
2.81221832577307e-92,2.78727446723731,0.685,0.186,1.02196013958593e-88,"Myonuclei (neuromuscular junction nuclei)","Ptprg"
1.30616019290805e-91,2.56287139051711,0.645,0.161,4.74658614102786e-88,"Myonuclei (neuromuscular junction nuclei)","Plcl1"
1.72108658196436e-91,9.74782138773119,0.458,0.001,6.25442863885847e-88,"Myonuclei (neuromuscular junction nuclei)","Tafa4"
9.15435174413968e-88,3.13098050275182,0.305,0.036,3.32669142382036e-84,"Myonuclei (neuromuscular junction nuclei)","Slc27a1"
1.09524175540513e-87,4.13162132778266,0.685,0.22,3.98010853914225e-84,"Myonuclei (neuromuscular junction nuclei)","Utrn"
1.56371133840897e-87,3.03316159534247,0.695,0.216,5.68252700377819e-84,"Myonuclei (neuromuscular junction nuclei)","Lama2"
8.14741525025203e-87,2.77553571809052,0.64,0.166,2.96077070194159e-83,"Myonuclei (neuromuscular junction nuclei)","Atp2b1"
1.61717865740976e-83,9.22907289139013,0.414,0.001,5.87682724102707e-80,"Myonuclei (neuromuscular junction nuclei)","Lrfn5"
2.08409792395227e-80,2.46058603280629,0.635,0.175,7.57361185564256e-77,"Myonuclei (neuromuscular junction nuclei)","Plpp3"
5.75172157671069e-78,1.86911521227971,0.315,0.04,2.09017562097666e-74,"Myonuclei (neuromuscular junction nuclei)","Xirp2"
5.17475179992423e-74,1.76085084647217,0.438,0.084,1.88050480409246e-70,"Myonuclei (neuromuscular junction nuclei)","Tgfb2"
8.93852017640059e-72,9.57140095192963,0.389,0.013,3.24825823210398e-68,"Myonuclei (neuromuscular junction nuclei)","Nkd2"
1.80294250836427e-68,1.67233522983651,0.581,0.148,6.55189307539575e-65,"Myonuclei (neuromuscular junction nuclei)","Slco3a1"
2.16748158237521e-68,1.5649985860207,0.409,0.075,7.87662807035152e-65,"Myonuclei (neuromuscular junction nuclei)","Myo10"
7.69057306062812e-68,3.71225478791768,0.236,0.027,2.79475425023226e-64,"Myonuclei (neuromuscular junction nuclei)","Adcy6"
1.45266308419742e-67,2.03442139628086,0.241,0.029,5.27897764797344e-64,"Myonuclei (neuromuscular junction nuclei)","Gprc5b"
8.70178198681269e-66,2.6990128499644,0.483,0.116,3.16222757400773e-62,"Myonuclei (neuromuscular junction nuclei)","Wwc2"
1.31065804108717e-65,2.83938085145018,0.256,0.031,4.76293132131077e-62,"Myonuclei (neuromuscular junction nuclei)","Hectd2os"
3.63062911461178e-65,2.06968884152524,0.493,0.114,1.31937062024992e-61,"Myonuclei (neuromuscular junction nuclei)","Irs1"
1.58260504087426e-63,0.556522058979242,0.365,0.067,5.75118671853707e-60,"Myonuclei (neuromuscular junction nuclei)","Adipor2"
6.29118068574094e-63,0.646424668713822,0.158,0.014,2.28621506119826e-59,"Myonuclei (neuromuscular junction nuclei)","Gm7854"
1.38065262989751e-62,7.99880394319115,0.36,0.001,5.01729165704755e-59,"Myonuclei (neuromuscular junction nuclei)","Gm32067"
2.05195269815257e-62,2.4196580024227,0.537,0.141,7.45679610508643e-59,"Myonuclei (neuromuscular junction nuclei)","B3galt1"
2.08219835403435e-62,11.7945606067296,0.365,0.001,7.56670881856082e-59,"Myonuclei (neuromuscular junction nuclei)","Crym"
2.3903624735096e-61,1.77160023096626,0.596,0.182,8.68657722873388e-58,"Myonuclei (neuromuscular junction nuclei)","Maml3"
