"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.34132533585394,0.675,0.044,0,"Myonuclei (neuromuscular junction nuclei)","Ablim2"
4.84268653291521e-265,3.54974926914143,0.527,0.038,1.75983228606139e-261,"Myonuclei (neuromuscular junction nuclei)","Pgm5"
1.00827982191994e-227,3.31099781277515,0.458,0.028,3.66408887285705e-224,"Myonuclei (neuromuscular junction nuclei)","Ttn"
2.01504414974439e-156,2.40839469259388,0.621,0.086,7.32267044017111e-153,"Myonuclei (neuromuscular junction nuclei)","Kcnq5"
5.65357363470161e-120,3.23241683355258,0.463,0.064,2.05450865885057e-116,"Myonuclei (neuromuscular junction nuclei)","Sipa1l1"
6.43405780580253e-105,1.97695482327391,0.567,0.105,2.33813660662864e-101,"Myonuclei (neuromuscular junction nuclei)","Atp13a3"
1.52469392147827e-102,2.77892100218521,0.576,0.118,5.54073771065204e-99,"Myonuclei (neuromuscular junction nuclei)","Oxr1"
1.93895280227667e-101,2.76529327037031,0.315,0.034,7.04615448347342e-98,"Myonuclei (neuromuscular junction nuclei)","Ccn1"
2.61207131440131e-59,1.3720522972361,0.557,0.151,9.49226715653436e-56,"Myonuclei (neuromuscular junction nuclei)","Ptprm"
6.57223446407427e-56,2.48441186215381,0.591,0.195,2.38835000424459e-52,"Myonuclei (neuromuscular junction nuclei)","App"
1.03155161829207e-48,1.64602318454397,0.562,0.185,3.74865858087337e-45,"Myonuclei (neuromuscular junction nuclei)","Camk2d"
2.4985685724156e-39,2.7864144410364,0.202,0.033,9.07979819215827e-36,"Myonuclei (neuromuscular junction nuclei)","Lgmn"
4.88953360479985e-28,2.41828477393706,0.3,0.068,1.77685651198426e-24,"Myonuclei (neuromuscular junction nuclei)","Tbxas1"
2.53520086948724e-21,0.932691616080781,0.236,0.066,9.21291995971664e-18,"Myonuclei (neuromuscular junction nuclei)","Dapk2"
7.64660588585393e-15,2.9723955806528,0.192,0.056,2.77877657891932e-11,"Myonuclei (neuromuscular junction nuclei)","Eef1a1"
2.48970161533453e-08,2.32483054188988,0.202,0.09,9.04757567012567e-05,"Myonuclei (neuromuscular junction nuclei)","Ppp1r2"
1.86756495378449e-07,1.26873802888297,0.148,0.061,0.000678673104205284,"Myonuclei (neuromuscular junction nuclei)","Nsd2"
4.67447940777788e-06,0.300541518859321,0.103,0.037,0.0169870581678648,"Myonuclei (neuromuscular junction nuclei)","Cryab"
