"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Macrophages","FAPs","Pros1","Axl",0.0116257199754075,0,"PROS1_AXL","Pros1  - Axl","PROS","Secreted Signaling","PMID: 29531161"
"Endothelial cells","Macrophages","App","Cd74",0.0431304135539587,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"FAPs","Macrophages","App","Cd74",0.0414220587502371,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"Fibroblasts","Macrophages","App","Cd74",0.0350317834036977,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"Macrophages","Macrophages","App","Cd74",0.0482264619241731,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"Muscle stem cell","Macrophages","App","Cd74",0.0119805275032952,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"Myonuclei (Myh4+?)","Macrophages","App","Cd74",0.00178466083655449,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"Myonuclei (differentiating myocytes?)","Macrophages","App","Cd74",0.0181526823183394,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"Myonuclei (myotendinous junction nuclei)","Macrophages","App","Cd74",0.0599137225919122,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"Myonuclei (neuromuscular junction nuclei)","Macrophages","App","Cd74",0.049195416314806,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"Endothelial cells","Endothelial cells","Ptprm","Ptprm",0.48841329790245,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"FAPs","Endothelial cells","Ptprm","Ptprm",0.229440997292418,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei","Endothelial cells","Ptprm","Ptprm",0.208877288286257,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
