"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Endothelial cells","FAPs","Pros1","Axl",0.0153071851083815,0,"PROS1_AXL","Pros1  - Axl","PROS","Secreted Signaling","PMID: 29531161"
"Fibroblasts","FAPs","Pros1","Axl",0.0154712685776943,0,"PROS1_AXL","Pros1  - Axl","PROS","Secreted Signaling","PMID: 29531161"
"Lymphatic vessels","FAPs","Pros1","Axl",0.0315168991739615,0,"PROS1_AXL","Pros1  - Axl","PROS","Secreted Signaling","PMID: 29531161"
"Macrophages","FAPs","Pros1","Axl",0.0195305437887663,0,"PROS1_AXL","Pros1  - Axl","PROS","Secreted Signaling","PMID: 29531161"
"Endothelial cells","Endothelial cells","Ptprm","Ptprm",0.409088782776986,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"FAPs","Endothelial cells","Ptprm","Ptprm",0.168191578313085,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Immune cells?","Endothelial cells","Ptprm","Ptprm",0.340865823070363,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Lymphatic vessels","Endothelial cells","Ptprm","Ptprm",0.333739125651521,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei","Endothelial cells","Ptprm","Ptprm",0.173493463795258,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (Myh1+)","Endothelial cells","Ptprm","Ptprm",0.198619789103477,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (Myh4+?)","Endothelial cells","Ptprm","Ptprm",0.226008228372128,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (differentiating myocytes?)","Endothelial cells","Ptprm","Ptprm",0.163829438890853,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (myotendinous junction nuclei)","Endothelial cells","Ptprm","Ptprm",0.257149026954468,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (neuromuscular junction nuclei)","Endothelial cells","Ptprm","Ptprm",0.25141794159033,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Tenocytes","Endothelial cells","Ptprm","Ptprm",0.229281283142288,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Endothelial cells","FAPs","Ptprm","Ptprm",0.168191578313085,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Immune cells?","FAPs","Ptprm","Ptprm",0.131221313786871,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Lymphatic vessels","FAPs","Ptprm","Ptprm",0.127629067380723,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (Myh4+?)","FAPs","Ptprm","Ptprm",0.0785831866161168,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (myotendinous junction nuclei)","FAPs","Ptprm","Ptprm",0.091820658556256,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
