"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Macrophages","FAPs","Pros1","Axl",0.0326750074213958,0,"PROS1_AXL","Pros1  - Axl","PROS","Secreted Signaling","PMID: 29531161"
"Macrophages","Tenocytes","Pros1","Axl",0.012918188897448,0,"PROS1_AXL","Pros1  - Axl","PROS","Secreted Signaling","PMID: 29531161"
"Endothelial cells","Macrophages","App","Cd74",0.0528363013627745,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"FAPs","Macrophages","App","Cd74",0.0403543633097993,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"Fibroblasts","Macrophages","App","Cd74",0.0151551762957704,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"Immune cells?","Macrophages","App","Cd74",0.0399257823950813,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"Lymphatic vessels","Macrophages","App","Cd74",0.0275438551790408,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"Macrophages","Macrophages","App","Cd74",0.0494835626833173,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"Muscle stem cell","Macrophages","App","Cd74",0.0105703573811774,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"Myonuclei (Myh4+?)","Macrophages","App","Cd74",0.0021254318913053,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"Myonuclei (myotendinous junction nuclei)","Macrophages","App","Cd74",0.0629888370274528,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"Myonuclei (neuromuscular junction nuclei)","Macrophages","App","Cd74",0.0542966008710651,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"Tenocytes","Macrophages","App","Cd74",0.025806561440988,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"FAPs","Lymphatic vessels","Nectin3","Nectin2",0.0123131278499945,0,"NECTIN3_NECTIN2","Nectin3  - Nectin2","NECTIN","Cell-Cell Contact","PMID: 23027581"
"Myonuclei (neuromuscular junction nuclei)","Lymphatic vessels","Nectin3","Nectin2",0.00852893079052462,0,"NECTIN3_NECTIN2","Nectin3  - Nectin2","NECTIN","Cell-Cell Contact","PMID: 23027581"
"Endothelial cells","Endothelial cells","Ptprm","Ptprm",0.512131874708794,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"FAPs","Endothelial cells","Ptprm","Ptprm",0.256051521136222,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
