"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Macrophages","FAPs","Pros1","Axl",0.00830246855608764,0,"PROS1_AXL","Pros1  - Axl","PROS","Secreted Signaling","PMID: 29531161"
"Macrophages","Tenocytes","Pros1","Axl",0.0063953665472568,0,"PROS1_AXL","Pros1  - Axl","PROS","Secreted Signaling","PMID: 29531161"
"Endothelial cells","Macrophages","App","Cd74",0.0343531320503809,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"FAPs","Macrophages","App","Cd74",0.0303250461908339,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"Fibroblasts","Macrophages","App","Cd74",0.00977371467088357,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"Immune cells?","Macrophages","App","Cd74",0.00691930003833372,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"Macrophages","Macrophages","App","Cd74",0.0337729989414185,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"Muscle stem cell","Macrophages","App","Cd74",0.0108935485356214,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"Myonuclei (Myh4+?)","Macrophages","App","Cd74",0.00296464664417117,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"Myonuclei (differentiating myocytes?)","Macrophages","App","Cd74",0.0179272091259247,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"Myonuclei (myotendinous junction nuclei)","Macrophages","App","Cd74",0.0537070581379439,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"Myonuclei (neuromuscular junction nuclei)","Macrophages","App","Cd74",0.0433564706715635,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"Tenocytes","Macrophages","App","Cd74",0.0270603819874869,0,"APP_CD74","App  - Cd74","APP","Cell-Cell Contact","PMID: 19849849"
"Endothelial cells","Endothelial cells","Ptprm","Ptprm",0.437378157711419,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"FAPs","Endothelial cells","Ptprm","Ptprm",0.222238770179785,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Fibroblasts","Endothelial cells","Ptprm","Ptprm",0.0964399503734981,0.04,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Immune cells?","Endothelial cells","Ptprm","Ptprm",0.353167445023943,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei","Endothelial cells","Ptprm","Ptprm",0.184727549246184,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (Myh1+)","Endothelial cells","Ptprm","Ptprm",0.228348624329355,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (Myh4+?)","Endothelial cells","Ptprm","Ptprm",0.217961395095476,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (differentiating myocytes?)","Endothelial cells","Ptprm","Ptprm",0.175401464256043,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (myotendinous junction nuclei)","Endothelial cells","Ptprm","Ptprm",0.206678278244474,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (neuromuscular junction nuclei)","Endothelial cells","Ptprm","Ptprm",0.302600370288997,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Tenocytes","Endothelial cells","Ptprm","Ptprm",0.266202563842881,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Endothelial cells","FAPs","Ptprm","Ptprm",0.222238770179785,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"FAPs","FAPs","Ptprm","Ptprm",0.0950458468083881,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Immune cells?","FAPs","Ptprm","Ptprm",0.167144305618317,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei","FAPs","Ptprm","Ptprm",0.0768810980286245,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (Myh1+)","FAPs","Ptprm","Ptprm",0.0980999341032841,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (Myh4+?)","FAPs","Ptprm","Ptprm",0.0929240386249932,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (differentiating myocytes?)","FAPs","Ptprm","Ptprm",0.0725154228953044,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (myotendinous junction nuclei)","FAPs","Ptprm","Ptprm",0.0873903682516471,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (neuromuscular junction nuclei)","FAPs","Ptprm","Ptprm",0.13754839021043,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Tenocytes","FAPs","Ptprm","Ptprm",0.117654310840524,0.01,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Endothelial cells","Fibroblasts","Ptprm","Ptprm",0.0964399503734981,0.04,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
