"celltype","Aged1"
"Myonuclei",0
"Myonuclei",0
"FAPs",-0.0866802427360827
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"Myonuclei (myotendinous junction nuclei)",0
"FAPs",0.0661221623701602
"Myonuclei",0
"Myonuclei (Myh1+)",0
"Myonuclei",0
"Myonuclei (Myh1+)",0
"Myonuclei",0
"FAPs",-0.233793618298664
"Myonuclei",0
"Myonuclei (myotendinous junction nuclei)",-0.168235807613684
"Myonuclei",0
"Myonuclei",0
"FAPs",0.0745697563532338
"Myonuclei",0
"Myonuclei",0
"Myonuclei (Myh1+)",0
"Myonuclei (Myh1+)",0
"Myonuclei",0
"FAPs",0
"FAPs",-0.0755936546532716
"Myonuclei (Myh1+)",0
"FAPs",0.081136146165529
"Fibroblasts",-0.120104753683186
"Endothelial cells",-0.139433503071043
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"Myonuclei (myotendinous junction nuclei)",0.417787885806192
"Endothelial cells",-0.0734868508111541
"FAPs",0.00269279608836549
"Myonuclei",0
"Myonuclei",0
"Myonuclei (Myh1+)",0
"Myonuclei (Myh1+)",0.268341675875093
"Myonuclei",0
"FAPs",0.0321207429479387
"Myonuclei",0
"Myonuclei (Myh1+)",0
"Fibroblasts",-0.116263746927179
"Macrophages",0.0981626510363838
"Myonuclei",0
"Muscle stem cell",0.0798210214087292
"Myonuclei",0
"Myonuclei",0
"FAPs",0.0443605126933616
"FAPs",-0.083881678807426
"Myonuclei (Myh1+)",0
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"FAPs",0.111646488107124
"Endothelial cells",0.111034688501804
"Macrophages",0.11587054580009
"Myonuclei",0
"Myonuclei",0
"FAPs",-0.104926423286584
"Myonuclei",0
"Fibroblasts",-0.0294470966130065
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"Endothelial cells",-0.0368260377236651
"Endothelial cells",-0.0376799755482655
"Myonuclei",0
"Myonuclei",0
"Tenocytes",-0.0172540754614768
"Muscle stem cell",0.0226677208868771
"Myonuclei (Myh1+)",0
"FAPs",-0.0199553013188852
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"FAPs",-0.116093147011763
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"FAPs",0.141001984121812
"FAPs",0.0236740865816326
"Myonuclei",0
"Myonuclei (myotendinous junction nuclei)",0
"FAPs",-0.0277955501954609
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"Myonuclei (neuromuscular junction nuclei)",0.245383323259027
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"Tenocytes",0.0339337451157216
"FAPs",-0.0961460760873483
"Macrophages",0.0583882765192041
"Myonuclei",0
"Tenocytes",-0.118177152558045
"Myonuclei",0
"FAPs",-0.0380943466705478
"FAPs",-0.0865781051440636
"Macrophages",0.115520372950231
"Myonuclei (Myh1+)",0.101666994672538
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"FAPs",0.0913300735088939
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"FAPs",0.0332997344722171
"Myonuclei (Myh1+)",0
"Myonuclei (Myh1+)",0
"Muscle stem cell",0.136555620871741
"Myonuclei (Myh4+?)",-0.275326350031491
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"Myonuclei (Myh1+)",0
"Myonuclei (Myh4+?)",-0.212332084584783
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"Fibroblasts",-0.00534094925550725
"FAPs",0.0274358514634091
"Myonuclei",0
"FAPs",0.0389312005128456
"Myonuclei",0
"FAPs",0.0578475592170592
"FAPs",0.00412787708655057
"Myonuclei",0
"Myonuclei",0
"Myonuclei (myotendinous junction nuclei)",0
"Myonuclei",0
"Tenocytes",0
"Fibroblasts",-0.0436195141293682
"Myonuclei (Myh1+)",0
"Muscle stem cell",-0.0301659664080166
"Myonuclei (differentiating myocytes?)",0
"Myonuclei",0
"Myonuclei",0.20250767364393
"Muscle stem cell",0
"Myonuclei (Myh1+)",0.351999875292258
"Myonuclei",0
"FAPs",-0.13935172189996
"Myonuclei",0
"Myonuclei (myotendinous junction nuclei)",0.267460784164776
"Myonuclei",0
"Myonuclei",0
"FAPs",-0.0164978869912258
"Myonuclei",0
"FAPs",0.00657489400975003
"Myonuclei",0
"Myonuclei (Myh1+)",0
"Myonuclei",0
"Myonuclei",0
"FAPs",0.0128570259109613
"Muscle stem cell",0.0967016583207507
"Myonuclei",0
"Myonuclei (Myh1+)",0
"Myonuclei (Myh1+)",0
"Fibroblasts",-0.13270367968305
"Myonuclei",0
"Muscle stem cell",0
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"FAPs",0.0177285499037322
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"FAPs",-0.0362037752060884
"Muscle stem cell",0.0166882027296204
"Macrophages",-0.0271949091803456
"Myonuclei (Myh4+?)",-0.390096981217402
"Myonuclei",0
"Myonuclei (Myh1+)",0
"Myonuclei",0
"Myonuclei",0
"Myonuclei (Myh1+)",0.00238597936676832
"FAPs",0.0851840841808139
"FAPs",-0.0371699799569085
"FAPs",0.0724608458137179
"Myonuclei",0
"FAPs",0.0575183464939733
"Endothelial cells",0.20227464194698
"Macrophages",-0.0931947299567499
"Myonuclei",0
"Myonuclei (Myh1+)",0
"Lymphatic vessels",-0.0106920975458467
"FAPs",-0.00286701511603032
"Muscle stem cell",-0.0465942625608202
"Myonuclei",0
"Myonuclei",0
"FAPs",0.0308327734969173
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"Myonuclei (Myh4+?)",-0.368886093652012
"Myonuclei",0
"Myonuclei (Myh1+)",0
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"Myonuclei (Myh1+)",0
"Myonuclei",0
"Myonuclei (neuromuscular junction nuclei)",0
"Myonuclei",0
"Myonuclei",0
"FAPs",-0.0227221506778336
"Myonuclei",0
"Myonuclei (myotendinous junction nuclei)",0
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"Tenocytes",-0.0118461466849215
"Myonuclei",0
"Macrophages",0.0466364036648666
"Myonuclei",0
"Myonuclei (Myh1+)",0
"Myonuclei",0
"FAPs",0.0453975338048648
"Myonuclei",0
"FAPs",0.066865014282194
"Myonuclei",0
"Myonuclei (Myh1+)",-0.188859299604313
"FAPs",0.0915028655316827
"Myonuclei",0
"Myonuclei",0
"Myonuclei (Myh1+)",0
"FAPs",0.0239536322502672
"Myonuclei (Myh1+)",0
"Myonuclei",0
"Myonuclei",0
"Lymphatic vessels",-0.0699301602316811
"FAPs",0.104216210626697
"Endothelial cells",0.0912172709690026
"Myonuclei",0
"Myonuclei",0
"FAPs",-0.0795891649868665
"Macrophages",0.275389722344606
"FAPs",-0.0535704036397124
"Myonuclei (Myh1+)",0
"Myonuclei",0
"Macrophages",0.0876640578479796
"FAPs",-0.0659336846057242
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"Myonuclei",0
"Myonuclei (Myh1+)",0
"FAPs",-0.0260295607046458
"Myonuclei",0
"Myonuclei (Myh1+)",0
"Myonuclei",0
"Myonuclei (myotendinous junction nuclei)",0
"Myonuclei",0
