"celltype","Reversal_norm","Reversal_DR","Reversal_sAct","Aged"
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",-0.051649927635082,0.156767650818305,-0.364596427648019,-0.0866802427360827
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (myotendinous junction nuclei)",0,0,0,0
"FAPs",0.137220044093654,-0.0543845287162231,-0.940495392586593,0.0661221623701602
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",-0.101872734290277,-0.117610428708308,-0.375058934965474,-0.233793618298664
"Myonuclei",0,0,0,0
"Myonuclei (myotendinous junction nuclei)",-0.141724001855027,-0.174118918400378,0.478360084330036,-0.168235807613684
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",0.0555595080221563,0.148692413291202,-0.452516087198206,0.0745697563532338
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",0,0,0,0
"FAPs",-0.0513218219987878,-0.0863771037296417,-0.379354496372575,-0.0755936546532716
"Myonuclei (Myh1+)",0,0,0,0
"FAPs",0.0990571215843795,0.132890293607999,-0.513510746172929,0.081136146165529
"Fibroblasts",-0.184313797274072,-0.135230341943633,-0.192942920924704,-0.120104753683186
"Endothelial cells",-0.00192250804261479,-0.0309642410514924,-0.372059652480591,-0.139433503071043
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (myotendinous junction nuclei)",0.239167545985331,-0.0501509646021972,-0.557298800924695,0.417787885806192
"Endothelial cells",0.124302840979069,0.0307629237687455,-0.318571207026596,-0.0734868508111541
"FAPs",-0.152337108879222,-0.285913572839997,-0.769184822977511,0.00269279608836549
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei (Myh1+)",-0.0758520023979348,-0.252838283677636,-0.0576238378155891,0.268341675875093
"Myonuclei",0,0,0,0
